arm,seed,p_a,window,universe,fee,bench,mean_notional,turnover_per_day,cand_final,bench_final,cand_dd,bench_dd,growth_diff,growth_lo,growth_hi,dd_diff,dd_lo,dd_hi,n_days,scramble_p90,scramble_survived,perm,identity_perm
aim_gp_scrambled,0,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,138.25594868333818,1.0473975549977334e-137,2816.4140645144726,100.0,78.92683564118703,-323.3445315575421,-368.4555301516848,-278.59152181291284,21.073164358812974,4.387595469623691,45.85013713023609,2332,,,,
aim_gp_scrambled,1,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,138.37707289032738,6.364151166731391e-138,2816.4140645144726,100.0,78.92683564118703,-323.84274435543455,-369.7168656977593,-278.7524418782672,21.073164358812974,4.387595469623691,45.85013713023609,2332,,,,
aim_gp_scrambled,2,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,138.23066170654533,5.373666395014726e-138,2816.4140645144726,100.0,78.92683564118703,-324.0119147883694,-369.3535762378351,-279.1798221771137,21.073164358812974,4.387595469623691,45.85013713023609,2332,,,,
aim_gp_scrambled,3,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,138.37140020888503,8.534702440310463e-138,2816.4140645144726,100.0,78.92683564118703,-323.54928472687095,-368.5454905968143,-279.10580913087733,21.073164358812974,4.387595469623691,45.85013713023609,2332,,,,
aim_gp_scrambled,4,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,138.24536574819817,9.101447578465398e-138,2816.4140645144726,100.0,78.92683564118703,-323.4849917436143,-368.539994259412,-278.572635923198,21.073164358812974,4.387595469623691,45.85013713023609,2332,,,,
aim_gp_scrambled,5,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,138.3167045705261,1.7474088469934095e-137,2816.4140645144726,100.0,78.92683564118703,-322.8327060942328,-367.89628559318453,-278.21624143554703,21.073164358812974,4.387595469623691,45.85013713023609,2332,,,,
aim_gp_scrambled,6,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,138.11876005029467,9.011769290649779e-137,2816.4140645144726,100.0,78.92683564118703,-321.192308704045,-366.45725731416087,-276.19583886028033,21.073164358812974,4.387595469623691,45.85013713023609,2332,,,,
aim_gp_scrambled,7,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,138.26751516461673,1.6875547659242284e-137,2816.4140645144726,100.0,78.92683564118703,-322.86755952892975,-368.29071817844516,-278.0654958034819,21.073164358812974,4.387595469623691,45.85013713023609,2332,,,,
aim_gp_scrambled,8,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,138.1467050946715,1.9150177243108694e-137,2816.4140645144726,100.0,78.92683564118703,-322.7411132479441,-367.80284339070596,-278.0977842646764,21.073164358812974,4.387595469623691,45.85013713023609,2332,,,,
aim_gp_scrambled,9,0.007308858316727723,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248308371490006,138.30276306859506,3.703437860588433e-138,2816.4140645144726,100.0,78.92683564118703,-324.3841636792762,-370.0931138681298,-279.99444950539515,21.073164358812974,4.387595469623691,45.85013713023609,2332,,,,
