arm,asset,window,market,fee,cand_final,cand_dd,cand_sharpe,cand_trades,cand_liq,hold_final,hold_dd,c_mean_notional,mh_final,mh_dd,cand_vol,mh_vol,dd_matched_diff,dd_matched_lo,dd_matched_hi,growth_matched_diff,growth_matched_lo,growth_matched_hi
conservative,BCH,2020-04-01:None,spot,0.001,1137.700479985982,76.5922650809082,0.30136177040428513,1,False,973.9634060150375,94.65593623397166,0.6266208900338072,1811.3551421877273,80.4513432050986,0.5248849238798192,0.5834069231224547,-4.156926143953896,-9.897829742451691,13.409959804339863,-0.45198999079918545,-1.2195911795702112,0.30116112376916804
conservative,LTC,2020-04-01:None,spot,0.001,1098.5996720625235,74.21399352260224,0.2958088640895136,1,False,1193.146283018868,90.43348507957518,0.6436983695078997,1825.8234240399493,74.52510785121746,0.4912650904722077,0.5460087849123176,-0.1403401269793818,-9.142815356972084,15.126137686170095,-0.5068337303705159,-1.1885876809742117,0.16639949349398173
conservative,ETC,2020-04-01:None,spot,0.001,1874.4999025964385,70.54576963120805,0.47031099636287094,1,False,1320.3463368399757,96.2897301507699,0.5398655356332797,2935.937463472168,68.54416319892793,0.49934423804212075,0.5452373142182336,3.42505134609722,-8.805998706155616,14.366525933850982,-0.4391153586219825,-1.2662737227426066,0.2926750254504531
conservative,DASH,2020-04-01:None,spot,0.001,1770.8548454984948,72.8951412429103,0.47061710872273593,1,False,488.03369109528995,96.33321158846204,0.4549423629310065,1936.840812993822,64.4973799482341,0.45735491817112583,0.48212317239889735,9.225067641407826,-11.935416799996965,13.875962100210552,-0.0838438796128057,-0.8698539726270337,0.6673833620764115
conservative,LINK,2020-04-01:None,spot,0.001,3372.339359481319,63.39582490406086,0.6264686782357394,1,False,4630.352601535792,90.58830000809661,0.543179991436063,5520.931499088054,61.60510307788578,0.5002957830813677,0.5500146805703549,2.7163279137357392,-8.785246750702452,17.008848487540853,-0.4942527450992322,-1.3940967266224633,0.3220658993598097
conservative,XTZ,2020-04-01:None,spot,0.001,441.5359583487547,79.4296331373954,-0.011214060081386182,1,False,132.87991711477832,97.88701134454601,0.49900377320982936,897.67684834091,75.82002220265112,0.45428330983738213,0.4909122993417338,3.254085873647,-3.7236702311040757,18.69079888273828,-0.7117187458219834,-1.3903400072341687,-0.09140428574394083
conservative,BCH,2020-04-01:None,spot,0.004,1059.5453047377416,77.05192902478191,0.27949213009617074,1,False,971.0535939849624,94.65574554661566,0.6266208900338072,1816.8356526585048,80.53528715937337,0.5235156744903577,0.5836403008194274,-3.7828844847216914,-9.44588691132774,14.166663781469138,-0.5280370492722586,-1.3103200579921557,0.23489643642173383
conservative,LTC,2020-04-01:None,spot,0.004,1028.3692152813262,75.23890726658968,0.27576016382383356,1,False,1189.5782641509434,90.43335525915907,0.6436983695078997,1863.221003347926,74.21883074146731,0.4904674078622238,0.545044372558939,1.3149241059017953,-8.838953565560777,16.1797392940429,-0.5951021651651124,-1.2766019887710953,0.08295162416906594
conservative,ETC,2020-04-01:None,spot,0.004,1750.33333236241,71.81568475752862,0.4482026558697878,1,False,1316.3963358284445,96.28968603670606,0.5398655356332797,2878.492050936484,68.7755892810505,0.49793639454026073,0.5450699504632942,4.474067216274733,-8.418485154413979,14.984604977631998,-0.48949590619765804,-1.3303072206229807,0.24038481742488685
conservative,DASH,2020-04-01:None,spot,0.004,1706.0605746888255,73.03921400968744,0.45666308982072035,1,False,486.5831274583672,96.3330132912582,0.4549423629310065,1886.7236236685007,65.07402897556412,0.45570768594671957,0.4821516798991075,8.76745064888398,-12.06324501830242,13.746991588872648,-0.09625529685764367,-0.8794301560887482,0.650313678783603
conservative,LINK,2020-04-01:None,spot,0.004,3222.190365589212,63.778027818325434,0.612973325816646,1,False,4616.46264177142,90.58824103940962,0.543179991436063,5057.3077683051315,61.94401280718319,0.4991665945251074,0.549417711927978,2.7238311248185667,-8.815164277739537,16.319572400380615,-0.4537185085526061,-1.3548735379821821,0.3406882415259369
conservative,XTZ,2020-04-01:None,spot,0.004,426.38932599088434,79.89535340933517,-0.024147724445028846,1,False,132.495881327647,97.88674826176492,0.49900377320982936,865.3970155586745,76.43899622882066,0.4531903438444376,0.4903974012227206,3.073144170585479,-3.7405241874044846,18.61256371897,-0.7115058246815225,-1.390498877604484,-0.09277657580694763
conservative,BCH,2022-05-01:2022-11-30,spot,0.001,661.2967668416475,41.27519062125693,-1.130108854493881,1,False,399.2276896626064,71.00575393005963,0.5699761585956529,625.9361009787714,47.57607947601016,0.5018996402108371,0.5352956852083591,-6.135210578716354,-12.562157413490183,7.65295883180946,0.06633781297108554,-0.14102308873500166,0.284232155943087
conservative,LTC,2022-05-01:2022-11-30,spot,0.001,1006.3784649942091,29.474027211503675,0.27438164371194346,1,False,791.9242049947972,62.11633630842744,0.5521127413381949,930.6060261353626,40.200555121386095,0.4857744672236077,0.5378828117871765,-10.690448637090707,-17.130356831463207,4.112123941991919,0.09578167781900401,-0.08788122631065534,0.3476960089110609
conservative,ETC,2022-05-01:2022-11-30,spot,0.001,921.9710028909266,45.08896021810076,0.0658698114177203,1,False,746.7744553775744,62.17874737626368,0.4783252151667437,998.6938024438624,34.68454653493137,0.6351840215444975,0.6138542645419124,11.929311883175316,-15.71792200002546,17.411916505346365,-0.05497564804376931,-0.38203159012111876,0.3190006634343434
conservative,DASH,2022-05-01:2022-11-30,spot,0.001,871.4830427648498,30.01680587856746,-0.39511452643592293,1,False,509.70445151443994,68.10666180469384,0.4826260801097018,753.8977994975303,39.92624312280754,0.3955584931849598,0.45552234118188656,-10.898017727350215,-26.672257147744595,2.1496311797693064,0.1707762305665966,-0.04537787781917676,0.5225461044106217
conservative,LINK,2022-05-01:2022-11-30,spot,0.001,936.8576303005945,25.37542198301909,0.011154518210667692,1,False,667.2712997275204,56.408112516327044,0.4475056408660169,912.610223807087,29.28510472562278,0.45087661052926875,0.4907709649427704,-2.669605039133206,-17.431409541474345,8.928341523183605,0.03708650887446907,-0.1757117909569946,0.2896840728071526
conservative,XTZ,2022-05-01:2022-11-30,spot,0.001,693.6378695401479,39.27590336431454,-1.0607801044009624,1,False,385.10570588235294,68.22910619500723,0.5304485555725879,639.6581394469222,42.26045050882171,0.4013106140697267,0.5180875257215122,-2.315456722554501,-25.047383076127378,10.54246379204576,0.0825707801129329,-0.22962778372577228,0.4840807563359379
conservative,BTC,2020-04-01:2022-12-31,spot,0.001,2076.0755927758205,67.23997744473479,0.7874812936699302,1,False,2547.102779657623,77.33140617037013,0.7075565436664515,2320.089697401376,64.14585077481182,0.4652737073255038,0.5041002474667865,3.052170073543863,-5.650125534406392,9.457640871565763,-0.142425756745848,-0.5595417805793731,0.30694483490588476
conservative,ETH,2020-04-01:2022-12-31,spot,0.001,3459.8389484845356,61.9936936726729,1.135029304880943,1,False,8973.776862068964,81.7422365325157,0.578893791480998,4865.713955728267,60.043752010077,0.5199460977980641,0.5489498290162235,3.6978337729665895,-8.398493249892812,14.850516804219875,-0.3297443228158574,-0.9415542829820989,0.27317823172083566
