arm,asset,window,market,fee,cand_final,cand_dd,cand_sharpe,cand_trades,cand_liq,hold_final,hold_dd,c_mean_notional,mh_final,mh_dd,cand_vol,mh_vol,dd_matched_diff,dd_matched_lo,dd_matched_hi,growth_matched_diff,growth_matched_lo,growth_matched_hi
novel,BCH,2020-04-01:None,spot,0.001,811.5657464261457,77.47825973258678,0.2808244106654087,198,False,973.9634060150375,94.65593623397166,0.45448809195539364,1952.1339273754072,66.69214619364273,0.6931700358826419,0.41889401031576595,10.513321778692728,-2.141145002381158,46.58484522437821,-0.8682118280336915,-2.8513176359320704,1.0429523869356976
novel,LTC,2020-04-01:None,spot,0.001,374.5524550041022,90.5074110929038,0.10093931835374412,192,False,1193.146283018868,90.43348507957518,0.47445858680067715,2103.066894288331,58.58247798108381,0.6156643654453433,0.3975193005787951,33.95605434749931,5.570280150417527,52.69468464808839,-1.724564239265948,-3.4341938858595555,-0.07170661915212706
novel,ETC,2020-04-01:None,spot,0.001,1199.327773230836,88.72372675049331,0.4711687671383046,188,False,1320.3463368399757,96.2897301507699,0.4125347813695865,2870.681575271492,53.44825140152653,0.7578793728058318,0.4145062094295829,38.15562524288068,9.999953056413736,49.821819695926415,-0.8589106741992845,-2.9820484249484203,1.5412280612122173
novel,DASH,2020-04-01:None,spot,0.001,739.8290511729249,85.21813213578247,0.38990083881654497,227,False,488.03369109528995,96.33321158846204,0.4165419871841656,1895.529714695399,61.71894599869502,0.7606464656227584,0.440920374112135,25.694817943356426,5.744148203255135,44.11981160393407,-0.9355667651505899,-2.711485951506116,0.9830629251841793
novel,LINK,2020-04-01:None,spot,0.001,1836.8523693963461,81.65483316631905,0.49685078067781807,210,False,4630.352601535792,90.58830000809661,0.49591194453176946,4903.731408143472,58.931554704015895,0.6976166882593278,0.5021658458548944,24.29700496867782,-1.7523050112200822,41.91930947476818,-0.9831415021711183,-2.8568037649101696,0.8584219277507029
novel,XTZ,2020-04-01:None,spot,0.001,301.5897942607005,82.18060719590407,0.09617273706336955,187,False,132.87991711477832,97.88701134454601,0.396099758944347,1006.4474782905081,65.46802003634187,0.6816961493121179,0.3875206274644445,17.068697387166793,4.472002021920261,45.421753834797,-1.2069774910170175,-2.912680470638801,0.4603326296358389
novel,BCH,2020-04-01:None,spot,0.004,262.88836675955247,87.77147925417191,0.012085123410650078,198,False,971.0535939849624,94.65574554661566,0.45448809195539364,1909.6684081470703,66.93514068397994,0.6958089909409872,0.4189901795899227,21.22275198323706,6.021048608061226,52.95237320956779,-1.9748054476662316,-4.05465378138663,0.037815171195483936
novel,LTC,2020-04-01:None,spot,0.004,121.25416675540212,96.19369055689408,-0.1675685024783379,192,False,1189.5782641509434,90.43335525915907,0.47445858680067715,2063.113484969565,58.86034723670876,0.6192768010329077,0.3976395142197665,39.6809616518698,13.955359092249017,57.789984493111525,-2.8346499122831905,-4.6447837997141805,-1.1173870515815707
novel,ETC,2020-04-01:None,spot,0.004,379.91307143572214,95.33331609505784,0.24371972542517334,188,False,1316.3963358284445,96.28968603670606,0.4125347813695865,2675.7805702902497,54.26081455799664,0.7601703878127088,0.41396387851890265,43.30889305897917,14.041473132767845,54.442009750573106,-1.9364490596011013,-4.224523089584442,0.5275928996014245
novel,DASH,2020-04-01:None,spot,0.004,230.5447391787149,92.36455868480625,0.14251218300590857,227,False,486.5831274583672,96.3330132912582,0.4165419871841656,1810.3629817336878,62.72418962892578,0.7620415653609518,0.4409624935223692,32.125270587337525,10.23853028629101,50.44843313518847,-2.056808772057127,-3.9375467752376365,-0.09400945566174351
novel,LINK,2020-04-01:None,spot,0.004,474.30848746186587,92.60420511208011,0.2065622394841579,210,False,4616.46264177142,90.58824103940962,0.49591194453176946,4830.061341833356,58.931581409538126,0.7021672338238302,0.501472814832768,36.72071639917307,6.5758740244061,49.52377722639557,-2.32344544038794,-4.405948379747921,-0.2970018855864116
novel,XTZ,2020-04-01:None,spot,0.004,87.02945349492153,94.46161908164713,-0.19289225784606884,187,False,132.495881327647,97.88674826176492,0.396099758944347,995.880633629064,65.59826580307502,0.6862505538437816,0.3876688028215112,29.526563069925075,9.377553031758415,53.37732204455152,-2.4394389591490175,-4.32994773486072,-0.6118417611198037
novel,BCH,2022-05-01:2022-11-30,spot,0.001,764.8063115127882,40.41139397923434,-0.9950376154716349,16,False,399.2276896626064,71.00575393005963,0.24743522865588588,839.7174296927733,22.66734426833337,0.3654440044325833,0.23305290960588015,14.141205464203306,-17.38901970315313,31.80145357853241,-0.0884851989988994,-0.4677962656217609,0.3351085409449985
