asset,window,market,fee,v4_final,v4_dd,v4_sharpe,v4_trades,v4_liq,hold_final,hold_dd,hold_sharpe,hold_liq,c_mean_notional,mh_final,mh_dd,mh_sharpe,v4_vol,mh_vol,dd_matched_diff,dd_matched_lo,dd_matched_hi,growth_matched_diff,growth_matched_lo,growth_matched_hi
BCH,FULL,spot,0.001,1269.7198246332382,52.3290135778087,0.28686107891194196,184,False,973.9634060150375,94.65593623397166,0.4800795311489707,False,0.28773338259798115,1750.88001266578,47.45491165679052,0.455177484285986,0.3859176743525594,0.26264694579222525,5.182851360464987,-6.116010816046025,45.69028768499399,-0.3152966732461181,-1.5829707525638173,0.867502005071428
LTC,FULL,spot,0.001,679.5885367114707,74.74194375417332,0.04113687337862284,191,False,1193.146283018868,90.43348507957518,0.5091114300048485,False,0.30899753983940015,1882.658639990954,42.52162358471156,0.48407710466482373,0.3743913806962235,0.2577894125424108,33.78638111487644,2.073024709629637,53.1405296685348,-1.018395215276512,-2.1485754576149314,0.08806023722861046
ETC,FULL,spot,0.001,2084.992632706779,51.280073030689856,0.5233970838189343,185,False,1320.3463368399757,96.2897301507699,0.642556138400386,False,0.21788591093500992,2110.214609020795,29.539589440694858,0.6207230271744615,0.3718986835051125,0.2185812912097504,23.556474004139325,5.327752262485183,45.90696107652132,-0.008151101406688843,-1.2057264538165586,1.3182708079301784
DASH,FULL,spot,0.001,1767.911120012695,58.663119610125,0.48050018736706174,221,False,488.03369109528995,96.33321158846204,0.5379364038093145,False,0.19025435827929785,1640.9445921210174,29.67278476083182,0.5109742758859745,0.33658176037225246,0.19971828210082487,29.770112758053582,2.49422696432938,41.81372415328251,0.07693609398040036,-0.9934239505208098,1.221991158398725
LINK,FULL,spot,0.001,2342.201175788595,47.825896607648005,0.541431459872089,206,False,4630.352601535792,90.58830000809661,0.7681115953256181,False,0.2787671239185832,3103.3926078302584,38.116206771534365,0.7336250025480574,0.37292998842564534,0.28018874209850664,13.432755693334329,-5.138401232948144,39.84770678251731,-0.2820782857121804,-1.4764402070380658,0.9543223912298803
XTZ,FULL,spot,0.001,815.0921727600166,54.96496014006562,0.0785507529113432,180,False,132.87991711477832,97.88701134454601,0.2884688759747747,False,0.19812022885983077,1166.5772539267982,35.42620754542466,0.23072413527550825,0.35001713014707725,0.1928930479014204,19.30159122891633,3.321866754042571,44.79481229830941,-0.3593883405086994,-1.3074677611021328,0.6845046318229564
BCH,FULL,futures_5x,0.0005,1354.5644726900953,51.630085763174094,0.3147531109888027,184,False,18.04519786432172,99.94581503435938,0.4034717157970018,True,0.2889474305047201,1796.6229162278162,47.90107381741454,0.46899214409675105,0.38399601677860173,0.26399552668088744,3.7949407164914035,-7.199229389792226,43.829282742975295,-0.2762342712643162,-1.4573309000393773,0.849840078761098
LTC,FULL,futures_5x,0.0005,630.49821174317,72.95603035399478,0.008925255845170324,191,False,1966.7751179245283,97.89721064740652,0.8924547487457136,False,0.31481992866026093,1887.306487800786,43.45801906565633,0.48142173392321336,0.37150953562031186,0.26346500373685505,31.910069628245743,0.9180040617338737,53.5088830132164,-1.0956703339837306,-2.2753241756996756,0.008640501716301123
ETC,FULL,futures_5x,0.0005,2287.54287736868,49.94307766578591,0.5582070119976377,185,False,2601.8204316710508,98.6910276039022,1.0057780806856425,False,0.217945912048728,2121.050604366814,29.443200237805694,0.623981602707478,0.36237635970780135,0.21870931514517644,19.917888080038885,0.17718350706727443,41.213471921863096,0.07954954601894548,-0.9603115443324999,1.1769868505126422
DASH,FULL,futures_5x,0.0005,1676.92257565203,60.259654341722694,0.45253018178363874,221,False,18.045197864321494,99.9444887253803,0.5391365470343644,True,0.19028563790222844,1648.99954651287,29.565589849436368,0.5147760997141737,0.3325065982888095,0.19977067238227197,31.49937622875172,2.5908694597690527,44.034037227336576,0.01929591255856239,-1.0881906984790801,1.2079268237740381
LINK,FULL,futures_5x,0.0005,3866.443957055044,42.4695023918815,0.7444523725434695,206,False,19127.001858268028,93.83223919086116,1.0170465161863793,False,0.27933061178901064,3096.1000563439998,38.162488954234355,0.7313443019613552,0.3739573758726802,0.2810693895345384,6.163826614158836,-11.032852823929556,31.5719677481407,0.22165676077287255,-0.9467025366709018,1.370825623109242
