arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_delta,p_buffer,p_hold_days,p_k,volmatch_c_net,volmatch_vol_net,volmatch_matched_net,volmatch_shared_flag_net,cand_vol_net,volmatch_c_gross,volmatch_vol_gross,volmatch_matched_gross,volmatch_shared_flag_gross,cand_vol_gross,cand_final_gross,bench_final_gross,n_bars,tenure_days,membership_change_rate,raw_turnover_per_day,membership_changes_per_day,span_days,config_kind
r63_reference,W_TRAIN,U8,VOLMATCH_HOLD,0.2616516762060507,4.475293409757335,3.8640625,2.8641877822446946,0.54675115779283,-2.0967205691000323,-4.7630226828057,0.6392459032816697,-4.9818825165500105,-8.512973236132241,-1.448229643983467,31.85336074632893,10.015906632997387,62.828790973685095,54.52921223305445,7970.357715921371,96.60138208939222,64.74802134306329,639,nan,nan,0,1,1.0,0.9450786722179523,True,True,0.9533482246376135,0.9471664375788708,0.8965418397216038,True,True,0.8989782404585822,961.6841781453267,7856.254171101872,184320,0.2438911421561264,3.821875,4.475317689909698,3.82189573511141,639.9965277777778,reference
gate_hysteresis,W_TRAIN,U8,VOLMATCH_HOLD,1.1764705882352942,0.6073928250382219,0.89375,0.38873140802446204,0.54675115779283,-1.0261623997228912,-3.157887709707339,1.1996332781973025,-1.4196606648319448,-3.5971658759565632,0.9198484003693361,6.704817715392473,-15.965515644535213,42.149289295822484,1836.1348032726853,7613.986290302997,67.50090329856302,60.796085583170544,639,0.0,0.05,1,1,0.9293813006084777,0.8794352585754299,True,True,0.8820424709858133,0.9239717461231414,0.8749245708449113,True,True,0.8769636059808745,2682.0101052460514,7510.47005653663,184320,1.7072379950928847,0.85,0.6073961203730757,0.8500046115701582,639.9965277777778,grid
gate_hysteresis,W_TRAIN,U8,VOLMATCH_HOLD,2.922374429223744,0.29219074044963295,0.3859375,0.18700207388776507,0.5462167611976382,-0.9528544206758176,-3.092438702172574,1.3333307771470098,-1.136965715187275,-3.30989529890499,1.1867526117501233,3.113393220341713,-18.887938324549516,38.25661258038231,2417.2228659812936,7555.2362753218285,63.955128484070336,60.84173526372862,639,0.005,0.05,1,1,0.926714744993806,0.8775702610273001,True,True,0.8795117386568476,0.923829935658591,0.8747885021209577,True,True,0.876829010289091,2885.5078187173767,7509.1620441993855,184320,3.581217807211184,0.3421875,0.29219232569445536,0.34218935649607474,639.9965277777778,grid
gate_hysteresis,W_TRAIN,U8,VOLMATCH_HOLD,3.78698224852071,0.24956952923483094,0.309375,0.15972449871029182,0.5439855682397162,-1.0287141559511455,-3.1895548347862195,1.2411472044337741,-1.1797394585924692,-3.3587244098208817,1.124057755208577,4.96923989281116,-18.575744370349636,39.4123433330847,2333.115624265516,7611.08406782274,65.7312698222791,60.76202992946794,639,0.01,0.05,1,1,0.9287255761195765,0.8788658888914543,True,True,0.8814201463833088,0.9260311164563495,0.8768250191805131,True,True,0.8789182034466931,2710.3992951962273,7609.421604117103,184320,4.310194444444445,0.2640625,0.24957088324352905,0.2640639326385234,639.9965277777778,grid
gate_hysteresis,W_TRAIN,U8,VOLMATCH_HOLD,4.776119402985074,0.21647380986248957,0.253125,0.13854323831199333,0.5413996491624492,-1.058776700055375,-3.2065983622872505,1.171778935235253,-1.185524277229857,-3.3697133369131844,1.085245731282035,4.121551830332507,-17.66065899009869,39.25111630451679,2320.403005731118,7613.542010880094,64.91522936308795,60.79367753275544,639,0.02,0.05,1,1,0.9293349243235883,0.8793905769774529,True,True,0.8819984569165694,0.9269849290235419,0.8777141924136808,True,True,0.8798234896871703,2638.5992442381457,7633.951550378609,184320,5.018107476635514,0.209375,0.21647498431444434,0.2093761359382375,639.9965277777778,grid
gate_hysteresis,W_TRAIN,U8,VOLMATCH_HOLD,5.871559633027523,0.1928833133333439,0.2171875,0.1234453205333401,0.5394717937642933,-1.0059049157834332,-3.0892844306258276,1.2069496165909315,-1.102310599381977,-3.219178202031547,1.1323170195178631,2.1537911482129175,-16.60290505658015,36.625759200686055,2504.611469493585,7561.799045466943,62.97661144995942,60.8228203017465,639,0.04,0.05,1,1,0.9298810112650516,0.8800185426765497,True,True,0.8825167284536727,0.9279927497383977,0.8783774142869185,True,True,0.8807800363478129,2804.973879943467,7697.408774263019,184320,5.7673237753882916,0.1703125,0.1928843597979695,0.17031342400946184,639.9965277777778,grid
gate_hysteresis,W_TRAIN,U8,VOLMATCH_HOLD,7.032967032967033,0.1735890364719704,0.1828125,0.11109698334206107,0.5254997510094529,-0.875682549492625,-2.9555904447667767,1.2058876111571482,-0.9671502845633149,-3.0729793456346073,1.1467609289199516,-4.1971261403180975,-15.767746802330592,31.2712930477952,2886.8763614734726,7614.001413944976,56.599041414075415,60.79616755439351,639,0.08,0.05,1,1,0.9293828793094646,0.8794367795888588,True,True,0.8820439692743183,0.9277819215764038,0.8781743507674783,True,True,0.8805799343144333,3194.2717731190983,7695.421010696997,184320,6.320783132530121,0.1421875,0.1735899782578767,0.14218827142074336,639.9965277777778,grid
r63_reference,W_VAL,U8,VOLMATCH_HOLD,0.41430192962542567,2.528176800047855,2.43013698630137,0.9227845320174671,0.408704161028632,0.604780987858091,-0.3368852089081132,1.6330085680690989,-0.24628278989822538,-1.5851012758006202,1.1299578979908707,7.910577575515845,-23.02678671027434,34.05487181541009,285.4055321207132,377.6996078876227,73.32733907384268,65.41676149832684,364,nan,nan,0,1,0.9442456165635664,0.7502189782880408,True,True,0.7494355557264848,0.8900029406813756,0.7055529523558172,True,True,0.7063188835063312,719.8007997618266,406.2803948284186,105120,0.3378139897323066,2.4136986301369863,2.52820085066477,2.4137215917198604,364.99652777777777,reference
gate_hysteresis,W_VAL,U8,VOLMATCH_HOLD,0.6347826086956522,1.2301718112967828,1.5917808219178082,0.44901271112332575,0.408704161028632,0.5698726165217731,-0.3410775763235498,1.5492521788070897,0.14251410981774126,-0.8735455262093232,1.2281563715322839,-1.8213183038105498,-29.438281268525863,24.489953889162848,454.27509804392633,406.57999384321613,60.77115224745351,62.59247055126406,364,0.0,0.05,1,1,0.8787941516698832,0.6971211317675089,True,True,0.6974875730138662,0.8596054792999431,0.6810568079727225,True,True,0.6821950295245424,722.2238486991034,421.6637484165168,105120,0.6823842592592593,1.5753424657534247,1.230183513955781,1.5753574520305558,364.99652777777777,grid
gate_hysteresis,W_VAL,U8,VOLMATCH_HOLD,1.9414893617021276,0.414573022045452,0.5342465753424658,0.15131915304658997,0.40933693034499835,0.4406023852087858,-0.48331150993102484,1.4111264609199439,0.289882866426205,-0.6684543668888295,1.3118517073332867,-9.0280691252377,-32.07123738597195,20.163305022275974,539.53695759878,416.4911720624704,52.793583841027036,61.821652966264736,364,0.005,0.05,1,1,0.8631147858999608,0.6839568777044055,True,True,0.6850430628217138,0.8573119398599381,0.679175498114866,True,True,0.680374844284141,636.8462182129464,423.09135646137605,105120,1.9917408306364617,0.5150684931506849,0.4145769658902572,0.5150733930117296,364.99652777777777,grid
gate_hysteresis,W_VAL,U8,VOLMATCH_HOLD,3.3181818181818183,0.24848353977857884,0.32054794520547947,0.09069649201918129,0.4046906048974628,0.4766716852067997,-0.46147993474077525,1.4722598580305117,0.3668195689937035,-0.5886350929835655,1.381909959602879,-11.642424841228042,-34.76931313056404,19.512993235092527,586.544308875772,419.2949073685595,49.97459134537054,61.61701618659858,364,0.01,0.05,1,1,0.8661939608619204,0.6860068337674066,True,True,0.6874869642371034,0.8633508853675053,0.68412174277498,True,True,0.6851674365930999,651.6272733527148,417.6663309008102,105120,3.279681899641577,0.3013698630136986,0.24848590360947323,0.30137272995367154,364.99652777777777,grid
gate_hysteresis,W_VAL,U8,VOLMATCH_HOLD,5.2898550724637685,0.15969568248683355,0.21095890410958903,0.05828892410769424,0.4053015371576983,0.4930762924166808,-0.4085461540034666,1.442477524160336,0.42204709953900005,-0.48086687853499577,1.3770925175144597,-10.5123878360911,-34.93800577982938,16.66850518714327,622.7341624972563,421.12661710722193,50.9360350565933,61.4484228926844,364,0.02,0.05,1,1,0.8581464755455037,0.6799222991256998,True,True,0.6810997790338948,0.8572195524234095,0.6795033318524013,True,True,0.6803015243117722,669.7632127459335,422.2117172988981,105120,4.9546070460704605,0.18904109589041096,0.1596972016763472,0.18904289424366671,364.99652777777777,grid
