arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_a,net_volmatch_c,net_volmatch_vol,net_volmatch_matched,net_cand_vol,gross_volmatch_c,gross_volmatch_vol,gross_volmatch_matched,gross_cand_vol,m1_rate_gt0_per_day,chg_rate_gt1pct_per_day,chg_rate_gt0p1pct_per_day,mean_n_held_gt0,mean_n_held_gt1pct,frac_bars_all_assets_gt0,mean_tenure_gt1pct_days,days,kind,first_bar_warm
R63_BASELINE_k1,W_TRAIN,U8,VOLMATCH_HOLD,0.2616516762060507,4.475293409757335,3.8640625,2.8641877822446946,0.54675115779283,-2.0967205691000323,-4.7630226828057,0.6392459032816697,-4.9818825165500105,-8.512973236132241,-1.448229643983467,31.85336074632893,10.015906632997387,62.828790973685095,54.52921223305445,7970.357715921371,96.60138208939222,64.74802134306329,639,nan,1.0,0.9450786722179523,True,0.9533482246376135,0.9471664375788708,0.8965418397216038,True,0.8989782404585822,3.821875,3.821875,3.821875,0.8456163194444445,0.8456163194444445,0.0,0.2438911421561264,640.0,reference,True
smoothed_score,W_TRAIN,U8,VOLMATCH_HOLD,0.2616516762060507,4.475293409757335,3.8640625,2.8641877822446946,0.54675115779283,-2.096720569100032,-4.7630226828057,0.6392459032816697,-4.9818825165500105,-8.512973236132241,-1.4482296439834665,31.85336074632893,10.015906632997414,62.828790973685095,54.52921223305445,7970.357715921371,96.60138208939222,64.74802134306329,639,1.0,1.0,0.9450786722179523,True,0.9533482246376135,0.9471664375788708,0.8965418397216038,True,0.8989782404585822,3.821875,3.821875,3.821875,0.8456163194444445,0.8456163194444445,0.0,0.2438911421561264,640.0,grid,True
smoothed_score,W_TRAIN,U8,VOLMATCH_HOLD,80.0,2.901414685511509,11.2046875,1.8569053987273656,0.5467537318525311,-1.7583671674046892,-4.190183960345166,0.7926922789390295,-3.6445704761743194,-6.630468496111459,-0.6145594027964035,29.68138898059607,2.0727283494164532,60.29787216449262,204.58330140659103,7850.16441434902,91.65090403134818,61.96951505075211,639,0.5,0.9575313830053855,0.9052532827413639,True,0.908758704914306,0.9264524549325761,0.8772372276692711,True,0.8793181058365666,0.0125,2.8515625,2.2765625,7.402175564236111,0.8847276475694444,0.6847384982638889,0.6181503214459001,640.0,grid,True
smoothed_score,W_TRAIN,U8,VOLMATCH_HOLD,80.0,1.6691727869708497,14.6890625,1.0682705836613438,0.5467614540316341,-1.261233535395082,-3.447235622917228,1.1006642626151901,-2.334215045787876,-4.859748724745878,0.30069590541291946,21.6574102667662,-7.605658995030748,52.692540560978166,717.44385443341,7424.627739769216,82.3553520199039,60.697941753137705,639,0.2,0.9240029915315503,0.8749215769847655,True,0.8769381106712335,0.9093218700044844,0.8583171067333497,True,0.863059059394795,0.0125,1.790625,1.4671875,7.402175564236111,0.9245822482638889,0.6847384982638889,1.0326922144657749,640.0,grid,True
smoothed_score,W_TRAIN,U8,VOLMATCH_HOLD,80.0,1.1086228015532413,14.415625,0.7095185929940745,0.5467743243301391,-0.90369034062649,-2.933479465497979,1.3443283604526055,-1.6407574730708305,-3.9176046873765675,0.7700713597000807,13.67570495118538,-12.693926730479221,45.85183312273208,1420.0953111186102,7345.431899283908,72.85923928812056,59.18353433693518,639,0.1,0.9062049844387111,0.8556265310632157,True,0.8600466602573799,0.8979913032943783,0.8482347248586594,True,0.8523049484800471,0.0125,1.39375,1.0890625,7.402175564236111,0.9664984809027778,0.6847384982638889,1.3838009569972656,640.0,grid,True
smoothed_score,W_TRAIN,U8,VOLMATCH_HOLD,80.0,0.7198296057565527,11.3421875,0.4606909476841938,0.5468000649271492,-0.5348571713364667,-2.418923697670355,1.6276203657875827,-0.9908989035261724,-3.0114446767078276,1.280854769187755,4.3658481794467505,-17.43504894050685,38.135409836460944,2605.715676019076,7036.784204547249,62.64574297939207,58.27989479994532,639,0.05,0.8879879993871871,0.8402233913747869,True,0.8427575728846968,0.8837570946174829,0.8364342698450193,True,0.838794921769868,0.0125,1.05625,0.80625,7.402175564236111,1.0238823784722222,0.6847384982638889,1.932993280891511,640.0,grid,True
smoothed_score,W_TRAIN,U8,VOLMATCH_HOLD,80.0,0.4314843161655998,7.6796875,0.2761499623459839,0.5468772867181612,-0.11524620820143427,-1.7976647316926442,1.94921456175483,-0.3843090545407106,-2.134293271940139,1.7132372057669563,-4.2003352542065215,-21.860592481343375,29.992724911745356,4586.4550173599255,6752.3897143285985,53.19176838854235,57.39210364274887,639,0.02,0.8652864289631099,0.8188650534996615,True,0.8212123263222776,0.8635038115705893,0.8172268022293231,True,0.8195720481178549,0.0125,0.7328125,0.521875,7.402175564236111,1.1303819444444445,0.6847384982638889,3.0784869976359337,640.0,grid,True
smoothed_score,W_TRAIN,U8,VOLMATCH_HOLD,80.0,0.292969986063206,5.4875,0.18750079108045184,0.5470059860809116,0.13855602221857843,-1.407588180736422,2.1194305236919786,-0.04456614281950211,-1.620376899352506,1.9679261932840169,-5.990998748506641,-21.985407379533108,25.434947819120733,6214.015224443029,6513.049447380412,50.27927278491825,56.27027153342489,639,0.01,0.8493384635325325,0.8041492339230886,True,0.806076684119908,0.848630922343101,0.8034318136342561,True,0.8054558344749391,0.0125,0.5078125,0.4078125,7.402175564236111,1.2417751736111111,0.6847384982638889,4.875681663258351,640.0,grid,True
R63_BASELINE_k1,W_VAL,U8,VOLMATCH_HOLD,0.41430192962542567,2.528176800047855,2.43013698630137,0.9227845320174671,0.408704161028632,0.604780987858091,-0.3368852089081132,1.6330085680690989,-0.24628278989822538,-1.5851012758006202,1.1299578979908707,7.910577575515845,-23.02678671027434,34.05487181541009,285.4055321207132,377.6996078876227,73.32733907384268,65.41676149832684,364,nan,0.9442456165635664,0.7502189782880408,True,0.7494355557264848,0.8900029406813756,0.7055529523558172,True,0.7063188835063312,2.4136986301369863,2.4136986301369863,2.4136986301369863,0.5608637747336378,0.5608637747336378,0.0,0.3378139897323066,365.0,reference,True
smoothed_score,W_VAL,U8,VOLMATCH_HOLD,0.41430192962542567,2.528176800047855,2.43013698630137,0.9227845320174671,0.408704161028632,0.604780987858091,-0.3368852089081132,1.6330085680690989,-0.24628278989822538,-1.5851012758006202,1.1299578979908707,7.910577575515845,-23.02678671027434,34.05487181541009,285.4055321207132,377.6996078876227,73.32733907384268,65.41676149832684,364,1.0,0.9442456165635664,0.7502189782880408,True,0.7494355557264848,0.8900029406813756,0.7055529523558172,True,0.7063188835063312,2.4136986301369863,2.4136986301369863,2.4136986301369863,0.5608637747336378,0.5608637747336378,0.0,0.3378139897323066,365.0,grid,True
smoothed_score,W_VAL,U8,VOLMATCH_HOLD,73.0,1.6881421407938133,7.178082191780822,0.6161718813897419,0.4086946480910369,0.5842807965805382,-0.36484631540491674,1.6107052873976737,0.008814495634429487,-1.190226893284791,1.2567788988882747,0.7235546515096587,-26.699427120096228,29.220412315805024,384.7611887893988,394.14460736270746,64.57450157072307,63.85094691921341,364,0.5,0.916054206177764,0.7272349156250241,True,0.7270603972522649,0.8844789223093604,0.7010751332970148,True,0.7019349446330472,0.0136986301369863,1.3315068493150686,1.1287671232876713,6.7746099695585995,0.5809455859969559,0.33007990867579906,0.8690374544626595,365.0,grid,True
smoothed_score,W_VAL,U8,VOLMATCH_HOLD,73.0,0.9984704256117248,9.58904109589041,0.3644417053482796,0.40866610927825137,0.5766447499196466,-0.362620070281176,1.604509304744371,0.24728077010686322,-0.8514559667165315,1.418820865139757,-7.896723029861725,-32.02442363443546,23.706163228291214,487.1641604844909,392.9962864808762,55.71808630965075,63.614809339512476,364,0.2,0.9038972233838592,0.7181803861892465,True,0.7174115569544779,0.887378119267701,0.7033710427791734,True,0.7042357882202743,0.0136986301369863,0.8876712328767123,0.6986301369863014,6.7746099695585995,0.6017218417047184,0.33007990867579906,1.3474139400136333,365.0,grid,True
smoothed_score,W_VAL,U8,VOLMATCH_HOLD,73.0,0.6774199381437137,9.191780821917808,0.2472582774224555,0.4086185446231448,0.5476706152732308,-0.39407066932087453,1.5864104970510255,0.3185186856967953,-0.6919362016994752,1.4300518581663242,-11.822521239093007,-33.223681680543834,21.616845693987415,533.5929490452926,400.6893452292474,51.39834590870193,63.220867147794934,364,0.1,0.8923611670513131,0.7072328995215428,True,0.7082555379729571,0.8830856520368117,0.7008555583621929,True,0.7008292256984829,0.0136986301369863,0.6383561643835617,0.5123287671232877,6.7746099695585995,0.6243436073059361,0.33007990867579906,1.9477386039886038,365.0,grid,True
smoothed_score,W_VAL,U8,VOLMATCH_HOLD,73.0,0.45103397621949676,7.306849315068493,0.16462740132011633,0.40852354455550594,0.5211690337408137,-0.4080051701593368,1.5413224428793808,0.3714796962992811,-0.5947875605104478,1.444232566320713,-13.801697285938502,-35.11674523979586,19.568300854511364,582.210701239324,414.3435308684509,48.4125815957783,62.2142788817168,364,0.05,0.8717543420365176,0.6917834797439824,True,0.6919001669912778,0.865797995864141,0.6856500384639909,True,0.687109497989523,0.0136986301369863,0.4712328767123288,0.35342465753424657,6.7746099695585995,0.6552606544901065,0.33007990867579906,2.749082056194125,365.0,grid,True
