window,universe,p_a,days,aim_flat_frac_bars,aim_forced_exits_per_day,aim_forced_exits,smoothed_mean_notional_on_aim_flat_bars,smoothed_frac_of_aim_flat_bars_holding_gt1pct,smoothed_frac_of_aim_flat_bars_holding_gt5pct,aim_mean_notional,smoothed_mean_notional,r65_winner_turnover_per_day,cand_turnover_per_day
W_TRAIN,U8,0.02,640.0,0.15438368055555557,0.3546875,227,0.03133223030948526,0.22431121731796458,0.1356831599662637,0.54675115779283,0.5468772867181612,0.6073928250382219,0.4314843161655998
W_FULL6,U6,0.02,2330.8020833333335,0.2748800409968552,0.5410154766107875,1261,0.031826988954236864,0.16438957505731117,0.11389071044174312,0.5248922928116057,0.5248495219358644,0.9002852577959676,0.33587025006622234
