arm,form,seed,window,universe,bench,fee,p_delta,mean_notional,turnover_per_day,cand_final,bench_final,cand_dd,bench_dd,growth_diff,growth_lo,growth_hi,dd_diff,dd_lo,dd_hi,n_days,scramble_p90,scramble_survived,scramble_mean_turnover_per_day,n_better,perm,identity_perm
gate_hysteresis_scrambled,preregistered_redraw,0,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.12815363238223698,641.8798494738523,2275.686575613846,84.94277786932129,85.56860165641524,-1.2580811379180172,-3.6190580718669274,1.2230422649008605,-0.6258237870939496,-25.191130282069604,18.409866187457435,2332,,,,,,
gate_hysteresis_scrambled,preregistered_redraw,1,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.12292600131872367,938.7734174229413,2275.686575613846,82.93774994266714,85.56860165641524,-0.8779081256496583,-3.5974204758824517,1.8601799677080457,-2.6308517137481005,-22.95370785021277,18.044877890738956,2332,,,,,,
gate_hysteresis_scrambled,preregistered_redraw,2,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.12744751861767198,422.69905163393327,2275.686575613846,88.93259871083424,85.56860165641524,-1.6758218097620463,-4.437410696787198,1.0308489365669964,3.363997054419002,-19.12052261833383,22.24430235192185,2332,,,,,,
gate_hysteresis_scrambled,preregistered_redraw,3,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.12311980985840634,302.88929704222255,2275.686575613846,91.8411022694591,85.56860165641524,-2.0091148912867127,-4.599932556712399,0.6623602238226272,6.27250061304386,-19.479752291608687,23.369701902575883,2332,,,,,,
gate_hysteresis_scrambled,preregistered_redraw,4,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.12307482922534416,737.7633227192267,2275.686575613846,87.62155396314434,85.56860165641524,-1.1188592014984393,-3.746555881713416,1.3436966928209757,2.0529523067290967,-24.162294608420684,18.55423284110266,2332,,,,,,
gate_hysteresis_scrambled,preregistered_redraw,5,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.12217987069493953,2220.351739354355,2275.686575613846,64.24174873973517,85.56860165641524,-0.01706137027445387,-2.6734222406282684,2.437628798840434,-21.326852916680068,-31.294656880679167,12.335675936145599,2332,,,,,,
gate_hysteresis_scrambled,preregistered_redraw,6,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.1304241484677563,228.56385773427309,2275.686575613846,89.2604862871411,85.56860165641524,-2.2906666375294704,-4.714676582001983,0.08988918966312896,3.691884630725866,-14.109898273074315,24.632275978863166,2332,,,,,,
gate_hysteresis_scrambled,preregistered_redraw,7,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.12539732254396713,584.8873351000017,2275.686575613846,88.65238633922455,85.56860165641524,-1.3510630346294599,-3.934466303056837,1.2196974555258595,3.083784682809309,-21.04900423983875,19.96532404553067,2332,,,,,,
gate_hysteresis_scrambled,preregistered_redraw,8,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.1270081621468974,590.3973648111704,2275.686575613846,79.39905844356049,85.56860165641524,-1.3416864638603259,-3.8941954506083074,1.1615513922868557,-6.169543212854748,-20.24760981459994,20.778281423589515,2332,,,,,,
gate_hysteresis_scrambled,preregistered_redraw,9,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.12589492472332325,295.86901902347347,2275.686575613846,86.04902514149492,85.56860165641524,-2.0325654206494055,-4.899969923965374,0.7620164939107764,0.48042348507968313,-17.06264590497205,24.610869869839572,2332,,,,,,
gate_hysteresis,preregistered_redraw,-1,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.10235240375607418,,,,,1.0927747138769037,,,,,,,-0.7918234501121382,True,0.12556262199792667,0,,
gate_hysteresis_fixedperm,fixed_permutation,0,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.10235240375607418,273.73327275011656,2275.686575613846,88.9046250408519,85.56860165641524,-2.110328098586298,-4.637562354867082,0.3900577129092361,3.3360233844366576,-18.9853203576353,24.010517657804776,2332,,,,,3;2;1;4;0;5,False
gate_hysteresis_fixedperm,fixed_permutation,1,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.10235240375607418,1361.7832838475906,2275.686575613846,83.63881821021076,85.56860165641524,-0.5059319158095478,-3.1825667280525356,2.125230648443737,-1.9297834462044818,-27.706697087984296,17.687105058480537,2332,,,,,1;4;2;5;3;0,False
gate_hysteresis_fixedperm,fixed_permutation,2,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.08,0.5114374581467357,0.10235240375607418,208.527910885223,2275.686575613846,91.05251820468037,85.56860165641524,-2.3824093763042558,-4.90602463403568,0.018343247849485662,5.483916548265128,-15.782734265389577,24.03973873292577,2332,,,,,3;4;0;2;5;1,False
