arm,window,universe,bench,kind,turnover_per_day,hold_days,mean_notional,net_growth_diff,net_growth_lo,net_growth_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,rebalances_per_day,implied_log_drag_total,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,p_a,net_volmatch_c,net_volmatch_vol,net_volmatch_matched,net_cand_vol,gross_volmatch_c,gross_volmatch_vol,gross_volmatch_matched,gross_cand_vol,m1_rate_gt0_per_day,chg_rate_gt1pct_per_day,chg_rate_gt0p1pct_per_day,mean_n_held_gt0,mean_n_held_gt1pct,frac_bars_all_assets_gt0,mean_tenure_gt1pct_days,days,first_bar_warm,d1_pass,d2_pass,d5_pass,d4_pass,d3_pass
R63_BASELINE_k1,W_FULL6,U6,MATCHED_HOLD,substrate reproduction,3.441142127959111,0.3496028323583821,0.5248922928116057,-7.537190690349034,-11.96768019266653,-3.110886311309345,1.4419127717368445,2716.9361266858327,99.92001112992408,57.26604483757677,2332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoothed_score,W_FULL6,U6,VOLMATCH_HOLD,D1/D2/D5 primary,0.33587025006622234,388.4670138888889,0.5248495219358644,1.2462365613656454,-1.7945490737962833,4.324603595925927,8201.218180869202,2375.6879157509693,73.08994239729985,83.75062513067772,2332,5.967044606425721,0.7828470785840388,2.016824570889381,-0.9389311048568832,4.984022695712951,-10.660682733377868,-25.768528492439682,17.144604763721592,0.02,0.9287148181575744,0.7556327769929246,True,0.7597149581281792,0.9279269293798934,0.754993415863482,True,0.7590187448133574,0.0025742211416849526,0.43718855722949446,0.3282131955648315,5.892743765185744,0.9128697649682468,0.9167832365765838,4.171997549019608,2330.8020833333335,True,False,False,True,,
smoothed_score,W_FULL6,U6,MATCHED_HOLD,context,0.33587025006622234,388.4670138888889,0.5248495219358644,1.1089065058095195,-1.6076431837295075,4.050840560177473,8201.218180869202,2716.854363147442,73.08994239729985,57.26231317409323,2332,,,,,,15.827629223206621,-4.2203597212366954,41.084810293954476,0.02,,,,,,,,,,,,,,,,,,,,,,
smoothed_score,W_FULL6,U6,EW_HOLD,context,0.33587025006622234,388.4670138888889,0.5248495219358644,1.7357401441928895,-1.591067602739439,5.322236728348029,8201.218180869202,1456.938169497219,73.08994239729985,90.68587568626779,2332,,,,,,-17.59593328896794,-30.595434209682164,10.504801351135747,0.02,,,,,,,,,,,,,,,,,,,,,,
smoothed_score,W_FULL6,U6,BTC_HOLD,context,0.33587025006622234,388.4670138888889,0.5248495219358644,-0.22299831727442543,-4.187173206964155,4.090870144076299,8201.218180869202,9803.827594705079,73.08994239729985,76.46724108579211,2332,,,,,,-3.3772986884922602,-19.739268457025016,35.96087681679995,0.02,,,,,,,,,,,,,,,,,,,,,,
smoothed_score,W_FULL6,U6,EW_HOLD,D4 @0.40%,,,,,,,789.1093930623138,1453.938169497219,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,False,
smoothed_score,W_VAL,U8,VOLMATCH_HOLD,D3 inner-validation,0.2768202548445889,73.0,0.4082646474177535,0.45052201666965447,-0.49449981475518084,1.4915462495514347,648.637447717968,426.15254219100393,45.639378441739126,60.99772817409194,364,4.980821917808219,0.10103939301827494,0.5474527069995252,-0.3785511625963766,1.5463621281550737,-15.358349732352814,-36.985165658460794,17.49242534669084,0.02,0.8464168438759119,0.6708541711168593,True,0.671790121806404,0.8437981695932801,0.6687222028028547,True,0.6696501256451224,0.0136986301369863,0.336986301369863,0.24383561643835616,6.7746099695585995,0.712947108066971,0.33007990867579906,4.197188620071684,365.0,True,,,,,True
smoothed_score,W_VAL,U8,MATCHED_HOLD,context,,,0.4082646474177535,-0.044027337271030975,-0.9171279056932277,0.9548815477105932,648.637447717968,687.9404125948984,45.639378441739126,34.74526675806909,364,,,,,,10.894111683670033,,,0.02,,,,,,,,,,,,,,,,,,,,,,
