arm,seed,p_a,window,universe,fee,bench,mean_notional,turnover_per_day,cand_final,bench_final,cand_dd,bench_dd,growth_diff,growth_lo,growth_hi,dd_diff,dd_lo,dd_hi,n_days,scramble_p90,scramble_survived,control,perm,identity_perm,n_beaten
smoothed_score_scrambled_prereg,0,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,248.07365119414834,1.5484300878334535e-249,2375.6879157509693,100.0,83.75062513067772,-580.6722480039165,-653.9091571393891,-509.940542069247,16.24937486932228,2.5704891437330994,40.63881864051498,2332,,,,,,
smoothed_score_scrambled_prereg,1,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,248.33237565046127,2.339451964060143e-249,2375.6879157509693,100.0,83.75062513067772,-580.2595728764662,-653.7234640113718,-509.3866978377747,16.24937486932228,2.5704891437330994,40.63881864051498,2332,,,,,,
smoothed_score_scrambled_prereg,2,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,248.3056597386363,3.417886260084379e-249,2375.6879157509693,100.0,83.75062513067772,-579.8804672676185,-652.5871615125593,-509.40920778849477,16.24937486932228,2.5704891437330994,40.63881864051498,2332,,,,,,
smoothed_score_scrambled_prereg,3,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,247.9826847832023,1.5112777639916043e-249,2375.6879157509693,100.0,83.75062513067772,-580.6965340806936,-653.973941683526,-509.8295780051527,16.24937486932228,2.5704891437330994,40.63881864051498,2332,,,,,,
smoothed_score_scrambled_prereg,4,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,248.45525234225113,7.488123225696025e-250,2375.6879157509693,100.0,83.75062513067772,-581.3987564725439,-654.0868300062301,-510.37246997277896,16.24937486932228,2.5704891437330994,40.63881864051498,2332,,,,,,
smoothed_score_scrambled_prereg,5,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,248.10920764151663,1.3098066286506005e-248,2375.6879157509693,100.0,83.75062513067772,-578.5370249674186,-650.8549516250416,-507.9389924252873,16.24937486932228,2.5704891437330994,40.63881864051498,2332,,,,,,
smoothed_score_scrambled_prereg,6,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,248.10185978569356,2.5464329596384847e-249,2375.6879157509693,100.0,83.75062513067772,-580.1747960344891,-652.8630499989946,-510.09460194157697,16.24937486932228,2.5704891437330994,40.63881864051498,2332,,,,,,
smoothed_score_scrambled_prereg,7,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,248.08394943036808,2.565578398318967e-248,2375.6879157509693,100.0,83.75062513067772,-577.864720532396,-650.0979016372993,-508.410985236708,16.24937486932228,2.5704891437330994,40.63881864051498,2332,,,,,,
smoothed_score_scrambled_prereg,8,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,248.0113711171217,4.75039771175779e-249,2375.6879157509693,100.0,83.75062513067772,-579.5512612316803,-651.1401069458317,-508.75410903269125,16.24937486932228,2.5704891437330994,40.63881864051498,2332,,,,,,
smoothed_score_scrambled_prereg,9,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,248.4171652877935,1.703994339900356e-249,2375.6879157509693,100.0,83.75062513067772,-580.5765144682659,-652.2762460254623,-510.0198854506851,16.24937486932228,2.5704891437330994,40.63881864051498,2332,,,,,,
smoothed_score,-1,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,,0.33587025006622234,,,,,1.2462365613656454,,,,,,,-578.4697945239163,True,prereg redraw-per-change,,,
smoothed_score_fixedperm,0,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,0.33587025006622234,234.13490256884046,2375.6879157509693,88.32936681280191,83.75062513067772,-2.3099039635495435,-4.6662370267075035,-0.02876747003316647,4.578741682124189,-17.45530450497268,24.73666318656841,2332,,,,3;2;1;4;0;5,False,
smoothed_score_fixedperm,1,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,0.33587025006622234,1158.1982255429023,2375.6879157509693,77.28911166732101,83.75062513067772,-0.7111805967867879,-3.2488510433365083,1.864800591678076,-6.4615134633567095,-26.17092546571332,20.741750199597305,2332,,,,1;4;2;5;3;0,False,
smoothed_score_fixedperm,2,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,0.33587025006622234,231.70016590747082,2375.6879157509693,89.10584570537212,83.75062513067772,-2.320357272013137,-4.678015402768282,-0.23046047448361678,5.3552205746944,-16.19578290909665,23.694261005671695,2332,,,,3;4;0;2;5;1,False,
smoothed_score_fixedperm,3,0.02,W_FULL6,U6,0.001,VOLMATCH_HOLD,0.5248495219358644,0.33587025006622234,928.1252440067364,2375.6879157509693,87.4206822723577,83.75062513067772,-0.9326347346016306,-3.547469366929598,1.6215996101513537,3.670057141679976,-22.102629324468726,21.663942867342723,2332,,,,2;0;3;5;4;1,False,
