strategy,config,verdict,holdout_spot_final,holdout_spot_sharpe,holdout_spot_dd,holdout_spot_trades_per_day,holdout_fut_final,holdout_fut_sharpe,holdout_fut_dd,holdout_fut_liquidated,innerval_spot_final,innerval_spot_sharpe,holdout_spot_slip1bp_final,holdout_spot_fee0.20_final,bench_holdout_sharpe,bench_holdout_dd,bench_holdout_final,bench_holdout_fee0.20_final,bench_innerval_sharpe
coin_betting,day_d0.99_s3,DROP,1147.6642985529134,0.6251602621162696,6.402184831265309,0.0121301144305716,1067.5308754307948,0.2884676558258466,8.90367087507286,False,1055.4037628667677,0.2360535843494671,1147.3712730563082,1144.73953491345,1.028270603399782,53.95426335016755,3838.928528523996,3835.0887582251735,0.0762487457738343
focal_levels,breakout_h24_s5,DROP,79.0536945848219,-4.085600931424702,92.46523356640274,1.089435902295719,40.16028005462968,-3.657845693184015,96.19668778646069,False,60.452335562777215,-3.5434620398211085,59.30703324306569,4.997783116446226,1.028270603399782,53.95426335016755,3838.928528523996,3835.0887582251735,0.0762487457738343
intraday_momentum,h4,DROP,655.5000567110897,-0.9164894831961836,50.099900410887145,0.2752019711435949,716.6356778364916,-0.4790238911794436,53.91488416439034,False,669.6332362962711,-0.9559533867045106,609.5972659158231,317.1582767385301,1.028270603399782,53.95426335016755,3838.928528523996,3835.0887582251735,0.0762487457738343
jump_momentum,a0.01_h12,DROP,551.08895569444,-1.485433100625776,50.02318309635031,0.4078750977279727,684.9896874547989,-0.5732597466149577,45.0557251851917,False,918.3590607006352,-0.1035165822558618,494.8706561122799,187.8981199219458,1.028270603399782,53.95426335016755,3838.928528523996,3835.0887582251735,0.0762487457738343
level_k,follow_f12,DROP,4.988462119411839,-7.240503259671916,99.55405382353544,2.203132033452581,5.008681119942444,-5.553945719362606,99.5524437291368,False,4.951563928079648,-7.425833169131186,4.99804536244356,4.981964670546552,1.028270603399782,53.95426335016755,3838.928528523996,3835.0887582251735,0.0762487457738343
mfg_crowding,gamma0.5,DROP,1100.1457106201856,0.2321456731084266,40.96195701180656,0.2342628349404155,1181.1147720753656,0.3066119111417615,42.95649272011161,False,561.1075483835209,-0.6496327339080364,1040.6692071838788,631.3425193600979,1.028270603399782,53.95426335016755,3838.928528523996,3835.0887582251735,0.0762487457738343
noise_area_breakout,band1.5,DROP,312.14173209067786,-1.88883087644579,77.44425124880445,0.951455850647966,362.9610876958101,-1.098281788622518,74.59614003208192,False,541.7833813137562,-2.179268474184541,252.7056228516631,37.81814539977916,1.028270603399782,53.95426335016755,3838.928528523996,3835.0887582251735,0.0762487457738343
robust_kelly,kappa0.5,DROP,599.6088937465038,-0.8150745722773001,43.01356188105801,0.2691369139283091,961.4274392105684,0.0984080252266352,41.91390759117176,False,884.0441498481016,-0.1689296150939295,558.7696409798167,296.3027932991509,1.028270603399782,53.95426335016755,3838.928528523996,3835.0887582251735,0.0762487457738343
session_drift,lb90_t2.5,DROP,633.3578978587916,-3.744975945175149,37.609010187595885,0.1417707124073065,653.6822954586245,-2.787067274653478,36.5768764423018,False,974.836519653082,-0.6113327874794469,610.1078555195791,435.7364844991476,1.028270603399782,53.95426335016755,3838.928528523996,3835.0887582251735,0.0762487457738343
vwap_reversion,z3.0,DROP,435.5430757680937,-1.163826254826147,60.87642208518105,0.2964296713970954,175.71541959981244,-1.709868837834046,84.89417745412553,False,544.3138867598801,-0.583018027363696,402.78136072093616,199.2574364318754,1.028270603399782,53.95426335016755,3838.928528523996,3835.0887582251735,0.0762487457738343
