strategy,config,slice,market,fee,slippage_bps,final_balance,profit_pct,sharpe,max_dd_pct,trades,fills,trades_per_day,fills_per_day,time_in_market_pct,fees_paid,liquidated,days,seconds
coin_betting,frozen_fee0,inner_train,spot,0.0,0.0,2127.1374352412085,112.71374352412087,0.9597002037697675,28.34237204760451,13,41,0.008904088413031742,0.028082124994946264,66.7124079328198,0.0,False,1460.0034722222222,9.559640169143677
coin_betting,frozen_fee0,inner_val,spot,0.0,0.0,1057.3196088168243,5.731960881682419,0.24069144722990826,18.864435043218762,9,25,0.01234562021023753,0.034293389472882026,41.15206736745843,0.0,False,729.0034722222222,4.598665475845337
focal_levels,frozen_fee0,inner_train,spot,0.0,0.0,936.3678361059051,-6.363216389409487,0.1726813233349268,63.62919322233039,2448,4896,1.6767083411616697,3.3534166823233393,10.261819202294514,0.0,False,1460.0034722222222,13.519899129867554
focal_levels,frozen_fee0,inner_val,spot,0.0,0.0,1000.0979361079618,0.009793610796182683,0.18729671505502513,47.273379538765475,1403,2806,1.9245450172181395,3.849090034436279,11.946483260539264,0.0,False,729.0034722222222,6.397863388061523
intraday_momentum,frozen_fee0,inner_train,spot,0.0,0.0,2006.6541346918186,100.66541346918187,0.9534739216690326,28.42282243278152,399,798,0.27328702129228194,0.5465740425845639,4.554783688204699,0.0,False,1460.0034722222222,9.047812700271606
intraday_momentum,frozen_fee0,inner_val,spot,0.0,0.0,973.3364869709999,-2.6663513029000163,0.02421829749508683,25.861677364700107,187,374,0.25651455325715755,0.5130291065143151,4.275242554285959,0.0,False,729.0034722222222,4.677501201629639
jump_momentum,frozen_fee0,inner_train,spot,0.0,0.0,2720.889816558618,172.08898165586177,1.2482096012519042,26.92715211923773,554,1108,0.37945115237073734,0.7589023047414747,1.4899603073622827,0.0,False,1460.0034722222222,9.384892463684082
jump_momentum,frozen_fee0,inner_val,spot,0.0,0.0,1656.7092302940393,65.67092302940394,1.33033555984918,20.041954753041487,295,590,0.40466199578000794,0.8093239915600159,1.6656108748148395,0.0,False,729.0034722222222,4.585047245025635
level_k,frozen_fee0,inner_train,spot,0.0,0.0,5258.433314445169,425.84333144451693,1.115132542974048,64.6786056409817,7620,15239,5.219165669792452,10.437646409706979,24.998751429910033,0.0,False,1460.0034722222222,9.573506355285645
level_k,frozen_fee0,inner_val,spot,0.0,0.0,1016.5632917386226,1.6563291738622699,0.21549784079713696,44.874451996208016,3788,7576,5.196134372931085,10.39226874586217,24.32115759241354,0.0,False,729.0034722222222,4.623222589492798
mfg_crowding,frozen_fee0,inner_train,spot,0.0,0.0,12605.10934513795,1160.5109345137948,1.6655910165820154,40.451226130240414,204,4791,0.1397256950968058,3.28149904514116,56.50386105436393,0.0,False,1460.0034722222222,9.202142477035522
mfg_crowding,frozen_fee0,inner_val,spot,0.0,0.0,726.0469607962797,-27.395303920372026,-0.28104282733442476,47.78039766901086,170,2302,0.2331950484155978,3.157735302662977,45.31347492057746,0.0,False,729.0034722222222,4.797638893127441
noise_area_breakout,frozen_fee0,inner_train,spot,0.0,0.0,1380.6345867233774,38.06345867233774,0.5456730054035767,18.233136924466734,1541,3117,1.0554769418832242,2.1349264294938415,12.37915625200663,0.0,False,1460.0034722222222,9.905298471450806
noise_area_breakout,frozen_fee0,inner_val,spot,0.0,0.0,1071.003467795627,7.100346779562705,0.3206496136408794,13.463617834365712,634,1271,0.8696803570322882,1.7434759208013224,10.975789819626298,0.0,False,729.0034722222222,5.0029871463775635
robust_kelly,frozen_fee0,inner_train,spot,0.0,0.0,5356.373751974506,435.63737519745064,1.4344372318265979,27.417488637984626,251,3117,0.1719173993593052,2.1349264294938415,17.179135323593695,0.0,False,1460.0034722222222,9.107628583908081
robust_kelly,frozen_fee0,inner_val,spot,0.0,0.0,1095.5861278944753,9.55861278944754,0.31750175909729317,25.510559715877285,105,1422,0.14403223578610452,1.9506079932175298,9.082508942477602,0.0,False,729.0034722222222,5.013525009155273
session_drift,frozen_fee0,inner_train,spot,0.0,0.0,850.6041874608254,-14.939581253917456,-0.6196115653641593,16.922793197105,125,250,0.08561623474068983,0.17123246948137966,0.35673431141954093,0.0,False,1460.0034722222222,8.388348579406738
session_drift,frozen_fee0,inner_val,spot,0.0,0.0,1000.514621248239,0.05146212482389778,0.022900520130403123,3.144911543267016,13,26,0.017832562525898654,0.03566512505179731,0.07430234385791105,0.0,False,729.0034722222222,4.62773871421814
vwap_reversion,frozen_fee0,inner_train,spot,0.0,0.0,6186.103122063393,518.6103122063394,1.2836744221340446,61.9872903304614,529,1058,0.36232790542259935,0.7246558108451987,6.627647860426512,0.0,False,1460.0034722222222,9.163178205490112
vwap_reversion,frozen_fee0,inner_val,spot,0.0,0.0,869.1585506729181,-13.084144932708197,0.01621402746652124,48.80293550337542,234,468,0.3209861254661758,0.6419722509323516,6.540987744876234,0.0,False,729.0034722222222,5.146092176437378
buy_and_hold,default_fee0,inner_train,spot,0.0,0.0,29832.895406441163,2883.289540644116,1.3782393838772533,84.06747772141922,1,1,0.0006849298779255187,0.0006849298779255187,99.99976217712572,0.0,False,1460.0034722222222,6.435513973236084
buy_and_hold,default_fee0,inner_val,spot,0.0,0.0,574.7082538840459,-42.52917461159541,0.07685645620875255,77.33141348342892,1,1,0.0013717355789152812,0.0013717355789152812,99.999523702924,0.0,False,729.0034722222222,3.015815496444702
