asset,window,market,fee,cand_final,cand_dd,cand_sharpe,cand_trades,hold_final,hold_dd,c_mean_notional,mh_final,mh_dd,dd_matched_diff,dd_matched_lo,dd_matched_hi,growth_matched_diff,growth_matched_lo,growth_matched_hi,v4_trades,v4_dd,v4_final
BCH,TRAIN,spot,0.004,326.5873475781094,71.60240096347736,-1.1303923001650742,156,438.21969104579637,94.65574554661566,0.3078993755220487,1081.5587696868815,50.54086496799436,21.522100377103904,11.93947744520742,47.18639285255768,-1.193788318189573,-1.721213980622997,-0.6621417345756087,68,54.13503938959675,959.2958267216337
LTC,TRAIN,spot,0.004,430.10622999950067,70.58184136984443,-0.8321292749355425,198,1722.826810810811,90.16120716046693,0.24680107194557704,1540.8866435304988,35.73504394022195,35.76893198785595,13.105182264116557,55.607813341176666,-1.2763760945418192,-1.9495776785281116,-0.6550245811994221,82,44.36865387304006,1345.1089413241139
ETC,TRAIN,spot,0.004,374.5529696300716,70.38310324337064,-0.9352745725833034,226,3137.325326320049,92.29022945593138,0.23298367129483322,2148.3248543485433,32.25049024756192,41.160082092413035,17.02141637554941,58.27006308316414,-1.7432655514940558,-2.36047678085082,-1.1644552321130928,77,43.78814591824281,2641.7473510552445
DASH,TRAIN,spot,0.004,423.2717310565208,61.75652903072181,-0.9054633129138161,201,641.2676722279457,93.46894241872201,0.2283539088542259,1241.0247963801337,35.17986668961085,27.63090310550742,14.253984664787366,48.047524251950236,-1.0734676769860951,-1.4686708781319309,-0.7085646965004843,96,52.81605831624868,929.390445533204
LINK,TRAIN,spot,0.004,363.0762552937004,74.8579273727165,-0.9784228832563723,223,2386.1623209383056,89.88553690997271,0.24455942025722838,1911.5990457422138,34.23359945087828,43.93650701496699,16.93889560870862,57.712807675060255,-1.6624076258664102,-2.41896094722509,-1.0246819121378237,103,51.94599594114299,1102.0790596862776
XTZ,TRAIN,spot,0.004,176.701877343674,83.20397092991416,-1.9562857324266065,308,444.4884643055814,92.26908422033469,0.1951062917764867,1175.9690422723943,32.2658660733981,51.762941318402554,35.36466499805614,70.77800180988592,-1.8968172471116773,-2.734546269257297,-1.1639249179976294,92,49.12127041732754,605.3088637701472
