asset,window,market,fee,cand_final,cand_dd,cand_sharpe,cand_trades,hold_final,hold_dd,c_mean_notional,mh_final,mh_dd,dd_diff,dd_lo,dd_hi,growth_diff,growth_lo,growth_hi
BCH,FULL,spot,0.001,141.18305060743577,89.75807662145773,-1.099224149455547,1892,973.9634060150375,94.65593623397166,0.3676643737359324,1904.676261947112,57.18594061311051,33.69498569365674,11.752708816849768,54.95035618654687,-2.594317009098802,-3.8205704631809496,-1.4236046814272845
LTC,FULL,spot,0.001,74.13133030957542,92.9954940490259,-1.4668668076550715,2118,1193.146283018868,90.43348507957518,0.37138789070593986,1896.6690569295267,49.54394687467181,45.906069094214146,23.529431055774424,62.9761640822084,-3.2413462285048835,-4.325194798327109,-2.232477984223154
ETC,FULL,spot,0.001,200.83046864696306,88.73822902705814,-0.7869818028461981,1598,1320.3463368399757,96.2897301507699,0.3127686133867475,2484.333782419933,43.20494238150663,49.009341492857,10.922960075080237,58.02002944909065,-2.5097434684369695,-3.6601950105256558,-1.3956952880435456
DASH,FULL,spot,0.001,237.1192652780729,77.34297105034129,-1.0628539178788647,1059,488.03369109528995,96.33321158846204,0.2575526886817094,1765.6783945168222,40.48678507963212,39.4481264542687,10.991630688794867,53.18888077931233,-2.0044666599978194,-3.159848911413242,-0.9562344812934661
LINK,FULL,spot,0.001,144.01607104484134,87.59927790938242,-1.0821731200409286,1496,4630.352601535792,90.58830000809661,0.3188390398128391,3501.4953292226633,41.45188601615664,49.957341722590044,23.35100217233789,61.08466907024198,-3.1917908960934573,-4.306617366813494,-2.1778093612684426
XTZ,FULL,spot,0.001,196.35401055160162,84.23585277894206,-0.9115854812461596,1910,132.87991711477832,97.88701134454601,0.30130287061757294,1115.0687141172828,51.74608568990434,32.97622167984317,5.82577032166501,50.706800483132604,-1.7380606352412,-2.929510150546847,-0.6535598751164875
