asset,window,market,fee,cand_final,cand_dd,cand_sharpe,cand_trades,hold_final,hold_dd,c_mean_notional,mh_final,mh_dd,dd_matched_diff,dd_matched_lo,dd_matched_hi,growth_matched_diff,growth_matched_lo,growth_matched_hi,v4_trades,v4_dd,v4_final
BCH,TRAIN,spot,0.001,559.9183028422465,62.56610545449761,-0.5079188310155679,156,439.52458168147643,94.65593623397166,0.3078993755220487,1101.2404566330792,50.151053904315845,12.280067638516051,-0.49533778118188243,35.764304761448656,-0.6724890440418236,-1.157253582183577,-0.19236869117302982,68,47.455200677176265,1263.0261164486276
LTC,TRAIN,spot,0.001,834.1120490749389,54.66798889155902,-0.05618663855308157,198,1728.0010000000002,90.16133659020439,0.24680107194557704,1567.3584243212467,35.583947773444145,19.183098946135317,2.7943095353664495,37.91714547128996,-0.6303339036408229,-1.1802793383014378,-0.09975115240029309,82,38.74197683121022,1721.0925505317525
ETC,TRAIN,spot,0.001,783.4445024772023,54.721280518994085,-0.1079545141428681,226,3146.7600532065553,92.29027173768806,0.23298367129483322,2195.583169797344,31.644057075991523,26.01323479400245,6.324528715867057,45.90716764206072,-1.0263616861488967,-1.623853711101463,-0.4504151692014223,77,40.01402293166516,3391.111519038688
DASH,TRAIN,spot,0.001,770.3505678749242,44.164596988562224,-0.1641363318368413,201,643.1841531683913,93.46913482036393,0.2283539088542259,1256.8005229456983,34.61374300702813,9.786268156072808,0.5561149386696775,31.68765351566079,-0.48658755004580845,-0.846782995563542,-0.1435366968641438,96,46.019325162000385,1210.5465571074806
LINK,TRAIN,spot,0.001,800.5065284161599,49.503094928333134,-0.08794280550025922,223,2393.3345086519753,89.88559542123234,0.24455942025722838,1958.8167034731903,34.0487150255151,18.327139900076165,1.6499555549570597,38.50267778782544,-0.8954420275788819,-1.510909818860741,-0.35926072993556796,103,42.238627030247294,1446.9139716290686
XTZ,TRAIN,spot,0.001,424.21783714194817,60.73002807234151,-0.8902514538317386,308,445.81223678842935,92.26933220494669,0.1951062917764867,1186.5991862201063,31.900524089932276,29.393961580016004,9.220664507638173,55.30768623192792,-1.0294467123756044,-1.72990192605802,-0.3757143223606888,92,41.82805623071634,797.2110609099648
