k,h,k1,btc_adv,eth_adv,margin
0.001,0.02,0,7.160047841838981,5.653277057303228,-12.153277057303228
0.002,0.04,0,9.77100357328947,6.412217113980375,-12.912217113980375
0.001,0.04,0,2.957679228395463,9.063266813506477,-15.563266813506477
0.0005,0.04,0,17.128805735822315,11.123142090222562,-17.728805735822313
0.0005,0.02,0,16.45779575744433,13.485966609655073,-19.985966609655073
0.002,0.02,0,20.06259910541111,12.398992110099982,-20.66259910541111
0.001,0.01,0,22.409538487978786,9.287955683275598,-23.009538487978787
0.002,0.01,0,26.530615790309483,10.176283709316209,-27.130615790309484
0.0005,0.01,0,28.044603348660523,26.628621389205392,-33.12862138920539
