k,h,ticker,cand_dd,cand_trades,c_mean_notional,mh_dd,dd_diff,dd_lo,dd_hi
0.0005,0.01,BCH,86.01463734397791,1029,0.29605591737794756,49.62584549055018,37.150516319014486,25.36312413850115,63.3611121266253
0.0005,0.01,LTC,89.12956649531813,1199,0.2601338968673572,37.09168287583861,54.015773503420206,40.789335735938636,70.73473892942617
0.0005,0.01,ETC,68.37926111207207,1378,0.22451586322953485,30.12633303351251,41.36658850594302,16.49014899344724,61.87851749537483
0.0005,0.01,DASH,82.84731797553617,1494,0.2126651183679169,31.69076666915423,52.22065719820622,34.82398819948779,65.90542103651497
0.0005,0.01,LINK,81.9972198204806,1651,0.2288077360310277,31.888392766265195,53.88573477874343,31.73456599012052,64.29351584186891
0.0005,0.01,XTZ,94.11891019622647,2026,0.1989097088080887,32.24873466384495,62.67727786300031,47.85896900803607,77.81889939159886
0.0005,0.01,BTC,67.53948572515296,486,0.3832355383618573,39.50716731076657,28.044603348660523,8.486722364293536,43.516630394941934
0.0005,0.01,ETH,62.7236744388728,854,0.3065086182072363,37.16352911947608,26.628621389205392,7.154286289245039,45.20976242771101
0.0005,0.02,BCH,64.32873918935562,289,0.2649241838288154,43.92148847093776,20.088247503343368,7.204676713682231,50.16754089207014
0.0005,0.02,LTC,54.584510022779064,313,0.2484382165691897,35.78344756192436,20.642298833498742,6.523702528837482,43.809219662527454
0.0005,0.02,ETC,42.973029632957136,382,0.20226450120730657,27.981428942781562,15.88170602092993,4.458057973940746,43.59426505073904
0.0005,0.02,DASH,55.939385195217085,415,0.19414558881935554,29.43905147114957,27.043037904939244,10.037789751971326,46.03288122578643
0.0005,0.02,LINK,49.90255150204288,374,0.23932295195693298,33.25638137842959,19.109099085608662,0.6697016594717803,36.49158215379671
0.0005,0.02,XTZ,58.81534975959165,450,0.1827156073327474,30.78519076645495,28.712381048923433,12.62385077676288,55.36494205577093
0.0005,0.02,BTC,53.01552276434214,138,0.34907543448298567,36.61550134319088,16.45779575744433,1.600905675207626,31.199264873847074
0.0005,0.02,ETH,49.67031378620818,227,0.31111852751100716,37.87344264298085,13.485966609655073,2.627666679111718,27.955091643037992
0.0005,0.04,BCH,66.39658617253502,66,0.26610157489354425,44.24037954211964,21.902486743915098,7.860895160205834,50.349514507731236
0.0005,0.04,LTC,39.03720578478082,93,0.2065190963041845,30.423134506851234,9.274238644859192,-1.810505204933036,30.08398327166702
0.0005,0.04,ETC,39.58640011287634,68,0.18555595467681255,25.621388273118434,14.295812604865333,-0.12385248366417011,28.526776129188175
0.0005,0.04,DASH,35.20743287688566,104,0.155334403883717,23.920474623860862,11.260673758212562,-1.473902730279225,32.79453217634747
0.0005,0.04,LINK,33.11587674334604,116,0.19505773273343427,28.067073219341797,7.249609346613781,-5.1527438200801425,29.26823426828657
0.0005,0.04,XTZ,38.05320211215515,148,0.17064424274160148,29.14311689008608,8.897740627479926,0.726820467053157,38.15084303009718
0.0005,0.04,BTC,40.95300205915605,51,0.21129553744124865,23.637974605582542,17.128805735822315,0.1070330379614429,29.291795004813128
0.0005,0.04,ETH,37.285856485756,74,0.2116679181372779,27.495900255159572,11.123142090222562,2.376435033703634,23.114622452067433
0.001,0.01,BCH,72.58118946024608,635,0.2959068925939752,49.60020426410787,23.36384083208786,10.990532849953171,49.363873428470846
0.001,0.01,LTC,80.12642372854432,743,0.25890705114333584,36.950162647368536,45.18804374980232,18.47187555521409,61.67285460458072
0.001,0.01,ETC,73.36790182003513,917,0.22246331940106395,29.784397571925204,46.67620975726008,18.078613354508686,62.48643327076908
0.001,0.01,DASH,72.9570973641523,853,0.22130349742785113,33.38275741499607,39.32777111014157,21.272264599344734,55.28296450943158
0.001,0.01,LINK,82.95916333742524,1141,0.23000451791912796,32.01083983695112,54.6771388472918,28.774376537362578,64.93357917160706
0.001,0.01,XTZ,85.20823432267035,1229,0.1988398535624782,32.23877465054291,53.523355839817775,39.98357728375328,70.97123703078442
0.001,0.01,BTC,61.023730550345334,292,0.37901026916027336,39.18387641524735,22.409538487978786,4.206800843074795,35.14781403577833
0.001,0.01,ETH,46.32060911391643,505,0.31342519705440175,37.74969136753272,9.287955683275598,2.9372854946901477,29.42238083501099
0.001,0.02,BCH,62.56610545449761,156,0.3078993755220487,50.151053904315845,12.280067638516051,-0.49533778118188243,35.764304761448656
0.001,0.02,LTC,54.66798889155902,198,0.24680107194557704,35.583947773444145,19.183098946135317,2.7943095353664495,37.91714547128996
0.001,0.02,ETC,54.721280518994085,226,0.23298367129483322,31.644057075991523,26.01323479400245,6.324528715867057,45.90716764206072
0.001,0.02,DASH,44.164596988562224,201,0.2283539088542259,34.61374300702813,9.786268156072808,0.5561149386696775,31.68765351566079
0.001,0.02,LINK,49.503094928333134,223,0.24455942025722838,34.0487150255151,18.327139900076165,1.6499555549570597,38.50267778782544
0.001,0.02,XTZ,60.73002807234151,308,0.1951062917764867,31.900524089932276,29.393961580016004,9.220664507638173,55.30768623192792
0.001,0.02,BTC,41.2034547336519,86,0.3123443212460277,33.84274071941777,7.160047841838981,-7.735640789290601,17.35724282159992
0.001,0.02,ETH,42.32092923533324,146,0.3126100695302013,37.679546100011606,5.653277057303228,-0.6835052831039682,23.285613523757636
0.001,0.04,BCH,61.21453417307225,54,0.31892031203759097,52.173972498501065,9.21030529603943,-3.723671000361471,36.19149884861305
0.001,0.04,LTC,33.38752443836137,63,0.19230967960147563,28.669655076134333,2.880789084364473,-6.754916517002914,19.648470869016755
0.001,0.04,ETC,49.98499953747154,34,0.24411771233608542,32.95831748078732,19.780039763556392,1.3382756450293507,34.75600672248462
0.001,0.04,DASH,27.720936825098626,48,0.17006791703563287,26.006350913311298,1.1853028456431822,-6.947306036264279,16.51994680086394
0.001,0.04,LINK,44.05998630447726,75,0.19435546852940017,27.578112080159023,19.154830439406947,3.406681448371437,37.825650827163
0.001,0.04,XTZ,51.33227710630893,70,0.19879912038456937,32.23296643406012,19.021790836802822,2.8115966719488488,42.72512189518752
0.001,0.04,BTC,45.446123096309385,2,0.415039223793253,42.23711911155137,2.957679228395463,-7.461373138391077,14.14789224405181
0.001,0.04,ETH,35.05639322603444,45,0.20534673618192326,26.84344021982124,9.063266813506477,-2.186974124593009,20.305524020070937
0.002,0.01,BCH,65.84086849998097,352,0.2838301678883398,46.7496903954295,19.531650353095053,8.005581414925082,47.27776421783725
0.002,0.01,LTC,54.97378957680319,461,0.2509074415118812,36.072482775803586,19.94117465123353,5.659193442381694,43.03435979783196
0.002,0.01,ETC,61.651256281372056,578,0.22217830413948347,29.319950471040322,35.375292775165065,14.338317404040556,58.89403744139417
0.002,0.01,DASH,61.49808791317085,534,0.20929367008938785,32.18512622273945,29.59833461260331,10.457153006554279,45.52187394542368
0.002,0.01,LINK,60.172041349121955,590,0.23423641820162888,32.504309215985536,30.931105777188186,8.81694932037601,48.69852545948395
0.002,0.01,XTZ,76.53418790733505,722,0.184401265852341,31.020079616600693,46.15236008558354,32.00498276651787,64.09171385980012
0.002,0.01,BTC,60.897446159781765,188,0.32378171425074137,34.81906841239963,26.530615790309483,6.744268749435325,46.45803404832851
0.002,0.01,ETH,46.79308301464502,237,0.31956444937775114,38.256102468158446,10.176283709316209,2.0312478283698514,28.089287546750253
0.002,0.02,BCH,58.86667649350027,80,0.28240275884247223,47.05704226702618,11.6165460827268,2.092152182001379,37.450440735253736
