item,V_prime_left,V_prime_right,h_star_on_table_node,subgradient_condition_holds,h_star_days,T_star_bars,net_at_h_star_per_day,V_at_h_star_per_day,cost_at_h_star_per_day,V_prime_at_h_star,marginal_cost_at_h_star,marginal_residual,grid_h_lo,grid_h_hi,n_table_rows_used,interior,mult,delta_mean,delta_median,delta_min,delta_max,delta_final,delta_zero_frac,delta_above_grid_hi_frac,delta_above_r68_winner_frac
decay_optimum,-2.8858970732958047e-06,-6.301881214423774e-05,True,True,7.0000660109739306,2016.019011160492,0.0005682549972085991,0.0008539665886228259,0.0002857115914142268,-3.295235460876677e-05,-4.0815556734225034e-05,7.863202125458266e-06,0.25,30.0,10,True,,,,,,,,,
delta_in_stats,,,,,,,,,,,,,,,,,0.5,0.10376216094665211,0.10017323495540753,0.0,0.15091195421432999,0.09174895413929869,0.00818149450817926,0.0,0.9136444148488464
delta_in_stats,,,,,,,,,,,,,,,,,0.75,0.15564324141997815,0.15025985243311132,0.0,0.22636793132149496,0.13762343120894802,0.00818149450817926,0.0,0.9918185054918207
delta_in_stats,,,,,,,,,,,,,,,,,1.0,0.20752432189330422,0.20034646991081506,0.0,0.30182390842865997,0.18349790827859738,0.00818149450817926,0.0,0.9918185054918207
delta_in_stats,,,,,,,,,,,,,,,,,1.5,0.3112864828399563,0.30051970486622265,0.0,0.45273586264298993,0.27524686241789603,0.00818149450817926,0.2325335073316142,0.9918185054918207
delta_in_stats,,,,,,,,,,,,,,,,,2.0,0.41504864378660844,0.4006929398216301,0.0,0.6036478168573199,0.36699581655719477,0.00818149450817926,0.8781326766685884,0.9918185054918207
