mult,seed,growth_diff,dd_diff,cand_final
0.5,0,-4.848172013767033,12.398563816905678,17.312640469455
0.5,1,-4.043019121450945,10.09292606646595,38.729043243837474
0.5,2,-4.687034520539994,12.003198531387952,20.339694907991458
0.5,3,-4.492255468899675,11.570643783443728,24.71359365227123
0.5,4,-3.1129212531757844,10.067137733084039,98.16872267530313
0.5,5,-2.7745222208490428,9.210805173416517,137.70127853076588
0.5,6,-3.58554437062321,11.466837592162122,61.194942108535066
0.5,7,-4.16262255718764,10.65430617553072,34.36320446464843
0.5,8,-3.773723655538415,10.131770986261728,50.69793884887418
0.5,9,-4.687034520539994,12.003198531387952,20.339694907991458
