mult,seed,growth_diff,dd_diff,cand_final
1.5,0,-2.1717462131349343,-2.3294078980540434,324.544844541417
1.5,1,-1.5026166377435424,-11.741040926900808,633.6858315586945
1.5,2,-1.34766713540451,-22.362347499406063,739.8909423536892
1.5,3,-1.6603263617359016,-11.172280863768208,541.2295922783309
1.5,4,-0.7802106391638705,-10.127421731696828,1305.0012744943547
1.5,5,-0.9979935780969926,-16.17368223556018,1049.6125315193735
1.5,6,-0.9275340840581716,-0.25619350975999566,1126.2354067816832
1.5,7,-1.5712803933470916,-19.70412406675439,591.6347938239855
1.5,8,-0.7455062234344199,-8.356595999569407,1351.0856211891626
1.5,9,-1.34766713540451,-22.362347499406063,739.8909423536892
