arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_mult,p_buffer,p_hold_days,p_delta_out,p_k,volmatch_c_net,volmatch_vol_net,volmatch_matched_net,cand_vol_net,volmatch_c_gross,volmatch_vol_gross,volmatch_matched_gross,cand_vol_gross,n_bars,membership_change_rate_thresholded,d1_pass,d2_pass,d5_pass,delta_mean,delta_median,delta_min,delta_max,delta_final,delta_zero_frac,delta_above_grid_hi_frac,delta_above_r68_winner_frac,d3_pass,d4_pass,m1_passed,scramble_survived,scramble_p90,further_work,primary,mult
novel_derived_entry,W_FULL6,U6,VOLMATCH_HOLD,0.919448553583169,1.4767217005331086,1.1129216069217946,3.4419460161061126,0.42874160210381224,0.6481960587718849,-3.053024528560274,4.3932263886515965,-2.7078646687678534,-7.442487888371579,1.9738292454347035,9.447283198964968,-10.508098118191457,33.77354063886162,147.19293992418255,2224.499610521,95.72599468753992,86.27871148857496,2332,0.5,0.0,0,0.0,1,0.9850389215663231,0.8040103352337571,True,0.8057896659137985,0.9600879509005111,0.7828282738155409,True,0.7853255771873329,671271,1.0876084323618924,False,False,True,0.10376216094665211,0.10017323495540753,0.0,0.15091195421432999,0.09174895413929869,0.00818149450817926,0.0,0.9136444148488464,True,False,True,True,-3.0790813499431104,False,False,
novel_derived_entry,W_VAL,U8,VOLMATCH_HOLD,1.7548076923076923,0.8094983857663591,0.5780821917808219,0.2954669108047211,0.32635053357355237,0.936467267798075,0.007191796751014147,1.9244607497702804,0.6793722892269012,-0.4189259819932795,1.8149429525084877,-12.474773898614743,-46.14151851377898,15.274142232217894,778.8732661557273,407.52453043389426,50.02985516942875,62.50462906804349,364,0.5,0.0,0,0.0,1,0.8797330328470849,0.6970920861569805,True,0.6982327508833257,0.854528623397899,0.6773321201403159,True,0.67816596509279,105120,0.5698630136986301,,,,0.06126022196940612,0.06449164034367896,0.0,0.0678689528235915,0.0630754115343273,0.052054794520547946,0.0,0.0,True,,,,,,False,0.5
novel_derived_entry,W_FULL6,U6,VOLMATCH_HOLD,1.4414360441146157,0.8992268354698042,0.7160625142453644,2.0959197815022605,0.3783112292220571,0.474505798741075,-3.0212703498348397,4.0478864155802325,-1.6074994814159218,-5.792293857955335,2.6875326686446583,6.961285106589401,-15.956508506255226,31.866122667783515,458.4675942592671,2304.8629024651973,91.47091081419686,84.50962570760746,2332,0.75,0.0,0,0.0,1,0.9475715853391222,0.7719906173849749,True,0.775140326400199,0.9308597522306505,0.7577304061252271,True,0.7614177133619145,671271,0.6937525976840948,False,False,True,0.15564324141997815,0.15025985243311132,0.0,0.22636793132149496,0.13762343120894802,0.00818149450817926,0.0,0.9918185054918207,True,False,True,True,-1.9738586768983222,False,False,
novel_derived_entry,W_VAL,U8,VOLMATCH_HOLD,2.0738636363636362,0.6780379533481956,0.4904109589041096,0.2474838529720914,0.31370816592338935,0.6968930537006705,-0.3156702122967185,1.7478725944793474,0.4856770859478993,-0.6821580780686771,1.6837797185554109,-7.668672489720933,-42.3572293528553,21.923119731269377,659.3162988257335,418.4282479397308,54.069384249802695,61.73805673952363,364,0.75,0.0,0,0.0,1,0.8614845506279152,0.6822006153941945,True,0.6837491661325061,0.8390007960180159,0.6670344237391249,True,0.6658428623288357,105120,0.4821917808219178,,,,0.09189033295410919,0.09673746051551846,0.0,0.10180342923538725,0.09461311730149097,0.052054794520547946,0.0,0.947945205479452,True,,,,,,False,0.75
novel_derived_entry,W_FULL6,U6,VOLMATCH_HOLD,2.32847360972361,0.5164394955759443,0.4504886997948667,1.2037182522040268,0.34083809796169995,0.8254372629678252,-2.5698608796820133,4.2281220249663845,-0.3585285635184029,-4.144132125720036,3.4421524394878467,-9.092697863776962,-24.834772885512745,26.378019245999145,1729.7533542232222,2493.3825358909858,73.90673964050335,82.99943750428031,2332,1.0,0.0,0,0.0,1,0.9148057293671084,0.7440671993624616,True,0.7483369305556106,0.9051468528861901,0.7375826729601637,True,0.7403852678449093,671271,0.4294658938044396,False,False,True,0.20752432189330422,0.20034646991081506,0.0,0.30182390842865997,0.18349790827859738,0.00818149450817926,0.0,0.9918185054918207,True,False,True,True,-0.753360525153165,False,True,
novel_derived_entry,W_VAL,U8,VOLMATCH_HOLD,2.401315789473684,0.587565198429489,0.42191780821917807,0.21446129742676345,0.2753831339283478,0.700161088224915,-0.35526679070828965,1.7750909237617978,0.5090712648282201,-0.6709674265569865,1.6980647640507784,-5.077258188754428,-46.098285539688746,22.542797885850362,702.8305075755962,435.2250075452672,54.85897042530957,59.936228614064,364,1.0,0.0,0,0.0,1,0.828730224967431,0.6582751535048471,True,0.6577524807116649,0.8068838344127388,0.6411457625893427,True,0.6403543887230206,105120,0.41643835616438357,,,,0.12252044393881224,0.12898328068735793,0.0,0.135737905647183,0.1261508230686546,0.052054794520547946,0.0,0.947945205479452,True,,,,,,True,1.0
novel_derived_entry,W_FULL6,U6,VOLMATCH_HOLD,4.825677191166322,0.207542078777127,0.22653146046827582,0.48373950959305845,0.26937389282253704,0.3355943454046262,-2.944752579729704,3.5616272490957117,-0.1477397359151046,-3.5895420521173205,3.223896106525202,-15.212207742930545,-27.517819097288477,27.297759458132845,2456.3461002332397,2865.929271165277,63.03487089677691,78.24707863970745,2332,1.5,0.0,0,0.0,1,0.8305471343610956,0.6773625461639673,True,0.679411019473538,0.826428713247544,0.6736159134685656,True,0.675995991436587,671271,0.2072248019056387,False,False,False,0.3112864828399563,0.30051970486622265,0.0,0.45273586264298993,0.27524686241789603,0.00818149450817926,0.2325335073316142,0.9918185054918207,True,False,True,True,-0.7767401975909254,False,False,
novel_derived_entry,W_VAL,U8,VOLMATCH_HOLD,5.53030303030303,0.18823479436331292,0.18356164383561643,0.06870569994260922,0.24695366271022515,0.7146715048204618,-0.21809812422940075,1.6666861417398333,0.6491513154662676,-0.30053266296019776,1.6287556834939172,-15.598614629221906,-47.00601853319534,12.816812178411718,859.1240481094812,461.63696967552244,41.85835951613887,57.456974145360775,364,1.5,0.0,0,0.0,1,0.7779477293118137,0.6174132190763668,True,0.6174470695080078,0.7707184138170092,0.6128041014863891,True,0.611653000975744,105120,0.18082191780821918,,,,0.18378066590821837,0.19347492103103692,0.0,0.2036068584707745,0.18922623460298194,0.052054794520547946,0.0,0.947945205479452,True,,,,,,False,1.5
novel_derived_entry,W_FULL6,U6,VOLMATCH_HOLD,7.238515786749483,0.12859990738624602,0.15574037907193963,0.29974093205233593,0.2151880535120365,0.4720986596412615,-2.524835315078411,3.5082719463125716,0.13482075452947972,-2.997863968444954,3.2284689698048785,-9.911053218818367,-31.357206496703714,25.358207620522798,3285.2446313457917,2888.439796975185,66.25187532238353,76.1629285412019,2332,2.0,0.0,0,0.0,1,0.781438759654231,0.6370381252601995,True,0.639238981615692,0.7777729568718165,0.6336003678123373,True,0.6361969189418067,671271,0.13814986793709247,False,False,True,0.41504864378660844,0.4006929398216301,0.0,0.6036478168573199,0.36699581655719477,0.00818149450817926,0.8781326766685884,0.9918185054918207,True,False,True,True,-0.5617806552204408,False,False,
novel_derived_entry,W_VAL,U8,VOLMATCH_HOLD,6.636363636363637,0.14397931810697945,0.15342465753424658,0.0525524511090475,0.22901172442274667,0.5370189608227369,-0.4656389385571867,1.5407495083985365,0.49620267167996157,-0.5189513227451911,1.509556967946168,-4.90169446603074,-46.06830774364094,19.59790374986126,778.9423235501592,486.90147490697535,49.88183256741545,54.78352703344619,364,2.0,0.0,0,0.0,1,0.7304195874622952,0.5809191306433571,True,0.5797245969067879,0.7262899710678817,0.5762852517598248,True,0.576393962332047,105120,0.1506849315068493,,,,0.24504088787762449,0.25796656137471585,0.0,0.271475811294366,0.2523016461373092,0.052054794520547946,0.0,0.947945205479452,True,,,,,,False,2.0
