mult,seed,growth_diff,dd_diff,cand_final
1.0,0,-2.4870193354801984,1.5210844786319342,205.8696775937517
1.0,1,-1.950606753330315,-12.601280244252806,352.00870932856424
1.0,2,-1.839262311433548,-10.886768214540965,393.46824258204174
1.0,3,-2.212852501258364,-6.484766008620298,270.80802358071656
1.0,4,-0.613547642050004,-11.174094682873772,1340.3888386963315
1.0,5,-1.2647676766129994,-2.1312627324395237,698.8911407556739
1.0,6,-0.7688952899424051,-4.553011942821314,1147.5303393324773
1.0,7,-1.6489662756709782,-17.9957045146558,475.94218908907004
1.0,8,-1.4843148125864154,-4.038864639073566,561.1273350392944
1.0,9,-1.839262311433548,-10.886768214540965,393.46824258204174
