mult,seed,growth_diff,dd_diff,cand_final
0.75,0,-3.949829262219688,12.124066369058198,44.06032997924008
0.75,1,-3.1460086288910514,6.268558425391291,98.43342821410592
0.75,2,-3.469188887399638,9.471869355767836,71.25038377725409
0.75,3,-3.3671377235218625,8.847523309430144,78.90553435904364
0.75,4,-1.9887990524003372,7.721902257957964,313.1211074551743
0.75,5,-1.8393952973801875,6.3876605175001515,363.577978577613
0.75,6,-2.5656237759216722,10.881026534951033,175.87355809913663
0.75,7,-3.100138421088727,7.483540963845385,103.05374742533968
0.75,8,-2.8564295533594803,7.085469210405421,131.49377860655312
0.75,9,-3.469188887399638,9.471869355767836,71.25038377725409
