seed,growth_diff,cand_final,cand_dd,scramble_p90,scramble_survived
0,-2.245112147765438,310.54390823649817,80.02513540987702,,
1,-1.7269810939383121,521.3681200203048,70.06041955414108,,
2,-1.3686657998132818,746.0343544744354,63.16190965744717,,
3,-2.0195611499290136,389.1155334199801,72.46108320899596,,
4,-0.8752193183215985,1221.968219221232,63.38138271913848,,
5,-0.8497299468031376,1253.515776812644,66.0785683921826,,
6,-0.9407033790632348,1144.5125118284027,72.20972690259009,,
7,-1.5547375466356956,619.3681861760812,68.259657200558,,
8,-1.1996719903436412,883.3888347999929,66.99823057482797,,
9,-1.3686657998132818,746.0343544744354,63.16190965744717,,
-1,-0.1590651812241235,,,-0.8726703811697524,True
