mult,seed,growth_diff,dd_diff,cand_final
2.0,0,-1.77046789962239,-0.699033462784513,488.7776796257787
2.0,1,-1.897619245217026,-0.5941353064221033,430.4178140905999
2.0,2,-1.1457567571140135,-13.132765687930693,912.8931899180471
2.0,3,-1.648617600057277,-3.6284650789450126,552.1159302341972
2.0,4,-0.5916435399931006,-12.458490260870086,1588.7965198006011
2.0,5,-0.8832985405319269,-11.030528714206625,1186.8726508506666
2.0,6,-0.2930146922665017,-9.099044973133118,2141.7123477515515
2.0,7,-1.4976142710594946,-8.034262316946524,642.1111193190405
2.0,8,-0.6092166563312338,-13.15971875293016,1561.1203046259088
2.0,9,-1.1457567571140135,-13.132765687930693,912.8931899180471
