trial,market,strategy,start,days,return_pct,max_dd_pct,trades,liquidated
6,spot,kelly_regime_v2,2025-03-30 07:30:00+00:00,427,3.3250236701682034,25.815618177838886,21,False
6,spot,buy_and_hold,2025-03-30 07:30:00+00:00,427,-11.393804425906339,52.3919058373149,1,False
6,spot,champions_council,2025-03-30 07:30:00+00:00,427,-7.52147327485988,27.856016819020713,18,False
6,futures,kelly_regime_v4,2025-03-30 07:30:00+00:00,427,6.5318637534641955,31.709747501087808,16,False
6,futures,kelly_regime_v3,2025-03-30 07:30:00+00:00,427,-0.1427281862316443,35.90740484479613,21,False
6,futures,kelly_regime_v2,2025-03-30 07:30:00+00:00,427,5.268437906487322,32.47152307947114,21,False
6,futures,buy_and_hold,2025-03-30 07:30:00+00:00,427,-98.1954802135679,99.49461329314164,1,True
6,futures,champions_council,2025-03-30 07:30:00+00:00,427,-1.698622789797466,26.960794521315197,33,False
7,spot,kelly_regime_v4,2023-03-19 12:35:00+00:00,561,81.59002633173755,23.947310386702313,22,False
7,spot,kelly_regime_v3,2023-03-19 12:35:00+00:00,561,74.40500689222405,27.105230627963696,16,False
7,spot,kelly_regime_v2,2023-03-19 12:35:00+00:00,561,59.288635193932414,27.41901430578157,16,False
7,spot,buy_and_hold,2023-03-19 12:35:00+00:00,561,135.1850336283186,32.54338689875929,1,False
7,spot,champions_council,2023-03-19 12:35:00+00:00,561,57.710404253837225,25.606015859639044,12,False
7,futures,kelly_regime_v4,2023-03-19 12:35:00+00:00,561,113.09224266972006,27.146655281807856,22,False
7,futures,kelly_regime_v3,2023-03-19 12:35:00+00:00,561,111.52987884834404,28.422246428196264,16,False
7,futures,kelly_regime_v2,2023-03-19 12:35:00+00:00,561,86.5929279819935,31.453874988948606,16,False
7,futures,buy_and_hold,2023-03-19 12:35:00+00:00,561,675.1596404867256,67.02846971303074,1,False
7,futures,champions_council,2023-03-19 12:35:00+00:00,561,90.31736900631606,25.186849928188828,23,False
8,spot,kelly_regime_v4,2023-06-07 23:15:00+00:00,549,206.273301982712,23.47492415696687,17,False
8,spot,kelly_regime_v3,2023-06-07 23:15:00+00:00,549,188.00296903621185,27.697430853218407,14,False
8,spot,kelly_regime_v2,2023-06-07 23:15:00+00:00,549,158.0607473110295,28.467143182450304,14,False
8,spot,buy_and_hold,2023-06-07 23:15:00+00:00,549,277.4428794150987,32.54338718792242,1,False
8,spot,champions_council,2023-06-07 23:15:00+00:00,549,147.98431882664738,26.542974993113354,11,False
8,futures,kelly_regime_v4,2023-06-07 23:15:00+00:00,549,268.21908541864275,23.7224158060273,17,False
8,futures,kelly_regime_v3,2023-06-07 23:15:00+00:00,549,248.17385265537797,29.198349564460884,14,False
8,futures,kelly_regime_v2,2023-06-07 23:15:00+00:00,549,219.77304381533824,35.29002567722907,14,False
8,futures,buy_and_hold,2023-06-07 23:15:00+00:00,549,1385.3808675753799,63.70727774090732,1,False
8,futures,champions_council,2023-06-07 23:15:00+00:00,549,155.50152989521058,31.445496937411377,21,False
9,spot,kelly_regime_v4,2018-04-29 09:05:00+00:00,418,82.5594393474913,27.435000381583958,17,False
9,spot,kelly_regime_v3,2018-04-29 09:05:00+00:00,418,76.33493122012041,29.451300074253737,18,False
9,spot,kelly_regime_v2,2018-04-29 09:05:00+00:00,418,66.35536623723833,30.64255729751571,17,False
9,spot,buy_and_hold,2018-04-29 09:05:00+00:00,418,2.8917790903241203,68.49415295024983,1,False
9,spot,champions_council,2018-04-29 09:05:00+00:00,418,68.96247570864695,23.941973928671988,21,False
9,futures,kelly_regime_v4,2018-04-29 09:05:00+00:00,418,119.80635163467679,24.393010197616814,17,False
9,futures,kelly_regime_v3,2018-04-29 09:05:00+00:00,418,101.87640047419286,27.30191919195539,18,False
9,futures,kelly_regime_v2,2018-04-29 09:05:00+00:00,418,105.87817809142268,30.515967094384887,17,False
9,futures,buy_and_hold,2018-04-29 09:05:00+00:00,418,-98.19548021356788,98.55722855303914,1,True
9,futures,champions_council,2018-04-29 09:05:00+00:00,418,92.48395662209701,20.978688990634566,38,False
10,spot,kelly_regime_v4,2020-09-15 00:35:00+00:00,628,200.98161486891786,24.483397352947474,38,False
10,spot,kelly_regime_v3,2020-09-15 00:35:00+00:00,628,237.50146162507164,21.590303651874887,24,False
10,spot,kelly_regime_v2,2020-09-15 00:35:00+00:00,628,203.74394027010055,23.051398842034143,15,False
10,spot,buy_and_hold,2020-09-15 00:35:00+00:00,628,177.77779782153544,62.28304495925025,1,False
10,spot,champions_council,2020-09-15 00:35:00+00:00,628,110.55033677824339,23.47725357619411,16,False
10,futures,kelly_regime_v4,2020-09-15 00:35:00+00:00,628,239.17538029101465,21.508020520895876,38,False
10,futures,kelly_regime_v3,2020-09-15 00:35:00+00:00,628,254.31595606938382,21.040285027318166,24,False
10,futures,kelly_regime_v2,2020-09-15 00:35:00+00:00,628,229.5025165577672,23.683212746390467,15,False
