market,strategy,median return %,mean return %,profitable %,beat hold %,worst %,best %,median maxDD %,worst maxDD %,liquidated %
spot,kelly_regime_v4,82.07473283961443,94.59360134441212,85.0,47.5,-15.176924727981788,318.32110572261473,23.744783809908462,42.95559921807852,0.0
spot,kelly_regime_v3,75.64426000347157,97.37218701948326,82.5,50.0,-23.642117330088965,363.07869452007407,23.32356301415544,47.238387842778145,0.0
spot,kelly_regime_v2,64.0278058156749,85.62775948662551,87.5,47.5,-23.68364143670312,338.9697743394205,23.0513988420342,41.436821269044,0.0
spot,buy_and_hold,49.261924845913214,96.5691256379694,72.5,0.0,-50.85318530472039,588.3554911249043,52.66199915568297,84.0674592908867,0.0
spot,champions_council,57.447543013977025,62.13046872651843,77.5,40.0,-20.493462548878206,191.3168027033763,23.499312642806554,33.55517437675373,0.0
futures,kelly_regime_v4,116.33876828558317,124.04620391689002,85.0,65.0,-16.533953002904955,429.86945067510885,23.620914889180412,34.82992492271884,0.0
futures,kelly_regime_v3,105.56127895915408,120.12624797233062,85.0,65.0,-19.748742181177104,408.30072772403173,24.22722030737122,41.82450652115155,0.0
futures,kelly_regime_v2,97.63006476072675,116.771149287615,87.5,65.0,-27.57964988588535,433.58304282610715,26.02176570276692,39.57848470552878,0.0
futures,buy_and_hold,-98.19548021356782,204.9580579544235,35.0,0.0,-98.1954802135679,1881.5096970107302,98.56967381863012,99.90392463375282,65.0
futures,champions_council,88.56301593554724,78.40496850326966,80.0,65.0,-20.0987018009143,244.8648547645536,23.296495090200203,37.13332743205734,0.0
