arm,window,universe,bench,kind,turnover_per_day,hold_days,mean_notional,net_growth_diff,net_growth_lo,net_growth_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,rebalances_per_day,implied_log_drag_total,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,p_kind,p_mult,p_delta_mean,net_volmatch_c,net_volmatch_vol,net_volmatch_matched,net_cand_vol,gross_volmatch_c,gross_volmatch_vol,gross_volmatch_matched,gross_cand_vol,spec,membership_changes_gt1pct_per_day,mean_n_held_gt1pct,mean_tenure_gt1pct_days,frac_bars_flat,days,kind_row,label,first_bar_warm,delta_mean,delta_median,delta_min,delta_max,delta_final,delta_cap_frac,delta_zero_frac,sigma_s_final,delta_over_sigma_mean,d1_pass,d2_pass,d5_pass,d4_pass,d3_pass
R63_BASELINE_k1,W_FULL6,U6,MATCHED_HOLD,substrate reproduction,3.441142127959111,0.3496028323583821,0.5248922928116057,-7.537190690349034,-11.96768019266653,-3.110886311309345,1.4419127717368445,2716.9361266858327,99.92001112992408,57.26604483757677,2332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derived_threshold,W_FULL6,U6,VOLMATCH_HOLD,,0.06319019726969324,17.265200617283952,0.46826167480739667,1.7096145785322725,-1.3519919991448257,4.775500355833944,12769.100343029084,2327.464395833728,66.37912080640177,84.40597588566125,2332,0.0922429242437108,0.14728384344244536,1.8397853553093748,-1.2152295765083607,4.878035019431472,-18.026855079259477,-26.37182901171923,14.801074433600604,D_B,1.0,0.20752432189330422,0.9447923325776585,0.7692008246752541,True,0.7728668191253912,0.944630590451541,0.7691042336337345,True,0.7726818808416029,D_Bx1,0.057919975687911435,0.6598780522322579,14.374253634475597,0.34012194776774207,2330.8020833333335,D1/D2/D5 primary,DERIVED POINT (D-B),True,0.20752432189330422,0.20034646991081506,0.0,0.30182390842865997,0.18349790827859738,0.0,0.00818149450817926,0.187871417838926,1.010156953526425,False,False,True,,
derived_threshold,W_FULL6,U6,MATCHED_HOLD,,0.06319019726969324,17.265200617283952,0.46826167480739667,1.588532645595485,-1.1624964485894336,4.478169399144527,12769.100343029084,2617.3255569088005,66.37912080640177,50.879773518982894,2332,,,,,,15.499347287418878,0.3474570107004721,43.56524549344911,D_B,,,,,,,,,,,,,,,,,context,DERIVED POINT (D-B),,,,,,,,,,,,,,,
derived_threshold,W_FULL6,U6,EW_HOLD,,0.06319019726969324,17.265200617283952,0.46826167480739667,2.1784856590565504,-1.0620358442667688,5.625295985375976,12769.100343029084,1456.938169497219,66.37912080640177,90.68587568626779,2332,,,,,,-24.30675487986602,-30.769495386300193,7.719842216219151,D_B,,,,,,,,,,,,,,,,,context,DERIVED POINT (D-B),,,,,,,,,,,,,,,
derived_threshold,W_FULL6,U6,BTC_HOLD,,0.06319019726969324,17.265200617283952,0.46826167480739667,0.21974719758923555,-3.707967442271803,4.340914132501613,12769.100343029084,9803.827594705079,66.37912080640177,76.46724108579211,2332,,,,,,-10.088120279390338,-21.02321947345629,35.94716513984509,D_B,,,,,,,,,,,,,,,,,context,DERIVED POINT (D-B),,,,,,,,,,,,,,,
derived_threshold,W_FULL6,U6,EW_HOLD,,,,,,,,8161.553047304822,1453.938169497219,,,,,,,,,,,,D_B,,,,,,,,,,,,,,,,,D4 @0.40%,DERIVED POINT (D-B),,,,,,,,,,,,,,True,
derived_threshold,W_VAL,U8,VOLMATCH_HOLD,,0.102364588072976,8.295454545454545,0.3982778073780711,0.5488122470289563,-0.554318225620308,1.6678816798161202,716.5041165473802,426.60803834395034,49.82437474852506,60.78164490377881,364,0.136986301369863,0.03736307464663624,0.5697250553675814,-0.5340913550601977,1.6809169402480864,-10.957270155253752,-43.6253455997753,20.143058938944662,D_B,1.0,0.12252044393881224,0.8421395179334161,0.6679720416683528,True,0.6683952634258019,0.8402640473744798,0.6679384407056936,True,0.6668453964182202,D_Bx1,0.12054794520547946,0.5372336377473363,7.8436111111111115,0.4627663622526636,365.0,D3 inner-validation,DERIVED POINT (D-B),True,0.12252044393881224,0.12898328068735793,0.0,0.135737905647183,0.1261508230686546,0.0,0.052054794520547946,0.14657170920213633,0.9534017478301011,,,,,True
derived_threshold,W_FULL6,U6,VOLMATCH_HOLD,,0.3276787256464246,2.972961840986395,0.5243274989443346,0.628632144844613,-2.5672489853464966,3.926642922995195,4094.770397027905,2200.7112597478517,73.23130886231979,86.48570189688863,2332,0.36768458640400076,0.7637542564006983,1.358215421012899,-1.746742082805252,4.5590376108568265,-13.254393034568835,-21.697743206177268,18.308142606976148,D_A,1.0,0.011306830532708442,0.9880965342132138,0.8072911106341935,True,0.8082908794387567,0.9841942087056904,0.8033153738015002,True,0.8050438340479908,D_Ax1,0.3363648958468338,0.7256756213213441,3.5834878177966107,0.2743243786786559,2330.8020833333335,D1/D2/D5 primary,D-A cube-root,True,0.011306830532708442,0.009464649712956139,0.0,0.051913685500649176,0.0,0.0,0.11540942480756654,0.187871417838926,0.05345273451619998,False,False,True,,
derived_threshold,W_FULL6,U6,MATCHED_HOLD,,0.3276787256464246,2.972961840986395,0.5243274989443346,0.41641096388614496,-2.4188588617444347,3.5691972857199032,4094.770397027905,2711.207602669525,73.23130886231979,57.351002228176576,2332,,,,,,15.880306634143217,1.994620320590721,45.59095434761516,D_A,,,,,,,,,,,,,,,,,context,D-A cube-root,,,,,,,,,,,,,,,
derived_threshold,W_FULL6,U6,EW_HOLD,,0.3276787256464246,2.972961840986395,0.5243274989443346,1.0411680889450832,-2.376005568916977,4.762820020339872,4094.770397027905,1456.938169497219,73.23130886231979,90.68587568626779,2332,,,,,,-17.454566823948,-24.826745403290587,15.138979767412517,D_A,,,,,,,,,,,,,,,,,context,D-A cube-root,,,,,,,,,,,,,,,
