window,n_cells,n_days,deltas,J_T,p_mr,up,p_up,down,p_down,n_delta_positive,n_delta_negative,voided
W_TRAIN,11,639,0.000 0.005 0.010 0.020 0.040 0.080 0.120 0.160 0.220 0.280 0.350,-1.51465311303688,0.5615,0.0010122218277458862,0.468,0.001197512651111728,0.327,5,5,
W_VAL,11,364,0.000 0.005 0.010 0.020 0.040 0.080 0.120 0.160 0.220 0.280 0.350,-2.3486728710643083,0.929,0.002158090714676471,0.4095,0.00215886434930503,0.3995,7,3,
