arm,seed,p_kind,window,universe,fee,bench,identity_perm,mean_notional,turnover_per_day,cand_final,bench_final,cand_dd,bench_dd,growth_diff,growth_lo,growth_hi,dd_diff,dd_lo,dd_hi,n_days,scramble_p90,scramble_survived,n_beaten,control
derived_threshold_fixedperm,0,D_B,W_FULL6,U6,0.001,VOLMATCH_HOLD,False,0.46826167480739667,0.06319019726969324,381.73461119525376,2327.464395833728,84.9880730346071,84.40597588566125,-1.8004432851172123,-4.262142368440674,0.659310169780762,0.5820971489458486,-24.949839562887824,21.328797232781145,2332,,,,
derived_threshold_fixedperm,1,D_B,W_FULL6,U6,0.001,VOLMATCH_HOLD,False,0.46826167480739667,0.06319019726969324,802.8724269560937,2327.464395833728,75.70560821171051,84.40597588566125,-1.0569730864074325,-3.7453720063003115,1.3104519168215787,-8.700367673950737,-23.4781411812077,18.534386056000493,2332,,,,
derived_threshold_fixedperm,2,D_B,W_FULL6,U6,0.001,VOLMATCH_HOLD,False,0.46826167480739667,0.06319019726969324,1099.768061439402,2327.464395833728,75.10836026647121,84.40597588566125,-0.7423143338756933,-3.4256407079393703,1.7993452407733308,-9.29761561919004,-26.190645234819282,18.76734422453904,2332,,,,
derived_threshold_fixedperm,3,D_B,W_FULL6,U6,0.001,VOLMATCH_HOLD,False,0.46826167480739667,0.06319019726969324,573.8719861446039,2327.464395833728,76.69950535642346,84.40597588566125,-1.392762566399817,-3.787892457409932,0.8649914914584476,-7.706470529237791,-25.821186121625992,18.860632275017522,2332,,,,
derived_threshold_fixedperm,4,D_B,W_FULL6,U6,0.001,VOLMATCH_HOLD,False,0.46826167480739667,0.06319019726969324,5377.640097192223,2327.464395833728,62.41966385232601,84.40597588566125,0.8448359960864215,-1.8503571455860053,3.4515226551336107,-21.98631203333524,-35.84017676130175,8.102778776266668,2332,,,,
derived_threshold_fixedperm,5,D_B,W_FULL6,U6,0.001,VOLMATCH_HOLD,False,0.46826167480739667,0.06319019726969324,1609.735004664361,2327.464395833728,70.88076652783847,84.40597588566125,-0.3613440661372196,-3.2027151504781823,2.368190206070143,-13.525209357822774,-24.592647269204452,17.797281278816428,2332,,,,
derived_threshold_fixedperm,6,D_B,W_FULL6,U6,0.001,VOLMATCH_HOLD,False,0.46826167480739667,0.06319019726969324,2758.6722440913545,2327.464395833728,77.74144353504072,84.40597588566125,0.17733585478545588,-2.560533840534535,2.7947618623303208,-6.664532350620533,-28.991800412928406,14.466372272424177,2332,,,,
derived_threshold_fixedperm,7,D_B,W_FULL6,U6,0.001,VOLMATCH_HOLD,False,0.46826167480739667,0.06319019726969324,989.0632144516823,2327.464395833728,65.3767268954628,84.40597588566125,-0.8484106700678321,-3.2692684177342914,1.4465441130411918,-19.029248990198454,-29.64173805989367,11.712384255527244,2332,,,,
derived_threshold_fixedperm,8,D_B,W_FULL6,U6,0.001,VOLMATCH_HOLD,False,0.46826167480739667,0.06319019726969324,1256.1383470760948,2327.464395833728,83.95964455604461,84.40597588566125,-0.6093714272844482,-3.4244313928457233,2.0244366032812464,-0.44633132961664046,-26.429434830876687,17.831846657930644,2332,,,,
derived_threshold_fixedperm,9,D_B,W_FULL6,U6,0.001,VOLMATCH_HOLD,False,0.46826167480739667,0.06319019726969324,1099.768061439402,2327.464395833728,75.10836026647121,84.40597588566125,-0.7423143338756933,-3.4256407079393703,1.7993452407733308,-9.29761561919004,-26.190645234819282,18.76734422453904,2332,,,,
derived_threshold,-1,D_B,W_FULL6,U6,0.001,VOLMATCH_HOLD,,,0.06319019726969324,,,,,1.7096145785322725,,,,,,,0.2440858689155522,True,10,fixed-permutation (r68_shared.scramble_fixed_perm)
