arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_delta,p_kind,net_volmatch_c,net_volmatch_vol,net_volmatch_matched,net_cand_vol,gross_volmatch_c,gross_volmatch_vol,gross_volmatch_matched,gross_cand_vol,spec,membership_changes_gt1pct_per_day,mean_n_held_gt1pct,mean_tenure_gt1pct_days,frac_bars_flat,days,kind,first_bar_warm,p_mult,p_delta_mean,label,delta_mean,delta_median,delta_min,delta_max,delta_final,delta_cap_frac,delta_zero_frac,sigma_s_final,delta_over_sigma_mean
derived_threshold,W_TRAIN,U8,VOLMATCH_HOLD,1.1764705882352942,0.6073928250382219,0.89375,0.38873140802446204,0.54675115779283,-1.0261623997228912,-3.157887709707339,1.1996332781973025,-1.4196606648319448,-3.5971658759565632,0.9198484003693361,6.704817715392473,-15.965515644535213,42.149289295822484,1836.1348032726853,7613.986290302997,67.50090329856302,60.796085583170544,639,0.0,R65_WINNER,0.9293813006084777,0.8794352585754299,True,0.8820424709858133,0.9239717461231414,0.8749245708449113,True,0.8769636059808745,R65_WINNER,0.85,0.8456163194444445,1.7072379950928847,0.15438368055555557,640.0,reference,True,,,,,,,,,,,,
derived_threshold,W_TRAIN,U8,VOLMATCH_HOLD,4.266666666666667,0.2378071119146735,0.2796875,0.15219655162539103,0.5445893560145865,-0.9929420475322601,-3.128990785768781,1.3054789445489603,-1.1378246617491117,-3.303215396841368,1.1809002440546288,4.405477057750069,-19.438797634768587,38.75676408345606,2436.726844408622,7622.779542082273,65.15162624247233,60.74614918472226,639,,D_A,0.9284199046589905,0.8788476257549716,True,0.8811300445594087,0.925975652343195,0.8767718652717258,True,0.8788655611349789,D_Ax1,0.234375,0.8425401475694444,4.648497365900383,0.15745985243055555,640.0,derived,True,1.0,0.01323743348147034,derived D-A,0.01323743348147034,0.014463658695514671,0.0,0.04532955115380451,0.01588153318233939,0.0,0.11558159722222222,0.23086815599757385,0.06600064481791011
derived_threshold,W_TRAIN,U8,VOLMATCH_HOLD,6.4646464646464645,0.17906830940068916,0.1953125,0.11460371801644106,0.5308266585442526,-0.9343703126516933,-3.0005369779574145,1.1677210747911484,-1.0353116151296844,-3.1233711489582547,1.0870952098382374,-1.175725317892585,-14.68215083640943,32.52108772643515,2702.481798263616,7630.43285419116,59.601181242822754,60.77690656071534,639,,D_B,0.9290119809696499,0.879081305247195,True,0.8816919629579436,0.9274618263347075,0.8782746864649824,True,0.8802761242914612,D_Bx0.5,0.1546875,0.8259874131944445,6.076229246487867,0.17401258680555556,640.0,context,True,0.5,0.09589855790287173,context 0.5x,0.09589855790287173,0.09819726576901494,0.0,0.1369703873513985,0.12043927023096215,0.0,0.0296875,0.23086815599757385,0.507415921395337
derived_threshold,W_TRAIN,U8,VOLMATCH_HOLD,7.2727272727272725,0.1610943459208983,0.178125,0.10310038138937491,0.5149578387643168,-0.5212464169410123,-2.5567549649778996,1.506246670336777,-0.6062970900408244,-2.6502573627963075,1.437680612458559,-8.166135675811226,-16.37050991258235,24.538141420215734,4035.2900348542435,7418.805959575376,52.436455986741684,60.60259166255291,639,,D_B,0.9221741745062589,0.8733378434298924,True,0.875202446001724,0.9210363930563764,0.8721957792128212,True,0.8741775924246612,D_Bx0.75,0.1375,0.8021267361111111,6.581552706552706,0.1978732638888889,640.0,context,True,0.75,0.14384783685430758,context 0.75x,0.14384783685430758,0.14729589865352238,0.0,0.20545558102709777,0.18065890534644324,0.0,0.0296875,0.23086815599757385,0.7611238820930055
derived_threshold,W_TRAIN,U8,VOLMATCH_HOLD,7.804878048780488,0.1535222153165286,0.1703125,0.0982542178025783,0.5134385910668015,-0.6115551537020152,-2.6539957884909025,1.4965365268910757,-0.6894719642276459,-2.754875421418225,1.4202757150189549,-6.724765411781689,-16.899996065842085,27.212332067770188,3721.8346485466554,7435.876653679523,53.260482338500424,59.98524775028211,639,,D_B,0.9169097670683738,0.8684189759040625,True,0.8702061856490053,0.9156262540116631,0.8669119006320416,True,0.869042700513283,D_Bx1,0.128125,0.8072428385416667,7.077197488584475,0.19275716145833333,640.0,derived,True,1.0,0.19179711580574346,DERIVED POINT (D-B),0.19179711580574346,0.19639453153802988,0.0,0.273940774702797,0.2408785404619243,0.0,0.0296875,0.23086815599757385,1.014831842790674
derived_threshold,W_TRAIN,U8,VOLMATCH_HOLD,9.411764705882353,0.12926572297140299,0.15,0.0827300627016979,0.5167453586636367,-0.9129436813474454,-2.9946733091669215,1.27663491691429,-0.9878420003800601,-3.1063542323694406,1.2259988901932344,-1.274729399226274,-18.218203778360415,33.21616539340503,2819.1469927282833,7590.8567918332865,59.60616121914938,60.88089061837565,639,,D_B,0.9310003671629535,0.8812287948207861,True,0.8835790690037263,0.9300474951512205,0.8803298297344365,True,0.8827302441914644,D_Bx1.5,0.10625,0.8240776909722223,8.64606102003643,0.17592230902777778,640.0,context,True,1.5,0.28602529383875813,context 1.5x,0.28602529383875813,0.29459179730704477,0.0,0.3992131568627062,0.3613178106928865,0.12487521701388889,0.0296875,0.23086815599757385,1.5148613896139014
derived_threshold,W_TRAIN,U8,VOLMATCH_HOLD,9.552238805970148,0.1275535735218949,0.1515625,0.08163428705401274,0.5231150340181816,-1.11087031924848,-3.2539105995659425,1.1382625278235987,-1.17819588302909,-3.3355708780790825,1.088239845682344,2.9285429198641424,-16.442195533253436,38.88181165014103,2330.5865834513606,7591.163606489004,63.82576365282099,60.897220732956846,639,,D_B,0.9313153199538907,0.8815685660778652,True,0.883877979405496,0.9305460498261597,0.8807902568728788,True,0.8832034343158895,D_Bx2,0.1046875,0.8355414496527778,8.91244212962963,0.16445855034722223,640.0,context,True,2.0,0.29941451424401944,context 2x,0.29941451424401944,0.2979099885662246,0.0,0.39938217690665173,0.3693890495961182,0.9703125,0.0296875,0.23086815599757385,1.5999910539058086
derived_threshold,W_VAL,U8,VOLMATCH_HOLD,0.6347826086956522,1.2301718112967828,1.5917808219178082,0.44901271112332575,0.408704161028632,0.5698726165217731,-0.3410775763235498,1.5492521788070897,0.14251410981774126,-0.8735455262093232,1.2281563715322839,-1.8213183038105498,-29.438281268525863,24.489953889162848,454.27509804392633,406.57999384321613,60.77115224745351,62.59247055126406,364,0.0,R65_WINNER,0.8787941516698832,0.6971211317675089,True,0.6974875730138662,0.8596054792999431,0.6810568079727225,True,0.6821950295245424,R65_WINNER,1.5753424657534247,0.5608637747336378,0.6823842592592593,0.43913622526636226,365.0,reference,True,,,,,,,,,,,,
derived_threshold,W_VAL,U8,VOLMATCH_HOLD,1.6367713004484306,0.530654483827205,0.6273972602739726,0.19368888659692984,0.4088006687748432,0.48638765939433304,-0.4354219147359194,1.461422218455581,0.28156554549298063,-0.6925883366821274,1.3057770922241634,-8.308096279603092,-32.67264035444815,20.580136238903563,540.0979847361403,420.4674709545827,53.359931667171104,61.668027946774195,364,,D_A,0.867217149255119,0.6872644810789135,True,0.6882990556554999,0.8587521271803407,0.6803677201911829,True,0.6815177972494513,D_Ax1,0.6109589041095891,0.5618531202435312,1.7089699074074074,0.4381468797564688,365.0,derived,True,1.0,0.007065120606218379,derived D-A,0.007065120606218379,0.006992863283901873,0.0,0.01803195549654338,0.0,0.0,0.1511605783866058,0.14657170920213633,0.05462464132931035
derived_threshold,W_VAL,U8,VOLMATCH_HOLD,6.7592592592592595,0.13189825604664776,0.1726027397260274,0.04814286345702644,0.42664128621819786,0.6740224164011689,-0.3264482393457966,1.6743875989667947,0.6214278763067558,-0.4083984835464289,1.6470862808542988,-19.59658228146199,-42.08515956811787,15.055008573534284,775.6938715079955,429.5752449043421,41.08770410557504,60.684286387037034,364,,D_B,0.8470208034759165,0.6727946964847688,True,0.6722694767438545,0.8451757597832598,0.6698369014909455,True,0.6707434006450574,D_Bx0.5,0.14794520547945206,0.5847412480974125,6.467592592592593,0.41525875190258754,365.0,context,True,0.5,0.06126022196940612,context 0.5x,0.06126022196940612,0.06449164034367896,0.0,0.0678689528235915,0.0630754115343273,0.0,0.052054794520547946,0.14657170920213633,0.47670087391505056
derived_threshold,W_VAL,U8,VOLMATCH_HOLD,7.3,0.12083623211599194,0.16164383561643836,0.04410522472233706,0.46220076650703734,0.5918726205115059,-0.44348357157610013,1.6058702434714631,0.5415755531573716,-0.48857234108233627,1.5658296517317434,-16.39147298149696,-38.54300041957895,19.09331636707512,699.1485116065953,419.64250882143955,45.198588936747825,61.590061918244785,364,,D_B,0.8653377047838189,0.6853263193675436,True,0.686807364842116,0.8633685037019415,0.6841359994234838,True,0.6851814187517417,D_Bx0.75,0.136986301369863,0.6375570776255708,7.756944444444445,0.3624429223744292,365.0,context,True,0.75,0.09189033295410919,context 0.75x,0.09189033295410919,0.09673746051551846,0.0,0.10180342923538725,0.09461311730149097,0.0,0.052054794520547946,0.14657170920213633,0.7150513108725759
derived_threshold,W_VAL,U8,VOLMATCH_HOLD,8.295454545454545,0.102364588072976,0.136986301369863,0.03736307464663624,0.3982778073780711,0.5697250553675814,-0.5340913550601977,1.6809169402480864,0.5488122470289563,-0.554318225620308,1.6678816798161202,-10.957270155253752,-43.6253455997753,20.143058938944662,716.5041165473802,426.60803834395034,49.82437474852506,60.78164490377881,364,,D_B,0.8421395179334161,0.6679720416683528,True,0.6683952634258019,0.8402640473744798,0.6679384407056936,True,0.6668453964182202,D_Bx1,0.12054794520547946,0.5372336377473363,7.8436111111111115,0.4627663622526636,365.0,derived,True,1.0,0.12252044393881224,DERIVED POINT (D-B),0.12252044393881224,0.12898328068735793,0.0,0.135737905647183,0.1261508230686546,0.0,0.052054794520547946,0.14657170920213633,0.9534017478301011
derived_threshold,W_VAL,U8,VOLMATCH_HOLD,9.864864864864865,0.08197945411663049,0.12876712328767123,0.029922500752570132,0.4061877060854702,0.7095805679430796,-0.26910751878804745,1.7270788326445372,0.686963182195466,-0.28888776185562104,1.7021222669045675,-16.65674602016702,-43.69641622060888,14.144553645063956,805.5643379659729,418.0428700070001,45.11657026623381,61.77331628640083,364,,D_B,0.8621898387834361,0.6827718065920027,True,0.6843089442363259,0.8604043650236003,0.6817070332741627,True,0.6828290364997898,D_Bx1.5,0.10136986301369863,0.5708713850837138,10.418402777777779,0.4291286149162861,365.0,context,True,1.5,0.17922403714564322,context 1.5x,0.17922403714564322,0.19339243801596806,0.0,0.2036068584707745,0.18922623460298194,0.18282914764079147,0.052054794520547946,0.14657170920213633,1.3807552323194217
derived_threshold,W_VAL,U8,VOLMATCH_HOLD,9.864864864864865,0.08198082054737038,0.12876712328767123,0.02992299949979019,0.4165380290169815,0.5224506946425826,-0.5011924734521112,1.5553068802689742,0.5026808289297725,-0.5070966955296796,1.5430731388691876,-9.82003408700104,-40.53524393059863,20.276083346307555,691.9264329746743,431.33379657026603,50.56327777908357,60.38331186608461,364,,D_B,0.8362007007307054,0.6641242214816179,True,0.6636817008816946,0.8346515776655192,0.6628138137467935,True,0.6623912613166988,D_Bx2,0.10136986301369863,0.5829528158295282,10.63888888888889,0.4170471841704718,365.0,context,True,2.0,0.21055321859685136,context 2x,0.21055321859685136,0.22652177433931336,0.0,0.2687088849215555,0.23451473472341813,0.947945205479452,0.052054794520547946,0.14657170920213633,1.5999839436421843
