arm,spec,kind,mult,window,universe,delta_mean,delta_max,is_derived_point,is_secondary_derivation,cand_membership_per_day,baseline_membership_per_day,membership_reduction,cand_turnover_per_day,baseline_turnover_per_day,turnover_reduction,membership_passed,turnover_passed,passed,hold_days,mean_notional,membership_changes_gt1pct_per_day,mean_n_held_gt1pct,mean_tenure_gt1pct_days,frac_bars_flat,days
derived_threshold,D_Ax1,D_A,1.0,W_TRAIN,U8,0.01323743348147034,0.04532955115380451,False,True,0.234375,0.85,0.7242647058823529,0.2378071119146735,0.6073928250382219,0.6084788918938764,True,True,True,4.266666666666667,0.5445893560145865,0.234375,0.8425401475694444,4.648497365900383,0.15745985243055555,640.0
derived_threshold,D_Bx0.5,D_B,0.5,W_TRAIN,U8,0.09589855790287173,0.1369703873513985,False,False,0.1546875,0.85,0.8180147058823529,0.17906830940068916,0.6073928250382219,0.7051853396697256,True,True,True,6.4646464646464645,0.5308266585442526,0.1546875,0.8259874131944445,6.076229246487867,0.17401258680555556,640.0
derived_threshold,D_Bx0.75,D_B,0.75,W_TRAIN,U8,0.14384783685430758,0.20545558102709777,False,False,0.1375,0.85,0.8382352941176471,0.1610943459208983,0.6073928250382219,0.7347773314398948,True,True,True,7.2727272727272725,0.5149578387643168,0.1375,0.8021267361111111,6.581552706552706,0.1978732638888889,640.0
derived_threshold,D_Bx1,D_B,1.0,W_TRAIN,U8,0.19179711580574346,0.273940774702797,True,False,0.128125,0.85,0.8492647058823529,0.1535222153165286,0.6073928250382219,0.7472439433131799,True,True,True,7.804878048780488,0.5134385910668015,0.128125,0.8072428385416667,7.077197488584475,0.19275716145833333,640.0
derived_threshold,D_Bx1.5,D_B,1.5,W_TRAIN,U8,0.28602529383875813,0.3992131568627062,False,False,0.10625,0.85,0.875,0.12926572297140299,0.6073928250382219,0.7871793711701014,True,True,True,9.411764705882353,0.5167453586636367,0.10625,0.8240776909722223,8.64606102003643,0.17592230902777778,640.0
derived_threshold,D_Bx2,D_B,2.0,W_TRAIN,U8,0.29941451424401944,0.39938217690665173,False,False,0.1046875,0.85,0.8768382352941176,0.1275535735218949,0.6073928250382219,0.7899982214741041,True,True,True,9.552238805970148,0.5231150340181816,0.1046875,0.8355414496527778,8.91244212962963,0.16445855034722223,640.0
R65_WINNER_baseline,R65_WINNER,,,W_TRAIN,U8,,,,,0.85,,,0.6073928250382219,,,,,,1.1764705882352942,0.54675115779283,0.85,0.8456163194444445,1.7072379950928847,0.15438368055555557,640.0
