arm,form,seed,window,universe,bench,fee,p_subarm,p_d,p_delta_in,p_delta_out,identity_perm,mean_notional,turnover_per_day,cand_final,bench_final,cand_dd,bench_dd,growth_diff,growth_lo,growth_hi,dd_diff,dd_lo,dd_hi,n_days,scramble_p90,scramble_survived,scramble_mean_turnover_per_day,n_better
band_decomposition_fixedperm,fixed_permutation,0,W_FULL6,U6,VOLMATCH_HOLD,0.001,ENTRY_ONLY,0.08,0.08,0.0,False,0.4419209823220044,0.11833341893627043,322.2674713809383,2266.3337348120995,88.93572277593174,84.56929597849671,-1.9431406503253377,-4.510242468314555,0.5668855071823156,4.366426797435025,-24.491804407548898,22.55175045255272,2332,,,,
band_decomposition_fixedperm,fixed_permutation,1,W_FULL6,U6,VOLMATCH_HOLD,0.001,ENTRY_ONLY,0.08,0.08,0.0,False,0.4419209823220044,0.11833341893627043,1080.8694123557204,2266.3337348120995,65.49996883058658,84.56929597849671,-0.7330014998173124,-3.609448652387388,2.0297896026502094,-19.06932714791013,-29.612269211544444,16.43395167082988,2332,,,,
band_decomposition_fixedperm,fixed_permutation,2,W_FULL6,U6,VOLMATCH_HOLD,0.001,ENTRY_ONLY,0.08,0.08,0.0,False,0.4419209823220044,0.11833341893627043,921.7320370514665,2266.3337348120995,80.84533790386378,84.56929597849671,-0.8922679584785106,-3.5167176100618986,1.7809872476764408,-3.7239580746329324,-27.542197387086013,19.197356247590893,2332,,,,
band_decomposition_fixedperm,fixed_permutation,3,W_FULL6,U6,VOLMATCH_HOLD,0.001,ENTRY_ONLY,0.08,0.08,0.0,False,0.4419209823220044,0.11833341893627043,411.6867206614534,2266.3337348120995,82.88075666632707,84.56929597849671,-1.6982598341632882,-4.274663334461355,0.8856566874854452,-1.6885393121696382,-24.877326341879932,21.199886418008976,2332,,,,
band_decomposition_fixedperm,fixed_permutation,4,W_FULL6,U6,VOLMATCH_HOLD,0.001,ENTRY_ONLY,0.08,0.08,0.0,False,0.4419209823220044,0.11833341893627043,1641.0310861316118,2266.3337348120995,80.32912452385969,84.56929597849671,-0.3154424732100269,-3.025883490714618,2.338676838684183,-4.2401714546370215,-27.631498889314578,17.299320415550632,2332,,,,
band_decomposition_fixedperm,fixed_permutation,5,W_FULL6,U6,VOLMATCH_HOLD,0.001,ENTRY_ONLY,0.08,0.08,0.0,False,0.4419209823220044,0.11833341893627043,3053.5316733297846,2266.3337348120995,69.7295668891229,84.56929597849671,0.30553161787633476,-2.796690718359908,3.4176748928912315,-14.839729089373805,-32.46222607766965,13.334260158227119,2332,,,,
band_decomposition_fixedperm,fixed_permutation,6,W_FULL6,U6,VOLMATCH_HOLD,0.001,ENTRY_ONLY,0.08,0.08,0.0,False,0.4419209823220044,0.11833341893627043,1413.9291450002947,2266.3337348120995,86.02339998683962,84.56929597849671,-0.4643947719450465,-3.184618133167149,2.104875669000433,1.4541040083429095,-26.329091747152315,20.0198347702782,2332,,,,
band_decomposition_fixedperm,fixed_permutation,7,W_FULL6,U6,VOLMATCH_HOLD,0.001,ENTRY_ONLY,0.08,0.08,0.0,False,0.4419209823220044,0.11833341893627043,394.99280948658475,2266.3337348120995,82.34431467449139,84.56929597849671,-1.7396549466241398,-4.378081692036499,0.6944560420957908,-2.2249813040053255,-24.784482101788658,18.552290913179306,2332,,,,
band_decomposition_fixedperm,fixed_permutation,8,W_FULL6,U6,VOLMATCH_HOLD,0.001,ENTRY_ONLY,0.08,0.08,0.0,False,0.4419209823220044,0.11833341893627043,705.2293346308026,2266.3337348120995,84.309551119996,84.56929597849671,-1.1599994602649257,-4.111269096302927,1.6558813248778743,-0.25974485850071005,-23.772717825902074,22.098510764958522,2332,,,,
band_decomposition_fixedperm,fixed_permutation,9,W_FULL6,U6,VOLMATCH_HOLD,0.001,ENTRY_ONLY,0.08,0.08,0.0,False,0.4419209823220044,0.11833341893627043,921.7320370514665,2266.3337348120995,80.84533790386378,84.56929597849671,-0.8922679584785106,-3.5167176100618986,1.7809872476764408,-3.7239580746329324,-27.542197387086013,19.197356247590893,2332,,,,
band_decomposition,fixed_permutation,-1,W_FULL6,U6,VOLMATCH_HOLD,0.001,ENTRY_ONLY,0.08,0.08,0.0,,0.4419209823220044,0.11833341893627043,,,,,1.0662072063394823,,,,,,,-0.25334506410139096,True,0.11833341893627043,0
