window,horizon_days,n_blocks,n_obs,A_ts,A_ts_lo,A_ts_hi,A_ts_excludes_zero,A_xs,A_xs_lo,A_xs_hi,A_xs_excludes_zero
W_TRAIN,0.25,2559,20472,-0.001677293919512259,-0.006921203049574549,0.0024766415516419287,False,-0.0018482900506075998,-0.006622124927430694,0.002043259227018957,False
W_TRAIN,1.0,639,5112,-0.008089374626697099,-0.02566565474044186,0.004952270871225987,False,-0.001186774840108734,-0.02016469825564195,0.012139148937454554,False
W_TRAIN,2.0,319,2552,-0.00738463293667578,-0.039134269645027836,0.011356495255741176,False,0.0029743941203303837,-0.0339001994462818,0.023837990168865942,False
W_TRAIN,3.0,213,1704,-0.011148977679435557,-0.05120268250503359,0.010386687382249285,False,0.0032652013834308367,-0.04053806860070465,0.029648110026188917,False
W_TRAIN,5.0,127,1016,-0.0034783502259654302,-0.05639428031131137,0.027872582732130908,False,0.016110828446359117,-0.05869048615105381,0.05620683215824556,False
W_TRAIN,7.0,91,728,-0.017812380542561658,-0.119525765577514,0.03459029203808314,False,0.024026360600385332,-0.08078286031533367,0.07951912366948237,False
W_TRAIN,14.0,45,360,-0.12352902004127236,-0.22376863716561712,-0.014679852220860205,True,0.09752849908377963,-0.025796611749551522,0.18882507094774434,False
W_VAL,0.25,1459,11672,-0.002452804177750975,-0.009886101691697508,0.00352672954893845,False,-0.00409536557570371,-0.009617686597351812,0.0004986580707351199,False
W_VAL,1.0,364,2912,-0.010816250888890714,-0.0404927729593164,0.0050485733867241195,False,-0.006812957177659075,-0.02719581342091781,0.007295563512378367,False
W_VAL,2.0,182,1456,-0.017271064397392375,-0.07015265499504682,0.011786682007382424,False,-0.001490877723662641,-0.037927295673597414,0.021215228386659117,False
W_VAL,3.0,121,968,-0.0303747881386933,-0.09544426373338444,0.006554193030478615,False,-0.014178735467472385,-0.07246549584666621,0.025935482537667646,False
W_VAL,5.0,72,576,-0.04428534280919638,-0.15527216769349303,0.01318672162703071,False,-0.021870628615937155,-0.0866174996061508,0.024825132887626486,False
W_VAL,7.0,52,416,-0.04322341280545595,-0.1846979574083604,0.02588060716693606,False,-0.012413088740379257,-0.11820868364840574,0.05230444108483629,False
W_VAL,14.0,26,208,-0.2022047422099706,-0.528019158456241,-0.05572075917383309,True,-0.07744224971589832,-0.17403378969950065,0.0052114604997860695,False
