window,delta,n_grace_periods,ended_below_minus_delta,ended_recovered,mean_grace_log_ret,grace_lo,grace_hi,total_grace_log_ret,mean_grace_bars,mean_grace_days,avoided_round_trips,fee_saving_log_units,net_log_units
PRE_HOLDOUT,0.005,549,235,314,-0.00018626266916447595,-0.0011673006280015854,0.0006064959138883389,-0.10225820537129729,3.0072859744990894,0.01044196518923295,314,0.628,0.5257417946287027
PRE_HOLDOUT,0.01,549,172,377,-0.0005273636946408356,-0.0014958059705339804,0.0002952425888190699,-0.28952266835781876,6.069216757741348,0.021073669297713014,377,0.754,0.46447733164218125
PRE_HOLDOUT,0.02,549,91,458,6.723311378349017e-05,-0.0009018493320182239,0.00089642674187619,0.036910979467136104,13.37704918032787,0.04644808743169399,458,0.916,0.9529109794671361
PRE_HOLDOUT,0.04,549,52,497,0.00023943831746560423,-0.000790339250309729,0.0012180400941731585,0.13145163628861672,26.1183970856102,0.09068887876947987,497,0.994,1.1254516362886167
PRE_HOLDOUT,0.08,548,26,522,0.000568127189349129,-0.0006690792000134666,0.001754751041789192,0.3113336997633227,49.09124087591241,0.170455697485807,522,1.044,1.3553336997633227
PRE_HOLDOUT,0.12,548,17,531,0.00048152502559290736,-0.001374264277512715,0.0021001244279029506,0.2638757140249132,84.52189781021897,0.2934788118410381,531,1.062,1.3258757140249133
PRE_HOLDOUT,0.16,548,11,537,0.0009060299224063148,-0.0018152718937112316,0.0031453768485696183,0.4965043974786605,113.56021897810218,0.39430631589618814,537,1.074,1.5705043974786606
FULL,0.005,1314,505,809,-0.00024176303457377427,-0.0006914499825904318,0.00014681728624025287,-0.3176766274299394,3.65144596651446,0.012678631828175208,809,1.618,1.3003233725700607
FULL,0.01,1314,354,960,-0.0004949943498587666,-0.0010110432412921016,-4.0285818612989066e-05,-0.6504225757144193,7.382800608828006,0.025634724336208354,960,1.92,1.2695774242855806
FULL,0.02,1314,200,1114,-0.0001972082694113126,-0.0007309377151427022,0.00029991977199386114,-0.25913166600646476,16.7427701674277,0.05813461863690174,1114,2.228,1.9688683339935356
FULL,0.04,1314,116,1198,-0.00026988778207156247,-0.0009957794698267214,0.00046105084749571695,-0.3546325456420331,33.74885844748859,0.11718353627600203,1198,2.396,2.041367454357967
FULL,0.08,1314,62,1252,-0.0005020264257697337,-0.0015387655148926228,0.0004763374653721339,-0.6596627234614302,75.74809741248097,0.26301422712667005,1252,2.504,1.8443372765385697
FULL,0.12,1314,44,1270,-0.0010903896119780578,-0.002485820350162529,0.0002551412249538058,-1.432771950139168,118.35920852359209,0.4109694740402503,1270,2.54,1.107228049860832
FULL,0.16,1314,25,1289,-0.0005791781695775618,-0.002128334793240122,0.0009615733849560274,-0.7610401148249162,170.6628614916286,0.592579380179266,1289,2.578,1.8169598851750837
