timestamp,candle_close_price,prior_target,new_target,trade_qty,fee_paid,position_after,cash_after,equity_after,reason
2026-08-20T23:45:00+00:00,73087.10,0.000000,1.439381,0.01362758,3.9840,0.01362758,996.0160,996.0160,INCEPTION CATCH-UP target=1.4394 (on_bar's own change-gate emitted nothing; see inception_catchup_target)
2026-08-21T01:10:00+00:00,73954.00,0.999984,0.999984,0.00000000,0.0000,0.01362758,996.0160,1007.8297,target unchanged (1.0000)
2026-08-21T02:40:00+00:00,74681.29,0.999984,0.999984,0.00000000,0.0000,0.01362758,996.0160,1017.7409,target unchanged (1.0000)
2026-08-21T03:30:00+00:00,74549.06,0.999984,0.999984,0.00000000,0.0000,0.01362758,996.0160,1015.9390,target unchanged (1.0000)
2026-08-21T04:15:00+00:00,74849.50,0.999984,0.999984,0.00000000,0.0000,0.01362758,996.0160,1020.0332,target unchanged (1.0000)
2026-08-21T05:00:00+00:00,74928.07,0.999984,0.999984,0.00000000,0.0000,0.01362758,996.0160,1021.1040,target unchanged (1.0000)
2026-08-21T05:45:00+00:00,75238.08,0.999984,0.999984,0.00000000,0.0000,0.01362758,996.0160,1025.3286,target unchanged (1.0000)
2026-08-21T06:40:00+00:00,75350.36,0.999984,0.999984,0.00000000,0.0000,0.01362758,996.0160,1026.8587,target unchanged (1.0000)
2026-08-21T07:35:00+00:00,76482.77,0.999985,0.999985,0.00000000,0.0000,0.01362758,996.0160,1042.2908,target unchanged (1.0000)
2026-08-21T08:15:00+00:00,77081.80,0.999985,0.999985,0.00000000,0.0000,0.01362758,996.0160,1050.4541,target unchanged (1.0000)
2026-08-21T09:00:00+00:00,77847.00,0.999985,0.999985,0.00000000,0.0000,0.01362758,996.0160,1060.8819,target unchanged (1.0000)
2026-08-21T09:45:00+00:00,78229.83,0.999985,0.999985,0.00000000,0.0000,0.01362758,996.0160,1066.0989,target unchanged (1.0000)
2026-08-21T10:25:00+00:00,77900.06,0.999985,0.999985,0.00000000,0.0000,0.01362758,996.0160,1061.6050,target unchanged (1.0000)
