trial,market,strategy,return_pct,max_dd_pct,vol,c,liquidated
1,spot,buy_and_hold,2.4763400261303747,26.970401404186372,0.5345949247675981,,False
1,spot,kelly_regime_v4,-4.762311792585749,19.066106984334517,0.36274304729133333,,False
1,spot,vol-matched rebalanced c=0.353,1.5245951307559569,10.376118946821359,0.19166194933981498,,False
1,spot,vol-matched static     c=0.293,0.7254925529360357,8.67759116171737,0.15759913042196347,,False
1,spot,notional-matched reb.  c=0.283,1.510115611762397,8.127219861580308,0.1531160160837761,,False
1,spot,per-window matched hold,1.6552834989297827,18.81728655088423,0.3581321377641178,0.6678957010208283,False
1,futures,buy_and_hold,12.612483989314537,89.33725384198284,3.1139382112374827,,False
1,futures,kelly_regime_v4,-6.422660715102002,19.667345756352532,0.37323806137090976,,False
1,futures,vol-matched rebalanced c=0.353,1.5472787881632755,10.374377497018575,0.19164048880509496,,False
1,futures,vol-matched static     c=0.293,0.739015087727779,8.66387675824095,0.1573461971868501,,False
1,futures,notional-matched reb.  c=0.283,1.5312768355341344,8.125799556159707,0.15311414662112371,,False
1,futures,per-window matched hold,1.7377670349221663,19.308771720304698,0.3683711740444779,0.6873135198261734,False
2,spot,buy_and_hold,307.8527538169158,55.33445107223397,0.8861067262402462,,False
2,spot,kelly_regime_v4,233.91914646155493,24.62707403622853,0.4101221700592394,,False
2,spot,vol-matched rebalanced c=0.353,85.19063633482877,22.747397551136164,0.3141570479341085,,False
2,spot,vol-matched static     c=0.293,90.19152375614246,39.98195502559808,0.5411812932607836,,False
2,spot,notional-matched reb.  c=0.283,66.56724689186828,18.15251396686186,0.2516293406320259,,False
2,spot,per-window matched hold,117.68200303258136,30.233758710400206,0.4092080304269008,0.45963256553779336,False
2,futures,buy_and_hold,1537.201937224092,63.3959641424986,1.217768187744574,,False
2,futures,kelly_regime_v4,241.06200499818505,21.277661023280086,0.4106533625579838,,False
2,futures,vol-matched rebalanced c=0.353,85.1187269318979,22.746572943216616,0.31423218386924706,,False
2,futures,vol-matched static     c=0.293,90.07071291074922,39.95608255350922,0.5407068762034248,,False
