market,segment,n,wins,win_rate,ci_lo,ci_hi,median_diff
spot,pooled,40,33,0.825,0.6722098666384142,0.9266172706479148,20.807078486602496
spot,pre-2021 start,18,18,1.0,0.8146980318621477,1.0,68.92645625903901
spot,post-2021 start,22,15,0.6818181818181818,0.4512755724262295,0.8613534784462021,5.005529671148812
futures,pooled,40,36,0.9,0.7633626001239001,0.9720745847057807,23.82076896966793
futures,pre-2021 start,18,18,1.0,0.8146980318621477,1.0,97.21139761377847
futures,post-2021 start,22,18,0.8181818181818182,0.5971542169221286,0.9481327006875631,7.3780281661792415
