1,010,889 bars  2017-01-01 -> 2026-08-12  (data: real)

inner-train / spot
  arm                   c    vol       final     DD  sharpe  fills  clamp
  rebalanced_hold     0.8  0.662 $       726  67.9%    0.09      7  0.0%
  rebalanced_hold       1  0.826 $       574  77.3%    0.08      1  0.0%
  static_hold         0.1  0.109 $       958  16.2%   -0.15      1  0.0%
  static_hold        0.15  0.159 $       936  22.9%   -0.13      1  0.0%
  static_hold         0.2  0.208 $       915  28.8%   -0.11      1  0.0%
  static_hold         0.3  0.299 $       873  39.0%   -0.08      1  0.0%
  static_hold         0.4  0.384 $       830  47.4%   -0.05      1  0.0%
  static_hold         0.5  0.464 $       788  54.4%   -0.03      1  0.0%
  static_hold        0.65  0.578 $       724  63.0%    0.01      1  0.0%
  static_hold         0.8  0.685 $       660  69.9%    0.04      1  0.0%
  static_hold           1  0.824 $       575  77.3%    0.08      1  0.0%

configurations evaluated (distinct, counted once): 18
written: /home/user/tradebot/reports/matched_hold/frontier.csv
