split,market,arm,c,final,vol,max_dd,sharpe,fills,fees,clamp,liquidated,mean_notional
inner-train,spot,buy_and_hold,,29803.063511034725,0.9313647737561404,84.06747360120639,1.3779706833021654,1,0.9990000000000001,0.0,False,
inner-train,spot,kelly_regime_v4,,18477.369977338887,0.39866128402485373,43.25482798806934,2.0298447561235435,467,508.8352794779877,0.07427446186629122,False,0.40311203563988063
inner-train,spot,rebalanced_hold,0.1,1609.4759544712863,0.09336783577281167,13.361701565403086,1.3218456924997048,225,3.1515081899468047,0.0,False,
inner-train,spot,rebalanced_hold,0.15,2043.1928423443792,0.14009883502721554,19.541613468100397,1.3459496546472334,214,5.08357959570639,0.0,False,
inner-train,spot,rebalanced_hold,0.2,2505.4562786224587,0.1860239522130852,26.257100958531502,1.328219570560614,180,6.347779590775378,0.0,False,
inner-train,spot,rebalanced_hold,0.3,3932.632908860511,0.2798977552902312,35.81148988674012,1.3638701618899396,154,10.765454955138372,0.0,False,
inner-train,spot,rebalanced_hold,0.4,5994.324625227603,0.3734204295346278,46.852909307300926,1.3865236947730637,122,14.075337605430047,0.0,False,
inner-train,spot,rebalanced_hold,0.5,8353.312338709069,0.4675624742724353,55.4921375788742,1.3696510655757868,81,14.512835965102001,0.0,False,
inner-train,spot,rebalanced_hold,0.65,12940.135500915818,0.6105872195406918,67.2104115759665,1.354575609288697,37,11.927829977323032,0.0,False,
inner-train,spot,rebalanced_hold,0.8,19501.69502169596,0.761763081064648,76.49286853116286,1.3567968044969663,11,5.487278444544768,0.0,False,
inner-train,spot,rebalanced_hold,1.0,29803.063511034725,0.9313647737561404,84.06747360120639,1.3779706833021654,1,0.9990000000000001,0.0,False,
inner-train,spot,static_hold,0.1,3880.306351103472,0.4205071305164566,58.33574795565999,1.017006822056961,1,0.09990000000000002,0.0,False,
inner-train,spot,static_hold,0.15,5320.459526655208,0.5138381939043536,65.79451109763991,1.070852850889435,1,0.14985,0.0,False,
inner-train,spot,static_hold,0.2,6760.612702206944,0.5811230371958419,70.28799516195804,1.1134078530338956,1,0.19980000000000003,0.0,False,
inner-train,spot,static_hold,0.3,9640.919053310416,0.674465230918489,75.44024140412046,1.1778772006460858,1,0.2997,0.0,False,
inner-train,spot,static_hold,0.4,12521.225404413888,0.7384041002273835,78.31039318524061,1.2256521564638163,1,0.39960000000000007,0.0,False,
inner-train,spot,static_hold,0.5,15401.531755517362,0.7864693357885095,80.13976123198138,1.2632385856065087,1,0.49950000000000006,0.0,False,
inner-train,spot,static_hold,0.65,19721.99128217257,0.841563590674618,81.90594131999555,1.3074061421447225,1,0.64935,0.0,False,
inner-train,spot,static_hold,0.8,24042.450808827776,0.8846333829668301,83.0498886043229,1.3418867491198991,1,0.7992000000000001,0.0,False,
inner-train,spot,static_hold,1.0,29803.063511034725,0.9313647737561404,84.06747360120639,1.3779706833021654,1,0.9990000000000001,0.0,False,
