market,benchmark,stat,v4,benchmark_value,diff,lo,hi,p_positive,significant
spot,buy_and_hold (R-29 reproduction),Δ log growth,1.215892475866088,1.345046459731878,-0.12915398386579002,-0.9405826653236586,0.744496185440162,0.373,False
spot,buy_and_hold (R-29 reproduction),Δ max drawdown (pp),26.000608378438038,53.07695240764046,-27.076344029202424,-35.77835329352618,1.89022897181558,0.045,False
spot,vol-matched rebalanced c=0.353,Δ log growth,1.215892475866088,0.5728417827063305,0.6430506931597576,-0.1403054560242731,1.4764834488185654,0.9415,False
spot,vol-matched rebalanced c=0.353,Δ max drawdown (pp),26.000608378438038,21.760982485812196,4.239625892625842,-0.47080313042185706,26.882789044236524,0.972,False
spot,vol-matched static     c=0.293,Δ log growth,1.215892475866088,0.6052123899840667,0.6106800858820214,-0.1163950490618782,1.3772615692090107,0.945,False
spot,vol-matched static     c=0.293,Δ max drawdown (pp),26.000608378438038,40.18449274769793,-14.183884369259893,-22.68069641750429,13.480093986030191,0.353,False
spot,notional-matched reb.  c=0.283,Δ log growth,1.215892475866088,0.4573691165530814,0.7585233593130067,-0.10545956662942832,1.6854778225631788,0.951,False
spot,notional-matched reb.  c=0.283,Δ max drawdown (pp),26.000608378438038,17.437752296490412,8.562856081947626,3.878773486226198,30.406480318802036,0.996,True
futures,buy_and_hold (R-29 reproduction),Δ log growth,1.5894816212650498,2.7164818763302594,-1.1270002550652096,-2.9526322326724683,0.518639516179226,0.0995,False
futures,buy_and_hold (R-29 reproduction),Δ max drawdown (pp),30.080927132931784,59.38661027704718,-29.3056831441154,-41.04651713533778,-4.995668633833217,0.0085,True
futures,vol-matched rebalanced c=0.348,Δ log growth,1.5894816212650498,0.5665098211519797,1.02297180011307,-0.061294019285283365,2.1542314537067013,0.9685,False
futures,vol-matched rebalanced c=0.348,Δ max drawdown (pp),30.080927132931784,22.051051422624692,8.029875710307092,2.3474337144391053,30.784073917761866,0.99,True
futures,vol-matched static     c=0.289,Δ log growth,1.5894816212650498,0.5980655014751313,0.9914161197899185,0.038992339811818204,2.0340564109892556,0.981,True
futures,vol-matched static     c=0.289,Δ max drawdown (pp),30.080927132931784,39.965699479640264,-9.88477234670848,-18.640136566118027,17.476496170920093,0.497,False
futures,notional-matched reb.  c=0.289,Δ log growth,1.5894816212650498,0.4699253961499864,1.1195562251150633,-0.028709220392527685,2.340119014561008,0.97,False
futures,notional-matched reb.  c=0.289,Δ max drawdown (pp),30.080927132931784,17.995005969198953,12.08592116373283,6.160586109376919,34.15579187152959,0.998,True
