strategy,cell,control,reference,risk_valid,control_to_candidate_vol,days,sharpe,control_sharpe,d_sharpe,d_sharpe_lo,d_sharpe_hi,growth,control_growth,d_growth,d_growth_lo,d_growth_hi,drawdown,control_drawdown,d_drawdown,d_drawdown_lo,d_drawdown_hi
r190_v4_b20,funded_holdout,parent,kelly_regime_v4,True,1.0174898415600806,1320,1.0353307611654674,1.0569489970866222,-0.02161823592115475,-0.19712587221386163,0.14913847154517582,1.11685530617116,1.1610176188798265,-0.04416231270866655,-0.2615519830728642,0.17589793070606013,32.00984239463512,31.12922182751093,0.8806205671241933,-6.046435658117311,6.436535884698858
r190_v4_b20,funded_holdout,matched_hold,match_r190_v4_b20_funded_holdout_i1,True,1.0093463552473583,1320,1.0353307611654674,0.875635780170992,0.15969498099447543,-0.42933058725599993,0.7705015415230325,1.11685530617116,0.9132518469206772,0.20360345925048273,-0.5325228728668182,1.0033073480055703,32.00984239463512,45.169308909350484,-13.159466514715362,-24.72727652176765,15.005398057650453
r190_v3_b05,funded_holdout,parent,kelly_regime_v3,True,1.0115731240577766,1320,0.9527302015907746,0.9497038017632778,0.0030263998274967507,-0.1437552150071992,0.14067868038776754,1.0147040891190606,1.019645689126556,-0.004941600007495328,-0.1943418730157438,0.1741828700205727,34.814065552361726,37.421254504823494,-2.607188952461769,-5.088524275782404,4.135151928932057
r190_v3_b05,funded_holdout,matched_hold,match_r190_v3_b05_funded_holdout_i2,False,0.9793898906063905,1320,0.9527302015907746,0.9019653430350715,0.05076485855570312,-0.5169332170672841,0.6495014754628188,1.0147040891190606,0.9316247718474016,0.08307931727165907,-0.6226303281591675,0.8651408115194728,34.814065552361726,42.739100504256506,-7.92503495189478,-20.736156085916797,18.62954617403294
r190_v3_b10,funded_holdout,parent,kelly_regime_v3,True,1.0115731240577766,1320,0.9527302015907746,0.9497038017632778,0.0030263998274967507,-0.1437552150071992,0.14067868038776754,1.0147040891190606,1.019645689126556,-0.004941600007495328,-0.1943418730157438,0.1741828700205727,34.814065552361726,37.421254504823494,-2.607188952461769,-5.088524275782404,4.135151928932057
r190_v3_b10,funded_holdout,matched_hold,match_r190_v3_b10_funded_holdout_i2,False,0.9793898906063905,1320,0.9527302015907746,0.9019653430350715,0.05076485855570312,-0.5169332170672841,0.6495014754628188,1.0147040891190606,0.9316247718474016,0.08307931727165907,-0.6226303281591675,0.8651408115194728,34.814065552361726,42.739100504256506,-7.92503495189478,-20.736156085916797,18.62954617403294
r190_v3_b20,funded_holdout,parent,kelly_regime_v3,True,1.0115731240577766,1320,0.9527302015907746,0.9497038017632778,0.0030263998274967507,-0.1437552150071992,0.14067868038776754,1.0147040891190606,1.019645689126556,-0.004941600007495328,-0.1943418730157438,0.1741828700205727,34.814065552361726,37.421254504823494,-2.607188952461769,-5.088524275782404,4.135151928932057
r190_v3_b20,funded_holdout,matched_hold,match_r190_v3_b20_funded_holdout_i2,False,0.9793898906063905,1320,0.9527302015907746,0.9019653430350715,0.05076485855570312,-0.5169332170672841,0.6495014754628188,1.0147040891190606,0.9316247718474016,0.08307931727165907,-0.6226303281591675,0.8651408115194728,34.814065552361726,42.739100504256506,-7.92503495189478,-20.736156085916797,18.62954617403294
r190_base_b05,funded_holdout,parent,kelly_regime,True,1.012027361528246,1320,0.9384593767700966,0.9609947000747482,-0.022535323304651578,-0.1604445717173166,0.11537882326324955,1.0795895512890041,1.12222881287594,-0.04263926158693576,-0.24550596729981888,0.15469957445277402,39.10990996794502,40.76183319051831,-1.6519232225732878,-4.753938256103474,5.201723969854497
r190_base_b05,funded_holdout,matched_hold,match_r190_base_b05_funded_holdout_i2,True,0.9828019099193985,1320,0.9384593767700966,0.8864324670962587,0.05202690967383794,-0.5327990860035157,0.670850095838642,1.0795895512890041,0.9892995493333125,0.09029000195569159,-0.7331183204416553,0.9853016965996646,39.10990996794502,47.93239162124266,-8.822481653297636,-22.57622584323428,19.868625093699006
r190_base_b10,funded_holdout,parent,kelly_regime,True,1.012027361528246,1320,0.9384593767700966,0.9609947000747482,-0.022535323304651578,-0.1604445717173166,0.11537882326324955,1.0795895512890041,1.12222881287594,-0.04263926158693576,-0.24550596729981888,0.15469957445277402,39.10990996794502,40.76183319051831,-1.6519232225732878,-4.753938256103474,5.201723969854497
