strategy,market,start_balance,final_balance,profit,profit_pct,num_trades,win_rate_pct,best_trade,worst_trade,avg_trade,max_drawdown_pct,sharpe,time_in_market_pct,fees_paid,liquidated,data,cell,asset,start,end,days,fee_rate,slippage_bps,min_notional,funding_paid,funding_model,fills,fills_per_day,completed_round_trips,round_trips_per_day,active_days_pct,daily_sharpe,annualized_volatility,mean_abs_exposure,decision_requests,reference_candidate,control_c,match_attempt,stage,target_daily_volatility,achieved_daily_volatility,relative_vol_error,matched_valid,final_selected
match_r190_base_b05_funded_val_i0,futures_5x,1000.0,830.7162613217865,-169.28373867821347,-16.928373867821346,1,0.0,-67.29243280033148,-67.29243280033148,-67.29243280033148,49.217620782934745,-0.013011270110329562,99.99952435312025,1.215268142742362,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,101.99130587788268,Deribit 8h aggregation,33,0.045205479452054796,0,0.0,4.2465753424657535,-0.07003886434884987,0.3666113554390658,0.5041466038805399,33,r190_base_b05,0.5,0,train,0.016536909289005093,0.019182747063595195,0.1599959054228617,False,False
match_r190_base_b05_funded_val_i1,futures_5x,1000.0,869.7917342411196,-130.20826575888043,-13.020826575888044,1,0.0,-44.27789965888877,-44.27789965888877,-44.27789965888877,44.0567467529059,-0.0121474560039691,99.99952435312025,1.269666762305952,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,85.93036609998879,Deribit 8h aggregation,43,0.0589041095890411,0,0.0,5.616438356164384,-0.06211144351690727,0.3167679428657798,0.43693178381287495,43,r190_base_b05,0.43103600423290406,1,train,0.016536909289005093,0.016574716619380862,0.002286239206797017,True,True
match_r190_base_b05_inner_val_i0,spot,1000.0,864.1271390351665,-135.87286096483354,-13.587286096483354,1,0.0,-135.87286096483354,-135.87286096483354,-135.87286096483354,49.13399121172731,0.028510957343515587,99.99952435312025,8.682566673504143,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,27,0.036986301369863014,0,0.0,3.6986301369863015,-0.01221935446376827,0.37031438525624927,0.5001103624774786,27,r190_base_b05,0.5,0,train,0.016595629271183094,0.019376506158337116,0.16756682387348695,False,False
match_r190_base_b05_inner_val_i1,spot,1000.0,918.5867624307261,-81.41323756927386,-8.141323756927388,1,0.0,-81.41323756927295,-81.41323756927295,-81.41323756927295,44.46827043308371,0.05520686743300166,99.99952435312025,10.305671849785169,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,41,0.056164383561643834,0,0.0,5.342465753424658,0.023340015144534668,0.3159591502516474,0.42837042138242387,41,r190_base_b05,0.42824101351322574,1,train,0.016595629271183094,0.016532396969665634,0.00381017799832741,True,True
match_r190_base_b10_funded_val_i0,futures_5x,1000.0,830.7162613217865,-169.28373867821347,-16.928373867821346,1,0.0,-67.29243280033148,-67.29243280033148,-67.29243280033148,49.217620782934745,-0.013011270110329562,99.99952435312025,1.215268142742362,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,101.99130587788268,Deribit 8h aggregation,33,0.045205479452054796,0,0.0,4.2465753424657535,-0.07003886434884987,0.3666113554390658,0.5041466038805399,33,r190_base_b10,0.5,0,train,0.016536909289005093,0.019182747063595195,0.1599959054228617,False,False
match_r190_base_b10_funded_val_i1,futures_5x,1000.0,869.7917342411196,-130.20826575888043,-13.020826575888044,1,0.0,-44.27789965888877,-44.27789965888877,-44.27789965888877,44.0567467529059,-0.0121474560039691,99.99952435312025,1.269666762305952,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,85.93036609998879,Deribit 8h aggregation,43,0.0589041095890411,0,0.0,5.616438356164384,-0.06211144351690727,0.3167679428657798,0.43693178381287495,43,r190_base_b10,0.43103600423290406,1,train,0.016536909289005093,0.016574716619380862,0.002286239206797017,True,True
match_r190_base_b10_inner_val_i0,spot,1000.0,864.1271390351665,-135.87286096483354,-13.587286096483354,1,0.0,-135.87286096483354,-135.87286096483354,-135.87286096483354,49.13399121172731,0.028510957343515587,99.99952435312025,8.682566673504143,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,27,0.036986301369863014,0,0.0,3.6986301369863015,-0.01221935446376827,0.37031438525624927,0.5001103624774786,27,r190_base_b10,0.5,0,train,0.01627073910069422,0.019376506158337116,0.19088051491836552,False,False
match_r190_base_b10_inner_val_i1,spot,1000.0,918.5115698170323,-81.4884301829677,-8.14884301829677,1,0.0,-81.48843018296779,-81.48843018296779,-81.48843018296779,43.85556736561971,0.049331620064665946,99.99952435312025,10.058216057538312,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,41,0.056164383561643834,0,0.0,5.342465753424658,0.01783200201273602,0.3102007018552948,0.42025749129244316,41,r190_base_b10,0.4198574027674597,1,train,0.01627073910069422,0.01623108917483832,0.0024368853566219617,True,True
match_r190_base_b20_funded_val_i0,futures_5x,1000.0,830.7162613217865,-169.28373867821347,-16.928373867821346,1,0.0,-67.29243280033148,-67.29243280033148,-67.29243280033148,49.217620782934745,-0.013011270110329562,99.99952435312025,1.215268142742362,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,101.99130587788268,Deribit 8h aggregation,33,0.045205479452054796,0,0.0,4.2465753424657535,-0.07003886434884987,0.3666113554390658,0.5041466038805399,33,r190_base_b20,0.5,0,train,0.016517677333206932,0.019182747063595195,0.1613465184375796,False,False
match_r190_base_b20_funded_val_i1,futures_5x,1000.0,870.0503574599367,-129.94964254006334,-12.994964254006335,1,0.0,-44.14382653188517,-44.14382653188517,-44.14382653188517,44.01622429608567,-0.01216849505858574,99.99952435312025,1.2690116397615967,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,85.80581600818091,Deribit 8h aggregation,43,0.0589041095890411,0,0.0,5.616438356164384,-0.062084026010812726,0.31639795891813843,0.4364233231810308,43,r190_base_b20,0.43053472160288236,1,train,0.016517677333206932,0.01655535740319757,0.002281196637428255,True,True
