arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_a,p_mult,p_mode,net_volmatch_c,net_volmatch_vol,net_volmatch_matched,net_cand_vol,gross_volmatch_c,gross_volmatch_vol,gross_volmatch_matched,gross_cand_vol,kind,first_bar_warm
R63_BASELINE_k1,W_TRAIN,U8,VOLMATCH_HOLD,0.2616516762060507,4.475293409757335,3.8640625,2.8641877822446946,0.54675115779283,-2.0967205691000323,-4.7630226828057,0.6392459032816697,-4.9818825165500105,-8.512973236132241,-1.448229643983467,31.85336074632893,10.015906632997387,62.828790973685095,54.52921223305445,7970.357715921371,96.60138208939222,64.74802134306329,639,nan,nan,r63_equal_rank,1.0,0.9450786722179523,False,0.9533482246376135,0.9471664375788708,0.8965418397216038,True,0.8989782404585822,reference,True
aim_gp,W_TRAIN,U8,VOLMATCH_HOLD,37.64705882352941,0.02830396813661431,0.3921875,0.01811453960743316,0.531201451780375,0.1286250395969193,-0.8025280328252924,1.2592597382234418,0.10271294456867497,-0.8245836031739171,1.2384655760901184,-1.736398188175066,-14.287178073939275,19.641714431475183,5011.054252697239,4528.702705936423,42.63129521519541,44.367693403370474,639,0.00011420091119887067,0.015625,gp,0.6336427931600899,0.5987805068080055,True,0.6013676567791492,0.6332248639546475,0.5992878103974262,True,0.601008810518766,frontier_extension,True
aim_gp,W_TRAIN,U8,VOLMATCH_HOLD,7.529411764705882,0.057118950651125634,0.9453125,0.03655612841672041,0.5415722141420299,0.41911687668288167,-0.7907639818125691,1.8929349965893079,0.38809014194753266,-0.8140818203494938,1.8715624637522013,-12.633047702672407,-22.17797104065016,12.630140155396207,8325.009783104419,5659.205060140085,37.754315216776654,50.38736291944906,639,0.00045680364479548267,0.0625,gp,0.7358268550357719,0.6956583476719709,True,0.6983468862656733,0.735628897693211,0.6953732723098235,True,0.6982029196148132,frontier_extension,True
aim_gp,W_TRAIN,U8,VOLMATCH_HOLD,2.782608695652174,0.10727712454856961,1.8859375,0.06865735971108455,0.541862880611168,0.47289388987787184,-0.834199213332203,2.088834313287186,0.40979860994166706,-0.8931496527234883,2.0321994099300333,-15.999435583505871,-22.42897074477325,10.954078534117626,9107.050251717532,6052.3943193559535,36.31188135805992,52.31131694156579,639,0.0018272145791819307,0.25,gp,0.7791112460429135,0.7373493927969154,True,0.7394265498806603,0.7790984812024976,0.7372750226392049,True,0.7394609373677825,band,True
aim_gp,W_TRAIN,U8,VOLMATCH_HOLD,2.269503546099291,0.15249973034951125,2.70625,0.09759982742368721,0.5442591538697726,0.40466453240097655,-0.9282971193759121,2.0730750735220975,0.30194055245656015,-1.0296259634135625,1.962638449621687,-11.11415582512025,-20.442042012581503,13.482317177386248,8300.405605319927,6151.178010446696,41.69594250038267,52.81009832550292,639,0.0036544291583638614,0.5,gp,0.7953422789881304,0.7511938240849213,True,0.754830841312259,0.7968018281744387,0.7514379233830171,True,0.7562636059164537,band,True
aim_gp,W_TRAIN,U8,VOLMATCH_HOLD,1.7877094972067038,0.21838300973366795,3.9265625,0.13976512622954748,0.5438715612732884,0.39700594984032644,-0.9297716159240528,2.0719490488019794,0.2664162956599405,-1.0586300833881725,1.9659289861958367,-13.346745896791276,-20.51282933041414,12.838071848813888,8194.708063308623,6286.371027980767,40.21676423912163,53.56351013591291,639,0.007308858316727723,1.0,gp,0.8064907155689959,0.7620540895835122,True,0.765411422762496,0.8064787861201336,0.7619396612081006,True,0.7654482373411584,frozen,True
aim_gp,W_TRAIN,U8,VOLMATCH_HOLD,1.457858769931663,0.3162409271599871,5.653125,0.20239419338239173,0.5420640597111901,0.21859511598233605,-1.155902828317726,1.9498413312147302,0.030100009464435695,-1.3662701886020894,1.7961483469197665,-13.89442223860199,-20.506423171116758,17.67010694808544,6488.205888673268,6306.675891757963,41.10778467466747,55.00220691326946,639,0.014617716633455445,2.0,gp,0.8185778876562554,0.7738582860696727,True,0.7768829244250504,0.8184009683101202,0.774248328748793,True,0.7767638646082915,band,True
aim_gp,W_TRAIN,U8,VOLMATCH_HOLD,1.0666666666666667,0.46767803670532543,8.134375,0.2993139434914083,0.5391879714395339,-0.013006020776548555,-1.5212810392415068,1.8330741402040374,-0.3045972910298598,-1.8650629274065533,1.5736520874799687,-9.175172140063538,-21.58702695169465,23.855262451630743,4684.953600394478,6364.991108528479,46.852653273947,56.027825414010536,639,0.02923543326691089,4.0,gp,0.8313798049352534,0.7861384253300943,True,0.7890327651230831,0.830439561844785,0.7852753533590615,True,0.7881899806571805,band,True
aim_gp,W_TRAIN,U8,VOLMATCH_HOLD,0.11045909561615465,4.7212333918972265,11.5484375,3.0215893708142247,0.548528366168422,-1.7734291178639972,-3.9662270547896163,0.6021753523649623,-4.808120900642467,-7.8055795446767124,-1.7092803506382215,35.44713967886521,13.497978907627353,64.99383043470469,60.06764938468767,7424.608307649518,96.14496826263175,60.69782858376654,639,1.0,136.820274339059,gp,0.9240008193968062,0.8749194958982441,True,0.8769360491760262,0.8926690959343929,0.84495235907208,True,0.8472535146263883,no_smoothing_endpoint,True
aim_equal,W_TRAIN,U8,VOLMATCH_HOLD,45.714285714285715,0.028651987758009367,0.4015625,0.018337272165125994,0.5327059095965057,0.18553614346443315,-0.7063051790020607,1.2770301308298595,0.1700199356074834,-0.7178291035166331,1.2635014212344913,-3.6973743430600265,-14.920560094576036,17.498534900583977,5196.362977888768,4389.095217554233,40.56208550951158,44.25945985257161,639,0.00011420091119887067,0.015625,equal,0.6233161634846471,0.5919991998465813,True,0.5915670227983283,0.6232174074608553,0.5918109371702994,True,0.5915104950450338,decomposition,True
aim_equal,W_TRAIN,U8,VOLMATCH_HOLD,7.529411764705882,0.06001476767702839,1.0078125,0.03840945131329817,0.5476921654094813,0.4249938534527853,-0.7579647400147215,1.8888016474758607,0.3964974340694023,-0.7825166904670001,1.8679841285447694,-13.177589590647948,-21.69258084643387,12.31565545320643,8317.941763382136,5603.755700658539,37.17300213489206,50.350591725540006,639,0.00045680364479548267,0.0625,equal,0.7351957477787036,0.6959571113526558,True,0.6977479249952914,0.7350844666788766,0.6948473958745358,True,0.6976861871632616,decomposition,True
aim_equal,W_TRAIN,U8,VOLMATCH_HOLD,2.909090909090909,0.10899378496175567,1.915625,0.06975602237552363,0.5378771684105788,0.4462378444763757,-0.8350647680627,2.0087347242233036,0.37546156634987327,-0.9122643331467346,1.9375708476653615,-15.192801003255504,-21.496396791796013,11.448082845751179,8586.655368368496,5905.008846609082,36.39328365629904,51.586084659554544,639,0.0018272145791819307,0.25,equal,0.7707272674347837,0.7298802251662772,True,0.7314696163773011,0.7706536896081142,0.7296945493687675,True,0.7314457843942841,decomposition,True
aim_equal,W_TRAIN,U8,VOLMATCH_HOLD,2.2857142857142856,0.1549017234296052,2.75625,0.09913710299494732,0.5455014722743808,0.39610739146476703,-0.918599905712129,2.038395161397886,0.3071326358489226,-1.0167704252857352,1.9658935500851127,-9.977569248349866,-19.889978149838168,13.199209220474811,8284.653650729078,6097.861693525385,42.6479920336725,52.62556128202237,639,0.0036544291583638614,0.5,equal,0.792803267617206,0.7496254160526433,True,0.7524211566521469,0.7928349051210427,0.7495808831039299,True,0.752498504699721,decomposition,True
