arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_buffer,p_hold_days_param,p_k,volmatch_c_net,volmatch_vol_net,volmatch_matched_net,volmatch_shared_flag_net,cand_vol_net,volmatch_c_gross,volmatch_vol_gross,volmatch_matched_gross,volmatch_shared_flag_gross,cand_vol_gross,cand_final_gross,bench_final_gross,n_bars,tenure_days,raw_turnover_per_day,membership_changes_per_day,span_days,config_kind
r63_reference,W_TRAIN,U8,VOLMATCH_HOLD,0.2616516762060507,4.475293409757335,3.8640625,2.8641877822446946,0.54675115779283,-2.0967205691000323,-4.7630226828057,0.6392459032816697,-4.9818825165500105,-8.512973236132241,-1.448229643983467,31.85336074632893,10.015906632997387,62.828790973685095,54.52921223305445,7970.357715921371,96.60138208939222,64.74802134306329,639,nan,0,1,1.0,0.9450786722179523,True,False,0.9533482246376135,0.9471664375788708,0.8965418397216038,True,True,0.8989782404585822,961.6841781453267,7856.254171101872,184320,0.2438911421561264,4.475317689909698,3.82189573511141,639.9965277777778,reference
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,0.9968847352024922,0.8147253531252485,1.046875,0.521424226000159,0.54675115779283,-0.6141707824904825,-2.444034253826006,1.4328213698213499,-1.1327708765471056,-3.034349193912788,1.065848131375852,2.042885374696027,-16.642078331673986,38.19071203112915,2466.7243320405287,7678.051513944058,63.48128113006947,61.43839575537344,639,0.0,1,1,0.943483152224308,0.8932659516222908,True,True,0.8954260327559487,0.9377005890763246,0.8877086814392336,True,True,0.889993978037905,4162.148213170894,7720.075614986366,184320,1.304082998661312,0.8147297733171588,1.0031304423309588,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.0829103214890017,0.7000982169840694,0.965625,0.4480628588698044,0.54675115779283,-0.9870347638223813,-2.9833602644588133,1.3143166716956336,-1.4581144042480458,-3.533195253122265,0.954356632347342,7.103196815196881,-13.260474678500788,43.63618757030578,1727.5175819806407,7444.128719191763,67.05127832623991,59.94808151104303,639,0.02,1,1,0.9162060233269785,0.867501540459342,True,True,0.8695382876956091,0.9100769045158437,0.8595702283607132,True,True,0.8637756806448493,2707.601536796451,7290.801526397902,184320,1.4867979242979243,0.7001020152805918,0.9234425099962564,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.1764705882352942,0.6073928250382219,0.89375,0.38873140802446204,0.54675115779283,-1.0261623997228912,-3.157887709707339,1.1996332781973025,-1.4196606648319448,-3.5971658759565632,0.9198484003693361,6.704817715392473,-15.965515644535213,42.149289295822484,1836.1348032726853,7613.986290302997,67.50090329856302,60.796085583170544,639,0.05,1,1,0.9293813006084777,0.8794352585754299,True,True,0.8820424709858133,0.9239717461231414,0.8749245708449113,True,True,0.8769636059808745,2682.0101052460514,7510.47005653663,184320,1.7072379950928847,0.6073961203730757,0.8500046115701582,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.245136186770428,0.5452783539961653,0.846875,0.34897814655754583,0.54675115779283,-0.7386462036190944,-2.5074831178859642,1.2251260854366584,-1.0671135816115829,-2.8804781146478384,1.0045460590707733,4.501833597728748,-14.812587110398827,37.94164350877814,2429.6406367640093,7081.1194281790595,63.304681764829354,58.802848167100606,639,0.1,1,1,0.8984900805200392,0.8487902458565841,True,True,0.8527247215532244,0.8933303257446462,0.8455836124910581,True,True,0.8478811035989027,3459.0793380777463,7265.227529023609,184320,1.885694928377855,0.5452813123366179,0.8031293572556274,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.1531531531531531,0.6318465540288257,0.9109375,0.4043817945784485,0.54675115779283,-0.486785896265717,-2.2716036764172367,1.611017760526996,-0.8752211411149098,-2.7088120380095866,1.2796594306032403,-1.6095039228411707,-14.98729592137759,36.34416734937735,2899.9348830052927,6975.744475190512,56.640124133453654,58.249628056294824,639,0.0,3,1,0.8826180813229463,0.8360776551009435,True,True,0.8376611761794119,0.8774960003050687,0.8310696924662446,True,True,0.8328523679324379,4295.303131198232,7012.525500774641,184320,1.6499830623306233,0.6318499820343699,0.8671922048188194,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.198501872659176,0.5889580661653817,0.878125,0.37693316234584434,0.54675115779283,-0.0924627137363132,-1.8695793602366997,2.0291092939872417,-0.47574114378066845,-2.2992468149342438,1.7024277689968519,-0.957675717795837,-16.75958043096785,33.54447092660378,4458.615315408478,7193.215585596661,57.52637788378493,58.48405360158077,639,0.02,3,1,0.8928454428271745,0.8451860461537358,True,True,0.8473675982980284,0.8872448127771602,0.839288704860774,True,True,0.8421051982007103,6499.797709150182,7153.925631066567,184320,1.7628483532392327,0.5889612614847253,0.8343795267986479,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.2260536398467432,0.5680102780939151,0.859375,0.3635265779801057,0.54675115779283,-0.8772800503438187,-2.8143374712861493,1.2369297435301272,-1.2572644167090459,-3.249570309205247,0.9765390364396429,11.345626781823334,-13.468318321035772,44.68878396551896,2043.1827131041262,7201.845221490417,69.92880772824492,58.583180946421585,639,0.05,3,1,0.8946634880541783,0.8469836936695542,True,True,0.8490930398399881,0.8892248614642878,0.841060367954468,True,True,0.8439845096016995,2942.765001967563,7099.786969950345,184320,1.8345574387947268,0.5680133597636181,0.8156294250728356,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.2573673870333988,0.5354294934423203,0.8390625,0.34267487580308503,0.54675115779283,-0.956959510473854,-2.8243701895984086,1.0712353986847896,-1.2943826442496964,-3.179095006537657,0.7992498705606554,9.66176996309926,-13.869883122102708,41.96320940678998,2007.992454484277,7345.760955689114,69.18124881055577,59.51947884745651,639,0.1,3,1,0.909059755683807,0.8594386941144859,True,True,0.8627560212930228,0.9038569460477845,0.8548791985045471,True,True,0.8578721698177191,2842.4523989889162,7426.972079599019,184320,1.9191292356185974,0.5354323983489946,0.7953168148698723,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.245136186770428,0.5484820384770739,0.846875,0.3510285046253273,0.54675115779283,-0.5342089472250111,-2.4149366723707386,1.631881505755372,-0.8941091191488146,-2.8229545279634705,1.3383424756178817,10.140989775519927,-13.348882691139822,39.97436325360555,2723.311892596913,6675.413372717047,67.6852186202593,57.54422884473938,639,0.0,7,1,0.8629261083655936,0.8165217304180263,True,True,0.8189722306685464,0.857876298524468,0.8116975022266921,True,True,0.8142308413608972,3873.4796724074613,6630.474716155063,184320,1.885694928377855,0.5484850141987213,0.8031293572556274,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.2598425196850394,0.5352414522938558,0.8375,0.3425545294680677,0.54675115779283,-0.361789741076864,-2.177020368360379,1.7078310644000703,-0.7008179485204107,-2.5866322505638957,1.4438970717857673,8.396284899171178,-14.260394077181573,38.00130978038326,3207.8038647330586,6480.875808516876,65.18585264024571,56.789567741074535,639,0.02,7,1,0.8552042208175867,0.809340100490731,True,True,0.8116436640521757,0.8503668432300961,0.804430447232674,True,True,0.8071034383623353,4524.551908974459,6518.169184721028,184320,1.9259588770264928,0.5352443561803357,0.7937543063927213,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.2648221343873518,0.5333726083771604,0.834375,0.34135846936138264,0.54675115779283,-0.809732403737992,-2.7487198457057977,1.263229992839606,-1.1466360786883145,-3.158520476196125,0.9995702838223502,17.331250589926242,-12.525437147201922,45.197492425255994,2239.1297547767645,7065.744641158919,75.45932285288328,58.12807226295703,639,0.05,7,1,0.8845078645752341,0.8369956819949665,True,True,0.8394547017091211,0.8792656582948358,0.8325835195738114,True,True,0.8345319925081576,3155.7512829656725,7116.070671936522,184320,1.9397650338510555,0.5333755021244581,0.7906292894384191,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.2774451097804391,0.5213194499445667,0.8265625,0.3336444479645227,0.54675115779283,-0.8107055029640859,-2.5459324005913877,1.0849549744480855,-1.1220700821852234,-2.9210160169588053,0.9326855537472317,13.274804376340462,-13.334771446520769,40.783661699245926,2299.3759755011906,7080.061129033494,72.07052011885709,58.79571574251663,639,0.1,7,1,0.8983586461414865,0.8486644488704399,True,True,0.8525999818969013,0.8933304383230718,0.8455837205235577,True,True,0.8478812104497696,3218.589803649078,7265.228603035237,184320,1.9751622060016218,0.5213222782989402,0.782816747052664,639.9965277777778,grid
rank_buffer,W_TRAIN,U8,VOLMATCH_HOLD,1.2877263581488934,0.5111348807707896,0.8203125,0.32712632369330535,0.54675115779283,-0.12164392727661277,-1.7037048726575754,1.6879556966243918,-0.4252615902347485,-2.085693961882814,1.4629667354339795,3.258699956198612,-15.292183855198314,32.956159957285486,4234.015724175766,6493.839471248018,60.04493388963205,56.78623393343344,639,0.0,14,1,0.851821879833053,0.8056474156283593,True,True,0.8084336054919685,0.8465522241767979,0.8008350924040234,True,True,0.8034828925020748,5873.5273751277455,6655.009186269079,184320,2.0044238683127573,0.5111376538700393,0.77656671314406,639.9965277777778,grid
