arm,window,universe,bench,kind,turnover_per_day,hold_days,mean_notional,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,gross_growth_diff,cand_final,bench_final,cand_dd,bench_dd,n_days,first_bar_warm,r63_published_turnover,r63_published_net,r63_published_gross,rebalances_per_day,implied_log_drag_total,gross_growth_lo,gross_growth_hi,p_a,p_mode,net_volmatch_c,net_volmatch_vol,net_volmatch_matched,net_cand_vol,gross_volmatch_c,gross_volmatch_vol,gross_volmatch_matched,gross_cand_vol,d1_pass,d2_pass,d5_pass,d4_pass,d3_pass
R63_BASELINE_k1,W_FULL6,U6,MATCHED_HOLD,substrate reproduction,3.441142127959111,0.3496028323583821,0.5248922928116057,-7.537190690349034,-11.96768019266653,-3.110886311309345,42.653966292347306,17.20190675083702,62.59104352189682,0.48042495884709724,1.4419127717368445,2716.9361266858327,99.92001112992408,57.26604483757677,2332,True,3.44,-7.537,0.48,,,,,,,,,,,,,,,,,,,
aim_gp,W_FULL6,U6,VOLMATCH_HOLD,D1/D2/D5 primary,0.19203125859487002,2.385672552030024,0.5248308371490006,0.5890409438898985,-2.057648858053135,3.182586005439815,-1.2235148009394834,-20.982126676427576,20.218860705326488,1.0170028648782246,5042.833118179541,2816.4140645144726,77.70332084024754,78.92683564118703,2332,True,,,,3.2555316705175703,0.4475868575980451,-1.6002562072670885,3.568513947063191,0.007308858316727723,gp,0.838183466286677,0.6828688869256296,True,0.6856577547206454,0.8380188492223904,0.6827774583436856,True,0.6854764043670781,False,False,True,,
aim_gp,W_FULL6,U6,MATCHED_HOLD,context,0.19203125859487002,2.385672552030024,0.5248308371490006,0.6226048587500628,-1.8089269026449009,3.1043568850588503,20.44263793398659,-3.9864722278688065,39.46341246624549,,5042.833118179541,2716.818637677671,77.70332084024754,57.26068290626095,2332,,,,,,,,,0.007308858316727723,gp,,,,,,,,,,,,,
aim_gp,W_FULL6,U6,EW_HOLD,context,0.19203125859487002,2.385672552030024,0.5248308371490006,1.249425493086051,-1.7925779217354336,4.485284767411012,-12.98255484602025,-29.866685616073738,8.35475117479277,,5042.833118179541,1456.938169497219,77.70332084024754,90.68587568626779,2332,,,,,,,,,0.007308858316727723,gp,,,,,,,,,,,,,
aim_gp,W_FULL6,U6,BTC_HOLD,context,0.19203125859487002,2.385672552030024,0.5248308371490006,-0.7093129683812638,-4.297287527452747,3.121583179304073,1.2360797544554316,-19.706862699382164,35.818866313003305,,5042.833118179541,9803.827594705079,77.70332084024754,76.46724108579211,2332,,,,,,,,,0.007308858316727723,gp,,,,,,,,,,,,,
aim_gp,W_FULL6,U6,EW_HOLD,D4 @0.40%,,,,,,,,,,,1322.7020127636813,1453.938169497219,,,,,,,,,,,,0.007308858316727723,gp,,,,,,,,,,,,False,
aim_gp,W_VAL,U8,VOLMATCH_HOLD,D3 inner-validation,0.1817630422893309,1.994535519125683,0.4284242034374163,0.26077732428650513,-0.5112748567360007,1.0815825227800857,-7.381044065995695,-29.087780005011037,18.888455880355572,0.330113180849033,606.0996487508659,477.0782908572255,48.04497007281704,55.42601413881273,364,True,,,,2.9232876712328766,0.06634351043560578,-0.4170774869107811,1.1253051762097186,0.007308858316727723,gp,0.7482990020142447,0.59368914358641,True,0.5939152574147707,0.7474612651219548,0.5937699713412626,True,0.5931957998262115,,,,,True
