check,k,buffer,hold_days,measured_set_period_days,measured_tenure_days,ev_forced_exit,ev_entry,ev_swap,ev_blocked_by_timer,ev_blocked_by_buffer,ev_flat_bars,raw_turnover_per_day,membership_changes_per_day,span_days,turnover_per_day,rebalances_per_day,n_rebalances,implied_log_drag_per_day,implied_log_drag_total,days,n_bars,first,last,bars_in_holdout,first_bar_warm
holding_period_response,1,0.0,1,0.9968847352024922,1.304082998661312,242,242,173,20245,0,54664,0.8147297733171588,1.0031304423309588,639.9965277777778,0.8147253531252485,1.046875,670,0.0008147253531252485,0.521424226000159,640.0,,,,,
holding_period_response,1,0.0,7,1.245136186770428,1.885694928377855,243,243,44,44846,0,54664,0.5484850141987213,0.8031293572556274,639.9965277777778,0.5484820384770739,0.846875,542,0.0005484820384770739,0.3510285046253273,640.0,,,,,
holding_period_response,1,0.0,30,1.316872427983539,2.0895538395538393,248,248,11,73306,0,54664,0.4888642854331351,0.7593791198953986,639.9965277777778,0.48886163317464293,0.803125,514,0.000488861633174643,0.31287144523177146,640.0,,,,,
holding_period_response,1,0.1,1,1.245136186770428,1.885694928377855,242,242,45,1154,24904,54664,0.5452813123366179,0.8031293572556274,639.9965277777778,0.5452783539961653,0.846875,542,0.0005452783539961653,0.34897814655754583,640.0,,,,,
holding_period_response,1,0.1,7,1.2774451097804391,1.9751622060016218,243,243,31,12253,26300,54664,0.5213222782989402,0.782816747052664,639.9965277777778,0.5213194499445667,0.8265625,529,0.0005213194499445668,0.3336444479645227,640.0,,,,,
holding_period_response,1,0.1,30,1.3195876288659794,2.097652885443583,247,247,11,38742,32429,54664,0.488614053576444,0.7578166114182476,639.9965277777778,0.48861140267554654,0.8015625,513,0.0004886114026755466,0.3127112977123498,640.0,,,,,
index_W_TRAIN,,,,,,,,,,,,,,,,,,,,,184320,2020-04-01 00:00:00+00:00,2021-12-31 23:55:00+00:00,0,True
index_W_VAL,,,,,,,,,,,,,,,,,,,,,105120,2022-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,0,True
