trial,market,strategy,return_pct,max_dd_pct,liquidated
1,spot,buy_and_hold,-12.573919431450165,26.970399505352425,False
1,spot,kelly_regime_v4,-15.176924727981788,19.06147480660208,False
1,spot,none x0.61,-13.230454718427232,22.939876441778615,False
1,spot,vote x1,-15.308476128716608,19.366256064596936,False
1,spot,evidence x7.83,-18.667471137547487,23.233770441756214,False
1,futures,buy_and_hold,-98.1954802135678,98.61101159776196,True
1,futures,kelly_regime_v4,-16.533953002904955,20.340132126896783,False
1,futures,none x0.48,-7.124847318570781,17.247352406370677,False
1,futures,vote x1,-14.02044536264685,17.343149527463954,False
1,futures,evidence x3.25,-18.045497844161396,28.179838067400816,False
2,spot,buy_and_hold,272.7129709010836,55.334450734740635,False
2,spot,kelly_regime_v4,232.9086619919741,24.917190817947894,False
2,spot,none x0.61,106.73008089688794,31.846731972096183,False
2,spot,vote x1,199.38983273066177,25.209689378449397,False
2,spot,evidence x7.83,146.4249077646234,37.48181622919778,False
2,futures,buy_and_hold,1361.7668348289837,63.75199213121617,False
2,futures,kelly_regime_v4,269.37731123839785,21.365962346314966,False
2,futures,none x0.48,96.90767458164531,21.59507875414512,False
2,futures,vote x1,251.11682657466622,24.427512241561203,False
2,futures,evidence x3.25,417.8877932123508,26.054134796357896,False
3,spot,buy_and_hold,49.13243774506333,31.54338786758614,False
3,spot,kelly_regime_v4,42.5057019681673,23.422286295316447,False
3,spot,none x0.61,16.651375426905712,27.63054443577344,False
3,spot,vote x1,36.97164456783957,22.31930845077408,False
3,spot,evidence x7.83,19.760956523811114,29.74227032983604,False
3,futures,buy_and_hold,-98.19548021356785,98.34113362493518,True
3,futures,kelly_regime_v4,48.866095056059834,23.901106592066085,False
3,futures,none x0.48,20.220535527430638,19.709174932697675,False
3,futures,vote x1,43.795224112330324,22.619585757088604,False
3,futures,evidence x3.25,11.46072964078555,28.22909150338016,False
4,spot,buy_and_hold,21.554496902480636,21.19939976302701,False
4,spot,kelly_regime_v4,20.278249276368697,13.962465779354824,False
4,spot,none x0.61,15.685789227280832,20.67115819244229,False
4,spot,vote x1,18.784493518006705,17.621966274589745,False
4,spot,evidence x7.83,12.197496891292815,13.43633012450957,False
4,futures,buy_and_hold,107.86003896508727,91.50839390179311,False
4,futures,kelly_regime_v4,24.910279924490595,17.000217657302784,False
4,futures,none x0.48,11.746734690521897,18.26055399248003,False
4,futures,vote x1,20.078061117270686,24.07436624285043,False
4,futures,evidence x3.25,8.560654486119024,12.841177876980304,False
5,spot,buy_and_hold,-20.47463812135273,50.780341890552094,False
5,spot,kelly_regime_v4,-11.422078875841567,20.60297190120694,False
5,spot,none x0.61,-17.657177508543864,27.83846830866682,False
5,spot,vote x1,-10.355586555879736,19.314693440152745,False
5,spot,evidence x7.83,-3.8915458933336033,5.31026092383437,False
5,futures,buy_and_hold,-98.19548021356782,98.35997392235075,True
5,futures,kelly_regime_v4,-11.82493119753194,22.494073430359478,False
5,futures,none x0.48,-8.88728141798123,18.30975426611216,False
5,futures,vote x1,-5.619889183227245,19.905844187398646,False
5,futures,evidence x3.25,-3.6278263523385923,4.581644102493492,False
6,spot,buy_and_hold,-11.393804425906339,52.3919058373149,False
6,spot,kelly_regime_v4,3.5946846594931525,27.82428648005782,False
6,spot,none x0.61,-3.8136102624502843,40.71218169907608,False
6,spot,vote x1,6.327899256501657,26.720316282334288,False
6,spot,evidence x7.83,-15.228107581373806,23.95859003085266,False
6,futures,buy_and_hold,-98.1954802135679,99.49461329314164,True
6,futures,kelly_regime_v4,6.5318637534641955,31.709747501087808,False
6,futures,none x0.48,-9.997264644240689,37.133867481051055,False
6,futures,vote x1,15.840864240721908,32.45055245446793,False
6,futures,evidence x3.25,-5.974117751686581,15.322325792178143,False
7,spot,buy_and_hold,135.1850336283186,32.54338689875929,False
