ts,open,high,low,close,volume,quote_volume,taker_buy_base
1754938800000,119773.92,119785.72,119644.0,119679.99,16.85297,2017515.9291867,6.94142
1754939100000,119679.99,119680.0,119608.18,119644.17,13.44369,1608420.617285,7.59893
1754939400000,119644.17,119728.0,119586.98,119586.98,17.86069,2136965.9979698,7.11537
1754939700000,119586.99,119592.01,119512.88,119548.96,22.06542,2638195.2328686,10.56002
1754940000000,119548.96,119601.92,119547.6,119591.96,15.00285,1794020.1716167,5.50628
1754940300000,119591.95,119591.95,119481.48,119481.48,22.57411,2698152.6885717,3.9673
1754940600000,119481.45,119484.17,119305.3,119315.36,49.38147,5894464.0978403,10.71366
1754940900000,119315.36,119315.36,119125.35,119256.34,221.36992,26390623.895446,48.04774
1754941200000,119256.34,119256.34,119136.88,119166.01,48.97969,5837111.7183999,16.56401
1754941500000,119166.01,119187.23,119064.59,119096.11,50.40081,6003219.3146184,18.72864
1754941800000,119096.11,119158.91,118604.17,118773.88,285.94089,33969964.3584804,95.43986
1754942100000,118773.87,119136.0,118708.44,119089.3,66.44834,7902006.6511051,41.5329
1754942400000,119089.3,119093.0,118700.0,118848.43,94.31654,11211441.7919171,47.19832
1754942700000,118848.43,118905.23,118780.6,118811.54,52.47802,6236332.3370322,29.14708
1754943000000,118811.54,118865.38,118646.33,118727.45,89.25512,10595148.2325641,49.48814
1754943300000,118727.45,118750.01,118565.69,118620.11,51.50653,6109819.6572886,26.5307
1754943600000,118620.1,118826.78,118620.1,118789.38,70.99918,8429055.8544374,52.59142
1754943900000,118789.38,118880.0,118782.17,118860.01,30.66405,3643807.094233,20.93032
1754944200000,118860.01,118958.61,118860.0,118899.89,39.929,4748058.8098599,22.52711
1754944500000,118899.88,118933.82,118873.5,118930.0,25.10485,2985022.1882168,14.92562
1754944800000,118930.0,119062.53,118930.0,119002.22,18.22706,2169088.9045421,12.94126
1754945100000,119002.22,119053.49,119002.22,119028.17,9.31599,1108923.062788,5.06466
1754945400000,119028.16,119028.17,118946.09,118946.1,27.07228,3221996.7710618,9.10691
1754945700000,118946.09,118946.1,118800.0,118824.34,44.15311,5247483.5961613,16.38649
1754946000000,118824.33,118847.51,118777.0,118835.12,35.20067,4182027.9110434,10.55359
1754946300000,118835.12,118856.89,118810.11,118825.16,22.32541,2652835.2983615,15.22548
1754946600000,118825.16,119070.0,118825.15,119069.99,49.89038,5935562.3199091,43.25265
1754946900000,119069.99,119172.63,118998.57,118998.57,43.44305,5174405.0334422,24.43163
1754947200000,118998.56,119057.61,118945.43,119051.92,21.69179,2581275.7017011,9.72941
1754947500000,119051.92,119051.92,119021.76,119021.77,11.3136,1346786.2558887,6.12203
1754947800000,119021.77,119021.77,118618.43,118618.44,80.88326,9605389.0323054,14.35851
1754948100000,118618.44,118712.4,118373.37,118660.06,126.07417,14941561.3353451,47.0957
1754948400000,118660.05,118754.8,118647.3,118710.37,28.48255,3380446.2642054,19.05242
1754948700000,118710.37,118710.38,118373.4,118428.97,59.16458,7013497.6530886,23.8699
1754949000000,118428.97,118448.0,118050.11,118447.99,240.51491,28452675.7056094,106.90658
1754949300000,118448.0,118728.0,118405.77,118712.61,128.52542,15240243.8968133,93.89366
1754949600000,118712.61,118749.96,118542.84,118593.27,75.07311,8909710.6726769,47.09488
1754949900000,118593.27,118601.22,118376.25,118455.82,71.7324,8494813.7920302,26.18259
