ts,open,high,low,close,volume,quote_volume,taker_buy_base
1754938800000,119748.0,119760.0,119600.0,119642.0,227.961,27279045.8474,123.221
1754939100000,119642.0,119642.1,119568.1,119605.5,158.198,18920647.5294,91.951
1754939400000,119605.6,119697.5,119550.0,119550.1,129.473,15487561.4241,52.27
1754939700000,119550.1,119561.2,119472.4,119507.9,166.468,19896842.1107,54.03
1754940000000,119507.8,119567.8,119506.2,119552.5,120.874,14449109.4798,57.721
1754940300000,119552.6,119552.6,119437.8,119437.9,187.07,22350593.7466,52.563
1754940600000,119437.8,119445.3,119280.0,119280.0,569.937,68014367.9808,271.973
1754940900000,119280.0,119283.7,119150.0,119223.0,930.519,110942021.2796,424.425
1754941200000,119223.0,119224.8,119120.1,119140.0,647.464,77148248.853,258.9
1754941500000,119140.0,119178.1,119014.5,119067.6,744.256,88628098.2795,297.554
1754941800000,119067.6,119138.1,118499.0,118725.8,4692.62,557118279.2505,1268.656
1754942100000,118725.7,119106.0,118653.6,119035.3,1055.987,125512684.9358,679.342
1754942400000,119035.2,119050.1,118650.8,118799.9,1050.551,124832336.2119,508.53
1754942700000,118799.9,118863.9,118728.3,118764.5,432.873,51417362.5107,246.516
1754943000000,118764.5,118819.9,118590.0,118682.5,746.306,88543200.5037,344.239
1754943300000,118682.5,118714.4,118527.4,118587.0,617.072,73181410.0062,255.772
1754943600000,118587.0,118781.1,118575.1,118741.7,470.716,55867550.2919,273.46
1754943900000,118741.7,118842.5,118735.2,118818.0,242.944,28859606.3643,182.59
1754944200000,118818.1,118925.3,118815.5,118855.7,473.979,56341982.8959,349.92
1754944500000,118855.6,118900.0,118826.4,118899.9,166.909,19839782.5522,94.244
1754944800000,118900.0,119039.2,118899.9,118959.4,302.0,35929632.4238,197.735
1754945100000,118959.4,119036.8,118959.4,118990.9,230.723,27455927.9462,122.217
1754945400000,118990.9,118992.8,118896.8,118902.6,180.367,21456660.0679,67.586
1754945700000,118902.6,118902.7,118757.3,118775.6,427.914,50845628.2062,135.755
1754946000000,118775.6,118800.2,118725.8,118789.0,254.999,30284506.6894,112.283
1754946300000,118789.0,118810.4,118760.0,118780.7,155.447,18464561.9861,91.225
1754946600000,118780.8,119032.0,118780.7,119015.5,275.55,32774571.4216,188.24
1754946900000,119015.6,119149.6,118950.0,118950.0,586.783,69873577.0661,397.157
1754947200000,118950.0,119024.6,118903.6,119009.8,227.49,27062164.556,144.556
1754947500000,119009.8,119017.4,118980.0,118980.0,102.887,12243494.2805,62.153
1754947800000,118980.0,118980.1,118563.8,118567.9,820.306,97387808.8725,230.709
1754948100000,118567.8,118671.8,118289.8,118610.1,1783.591,211278640.7899,541.501
1754948400000,118610.1,118727.4,118596.2,118668.6,360.71,42805843.4567,232.228
1754948700000,118668.6,118668.6,118331.5,118393.5,362.227,42923158.4004,136.022
1754949000000,118393.4,118424.1,118050.0,118424.1,2125.991,251331306.3803,638.09
1754949300000,118424.0,118690.0,118362.3,118671.3,783.462,92879345.6709,515.361
1754949600000,118671.3,118703.8,118493.3,118543.1,385.406,45708971.7553,176.395
1754949900000,118543.1,118554.0,118333.9,118411.0,517.746,61301690.2839,334.996
1754950200000,118410.9,118553.7,118410.9,118537.5,258.881,30678117.4363,180.66
1754950500000,118537.6,118705.1,118423.6,118423.7,325.371,38591518.7725,173.445
1754950800000,118423.6,118443.2,118230.7,118295.3,553.194,65457305.2901,238.399
1754951100000,118295.4,118518.3,118264.0,118492.1,324.571,38416815.9795,242.414
1754951400000,118492.1,118651.2,118296.6,118651.2,527.719,62520422.6535,241.895
1754951700000,118651.2,118685.9,118609.2,118661.8,232.091,27538509.3188,112.09
1754952000000,118661.8,118684.8,118592.3,118678.4,229.293,27202622.0295,113.028
1754952300000,118678.5,118750.0,118673.1,118748.2,207.492,24631931.7732,134.543
1754952600000,118748.2,118884.2,118748.2,118844.4,382.797,45488542.7911,224.661
1754952900000,118844.3,118861.2,118771.9,118845.5,177.209,21056020.2994,93.584
1754953200000,118845.6,118845.6,118701.0,118828.6,287.023,34093253.9099,131.39
1754953500000,118828.6,118828.7,118716.2,118780.8,191.76,22773503.8061,93.757
1754953800000,118780.7,118854.1,118739.7,118815.6,470.857,55942699.9931,303.112
1754954100000,118815.5,118820.4,118720.2,118760.3,149.747,17784412.3178,63.123
1754954400000,118760.3,118760.7,118711.3,118711.3,118.422,14061487.6107,40.494
1754954700000,118711.3,118733.1,118615.3,118638.2,220.335,26148420.9984,69.127
