market,test_groups,train_days,test_days,picked,picked_train_log,picked_test_log,hold_test_log,excess_vs_hold,best_possible_test_log,selection_shortfall,incumbent_test_log,incumbent_excess_vs_hold,hold_inert,rank_corr
spot,0+1,2708,702,kelly_regime_ev_fast,3.2288087784177213,0.9702390968823829,1.3669733703221592,-0.3967342734397763,1.4315058394571458,0.46126674257476297,1.0934982737022265,-0.27347509661993263,False,0.6897615592741918
spot,0+2,2508,702,kelly_regime_ev_fast,2.436920994998722,2.174932684475796,3.6522419710525815,-1.4773092865767854,3.6522419710525815,1.4773092865767854,2.3176812100585726,-1.3345607609940089,False,0.7561538461538462
spot,0+3,2508,702,kelly_regime_ev_fast,1.8896678101146285,1.7689206991209598,3.5382147972331706,-1.7692940981122107,3.5382147972331706,1.7692940981122107,2.09607253313591,-1.4421422640972605,False,0.7815384615384615
spot,0+4,2508,702,kelly_regime_ev_fast,2.066603498479346,2.1814248749058893,4.330228591696616,-2.148803716790727,4.330228591696616,2.148803716790727,2.4977599302934737,-1.8324686614031425,False,0.7300000000000001
spot,0+5,2508,702,kelly_regime_ev_fast,3.0802696635383557,1.3179720611243777,1.7817596345640236,-0.46378757343964594,1.7817596345640236,0.46378757343964594,1.3392240356017873,-0.4425355989622364,False,0.8053846153846154
spot,0+6,2508,702,kelly_regime_ev_fast,2.481124170891688,1.4974796828405244,3.2306162839327124,-1.733136601092188,3.2306162839327124,1.733136601092188,1.7597824591258981,-1.4708338248068142,False,0.7638461538461538
spot,0+7,2508,702,kelly_regime_ev_fast,2.124488872505115,1.9453974343966594,3.6934360346098534,-1.748038600213194,3.6934360346098534,1.748038600213194,2.2570287967238274,-1.436407237886026,False,0.7730769230769231
spot,0+8,2508,702,kelly_regime_ev_fast,2.9056996646505175,1.835691968869193,3.5958855270046715,-1.7601935581354784,3.5958855270046715,1.7601935581354784,2.0197558659381527,-1.5761296610665188,False,0.7338461538461539
spot,0+9,2608,702,kelly_regime_ev_fast,3.3288678281844573,1.1158387016117617,2.361019329828407,-1.2451806282166453,2.361019329828407,1.2451806282166453,1.3469731411871833,-1.0140461886412238,False,0.7215384615384615
spot,1+2,2608,702,buy_and_hold,3.465198650419272,-0.8290605976525215,-0.8290605976525215,0.0,0.5092276591094236,1.338288256761945,0.2796385117172061,1.1086991093697276,False,0.7246153846153846
spot,1+3,2408,702,kelly_regime_ev_fast,2.9094125321165984,0.10321567375458746,-0.9430877714719323,1.0463034452265199,0.18093113929866805,0.0777154655440806,0.0580298347945436,1.001117606266476,False,0.7346153846153847
spot,1+4,2408,702,kelly_regime_ev_fast,3.086348220481316,0.515719849539517,-0.15107397700848657,0.6667938265480036,0.5222378100425369,0.006517960503019893,0.45971723195210756,0.6107912089605941,False,0.7746153846153846
spot,1+5,2408,702,buy_and_hold,4.692606982961695,-2.6995429341410793,-2.6995429341410793,0.0,-0.03689080482747418,2.662652129313605,-0.6988186627395793,2.0007242714015,False,0.13999999999999999
spot,1+6,2408,702,kelly_regime_ev_fast,3.5008688928936573,-0.1682253425258481,-1.2506862847723907,1.0824609422465428,0.00720588703761511,0.1754312295634632,-0.27826023921546855,0.9724260455569222,False,0.41692307692307695
spot,1+7,2408,702,kelly_regime_ev_fast,3.144233594507085,0.2796924090302871,-0.7878665340952491,1.0675589431255361,0.28429113054727334,0.004598721516986259,0.21898609838246064,1.0068526324777096,False,0.7500000000000001
spot,1+8,2408,702,buy_and_hold,3.954198909946049,-0.8854170417004312,-0.8854170417004312,0.0,0.16998694350282056,1.0554039852032517,-0.01828683240321366,0.8671302092972175,False,0.6561538461538462
spot,1+9,2508,702,buy_and_hold,4.776837881238745,-2.120283238876696,-2.120283238876696,0.0,-0.04580627823227228,2.0744769606444238,-0.6910695571541834,1.4292136817225125,False,0.059230769230769226
spot,2+3,2608,702,kelly_regime_v4,2.2349827161755083,1.2822127711508895,1.3421808292584898,-0.05996805810760031,1.343219334876712,0.06100656372582258,1.2822127711508895,-0.05996805810760031,False,0.8282362145900011
spot,2+4,2408,702,buy_and_hold,2.680335798636319,2.1341946237219354,2.1341946237219354,0.0,2.1341946237219354,0.0,1.6839001683084533,-0.450294455413482,False,0.8613195004491465
spot,2+5,2408,702,buy_and_hold,4.345950022918446,-0.41427433341065734,-0.41427433341065734,0.0,0.8569606233514183,1.2712349567620755,0.5253642736167666,0.939638607027424,False,0.5497211103804513
spot,2+6,2408,702,buy_and_hold,3.0441471951273087,1.0345823159580312,1.0345823159580312,0.0,1.036468245067565,0.0018859291095338904,0.9459226971408774,-0.08865961881715378,False,0.8336218657763736
spot,2+7,2408,702,buy_and_hold,2.5806341939674207,1.4974020666351726,1.4974020666351726,0.0,1.4974020666351726,0.0,1.4431690347388066,-0.05423303189636597,False,0.7882285200626626
spot,2+8,2408,702,buy_and_hold,3.6075419499028003,1.3998515590299907,1.3998515590299907,0.0,1.3998515590299907,0.0,1.2058961039531322,-0.19395545507685852,False,0.8143873972536148
spot,2+9,2508,702,buy_and_hold,4.430180921195495,0.16498536185372603,0.16498536185372603,0.0,0.6548272638388023,0.48984190198507627,0.5331133792021626,0.3681280173484366,False,0.7412964168671305
spot,3+4,2608,702,kelly_regime_ev_fast,2.9964978748938087,1.3144014517780942,2.0201674499025244,-0.7057659981244302,2.0201674499025244,0.7057659981244302,1.4622914913857907,-0.5578759585167337,False,0.814645057461573
spot,3+5,2408,702,buy_and_hold,3.17749022922949,-0.528301507230068,-0.528301507230068,0.0,0.4509486379965823,0.9792501452266502,0.30375559669410435,0.8320571039241723,False,0.4323707447832947
spot,3+6,2408,702,kelly_regime_v4,2.403136588500668,0.724314020218215,0.9205551421386204,-0.19624112192040544,0.9205551421386204,0.19624112192040544,0.724314020218215,-0.19624112192040544,False,0.7514464815752449
spot,3+7,2408,702,kelly_regime_ev_fast,1.9379566209639234,1.078374011268864,1.3833748928157616,-0.30500088154689764,1.3833748928157616,0.30500088154689764,1.2215603578161442,-0.1618145349996174,False,0.7159936219316947
spot,3+8,2408,702,kelly_regime_ev_fast,2.719167413109326,0.9686685457413977,1.2858243852105797,-0.317155839469182,1.2858243852105797,0.317155839469182,0.9842874270304698,-0.30153695818010995,False,0.712140050231309
spot,3+9,2508,702,buy_and_hold,3.2617211275065388,0.05095818803431501,0.05095818803431501,0.0,0.38416037120309277,0.33320218316877775,0.3115047022795003,0.26054651424518527,False,0.615030043381585
spot,4+5,2608,702,buy_and_hold,3.4979166883038113,0.26371228723337703,0.26371228723337703,0.0,0.8634528137815118,0.5997405265481348,0.7054429938516682,0.44173070661829117,False,0.7212408971510943
