period,market,above,below,d_log_growth,lo,hi,p_positive,distinguishable
full,spot,kelly_regime_ev_fast,kelly_regime_v4,0.06250835763986373,-1.1006266501104007,1.115696038518639,0.556,False
full,spot,kelly_regime_v4,kelly_regime_v3,0.014318073321790692,-0.36712726047756666,0.3994217585120822,0.5385,False
full,spot,kelly_regime_v3,buy_and_hold,0.03002250013572283,-2.5439841628446485,2.8075637342275943,0.525,False
full,spot,buy_and_hold,kelly_regime_v2,0.31947756345512257,-2.6227060333642163,3.147267259233357,0.573,False
full,spot,kelly_regime_v2,kelly_regime,0.09783506207491044,-0.17851918608081674,0.38665723336504476,0.756,False
full,spot,kelly_regime,kelly_regime_ev,0.029733926361544594,-0.7417494059747506,0.7970665092245937,0.532,False
full,spot,kelly_regime_ev,champions_council,0.7490104700720184,-0.03270787694296333,1.5231958414850757,0.969,False
full,spot,champions_council,hedge_experts,0.37520879663700013,-0.7670942385164518,1.4742946099238603,0.7645,False
full,spot,hedge_experts,replicator_book,1.7402426195327922,-0.0717573300056353,3.684544287457275,0.97,False
full,spot,replicator_book,universal_kelly,0.602029262811407,-0.48624319996586174,1.718473331708505,0.847,False
full,spot,universal_kelly,harsanyi_crowd,0.3624217856787447,0.1197231136350927,0.6343103738361536,0.9995,True
full,spot,harsanyi_crowd,overshoot_fade,0.2943620087196456,0.004213873011007853,0.5959371841794309,0.976,True
full,spot,overshoot_fade,camouflage_flow,0.18916570337944294,-0.3052417058345061,0.7003081567678335,0.7635,False
full,spot,camouflage_flow,stealth_trend,0.16453684193000984,-0.8598752904530192,1.2934568841560468,0.621,False
full,spot,stealth_trend,flow_regime,0.03912973569429634,-0.9061465286531561,0.9235896521462409,0.511,False
full,spot,flow_regime,game_council,0.4528889414163707,-0.08741502266948188,1.030723250781757,0.9475,False
full,spot,game_council,minority_oracle,1.6719404778924984,0.6094415736804902,2.810458834366525,0.9995,True
full,spot,minority_oracle,game_switch,2.3667789088687607,-0.7396639905093905,6.133387676506264,0.926,False
full,spot,game_switch,regret_grid,0.0005160277120657142,-3.670938334894148,3.6598814805278583,0.4965,False
full,spot,regret_grid,tft_trend,0.0014776756944607783,-2.4924526131822407,2.1576993018061086,0.53,False
full,spot,tft_trend,macd_rsi,0.006006140952042216,-1.8707552845939028,1.9826954763139562,0.476,False
full,spot,macd_rsi,macd_cross,0.0026343331580873652,-3.264315610790504,3.3836201248198305,0.4925,False
full,spot,macd_cross,attrition_reversion,0.002157543177119692,-4.1374824229449425,4.061115050972694,0.5115,False
full,spot,attrition_reversion,rsi_reversion,0.018255636863259816,-3.9670171084998547,3.5528360103145205,0.5205,False
