period,market,strategy,days,sharpe,skewness,kurt,psr_vs_zero,n_trials,sd_narrow,sd_table,sr_star_narrow,sr_star_table,dsr_narrow,dsr_table,breakeven_sd,min_track_record_days
full,spot,attrition_reversion,3510,-2.101940550051005,-4.783382333146614,47.30630959689548,5.551115123125783e-17,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.0,0.0,0.0,inf
full,spot,buy_and_hold,3510,0.9734995450249135,0.06410089442014509,7.776408848460763,0.9987180322829405,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.8657197650133075,0.0,0.16010874768524003,7756.795143025516
full,spot,camouflage_flow,3510,-0.7606683369870851,5.77813216463755,102.1168726966345,0.01821407426718219,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,7.614855106236051e-05,0.0,0.0,inf
full,spot,champions_council,3510,1.2273106400863423,1.139753647395551,15.07051875369616,0.9999558875005644,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.9745216723576491,0.0,0.2577677233883662,2492.996329268669
full,spot,flow_regime,3510,-0.7608545794331665,4.406505082711433,107.87039088610159,0.016296943733324687,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,5.481784944155743e-05,0.0,0.0,inf
full,spot,game_council,3510,-2.8203053883024896,0.5495417703516751,47.168799479385434,1.8263168755083825e-14,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.0,0.0,0.0,inf
full,spot,game_switch,3510,-5.004389527852622,-3.6999119471422217,34.96187811732617,0.0,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.0,0.0,0.0,inf
full,spot,harsanyi_crowd,3510,-1.0524132181948094,-5.396285571360875,172.13559539484726,0.00017514730712742121,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,7.197545170978259e-09,0.0,0.0,inf
full,spot,hedge_experts,3510,0.905988550139951,1.0766837916614935,17.803722767838185,0.9979374972838347,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.8204373488377243,0.0,0.13982722716110102,11290.322245560694
full,spot,kelly_regime,3510,1.307852303077368,0.7278582478606416,12.303928718621467,0.9999818590581975,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.9855061115710747,0.0,0.2847332644543742,1991.9976211935807
full,spot,kelly_regime_ev,3510,1.3423489710891128,0.8760875592558273,17.93796821895911,0.9999892098141852,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.9892032695150245,0.0,0.2976128962733696,1799.655778390597
full,spot,kelly_regime_ev_fast,3510,1.5545120201223495,1.118514015966633,17.682277303301,0.9999996798303881,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.9986706256826989,0.0,0.3766179319330031,1052.5894332879552
full,spot,kelly_regime_v2,3510,1.3822440287698232,0.7363670099616592,14.11641122069349,0.9999936093532374,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.992196507030052,0.0,0.3116029369470792,1624.8013649355967
full,spot,kelly_regime_v3,3510,1.433470818871579,1.1209254320707396,16.48874366138259,0.9999977656120471,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.9955448485555292,0.0,0.33271549785991616,1388.8297925200598
full,spot,kelly_regime_v4,3510,1.439582578849263,1.1135706324365902,16.96065204560942,0.999997940432888,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.9957753009872438,0.0,0.33482261616765163,1369.8322227162548
full,spot,macd_cross,3510,-2.3014131365283133,-2.719107600342578,41.956594635270626,1.7208456881689926e-15,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.0,0.0,0.0,inf
full,spot,macd_rsi,3510,-3.055832773681857,-2.4604328341057466,34.02471109802659,0.0,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.0,0.0,0.0,inf
full,spot,minority_oracle,3510,-8.787146897414667,-2.7049066548624805,11.738244397170181,0.0,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.0,0.0,0.0,inf
full,spot,overshoot_fade,3510,-1.048351505020558,-7.6873941206854175,160.5676334324352,5.045958380073268e-05,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,3.3203234606205e-10,0.0,0.0,inf
full,spot,regret_grid,3510,-5.065051456510343,-3.2840664660524626,30.41328409573573,0.0,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.0,0.0,0.0,inf
full,spot,replicator_book,3510,0.5285561145255155,1.8085647301517993,31.732424542091994,0.9530994986447348,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.39038296380702175,0.0,0.0035179890519460803,inf
full,spot,rsi_reversion,3510,-1.6295218974552008,-2.1882245908347278,22.043941156201914,2.213104322024151e-08,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,2.298161660974074e-14,0.0,0.0,inf
full,spot,stealth_trend,3510,-0.34588204585394156,2.5162690264124414,33.61331326995456,0.14751992813190484,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.0017894863553084006,0.0,0.0,inf
full,spot,tft_trend,3510,-3.1231610435172565,0.6632916057608109,43.054426783195005,1.1102230246251565e-16,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.0,0.0,0.0,inf
full,spot,universal_kelly,3510,0.6969820676176753,-0.05138818689185555,49.344198689249566,0.9838706501182182,199,0.223,2.5955899633142843,0.6163463473816284,7.173912077081498,0.5978244826063202,0.0,0.05845513917060226,154710.02194079774
full,futures,attrition_reversion,3510,-0.6977806513385254,5.465905199315197,258.7501667048738,0.02822199203912501,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.00016372337968578732,0.0,0.0,inf
full,futures,buy_and_hold,3510,-0.2960359250853078,-29.686269277258493,1450.2949195969793,0.12328783337780935,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.00017772017526396233,0.0,0.0,inf
full,futures,camouflage_flow,3510,-0.982400541413509,2.4599690965317507,82.90806488744788,0.002535622389141512,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,2.549033191079353e-06,0.0,0.0,inf
full,futures,champions_council,3510,1.3708420197736104,1.3510028856975773,20.996755337457692,0.9999948024874485,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.9923783561612372,0.0,0.31093958367714636,1613.3546229715796
full,futures,flow_regime,3510,-1.307100437762545,-3.0919864648470425,126.07292160668165,1.392736121003102e-05,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,3.496906098021668e-10,0.0,0.0,inf
full,futures,game_council,3510,-2.137014603038438,-1.3774109365555174,100.29223398033263,3.644233248500939e-10,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,1.0547118733938987e-15,0.0,0.0,inf
full,futures,game_switch,3510,-1.7732155098835345,-0.21508516216071435,109.34467241708032,3.0210973467337254e-07,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,8.823497488208432e-12,0.0,0.0,inf
full,futures,harsanyi_crowd,3510,-0.963566855923574,-2.71996379336444,107.59150528510492,0.0009808643337042566,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,1.9242448778822308e-07,0.0,0.0,inf
full,futures,hedge_experts,3510,0.8398351803192268,1.5361600725259434,15.845289277601902,0.9963775687747201,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.7625736971396461,0.0,0.11773890163208661,18592.08347602715
full,futures,kelly_regime,3510,1.4248738452254728,1.0023320942765888,14.583910486281898,0.9999972558652571,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.9950473800150174,0.0,0.32896781267534747,1428.2327936978759
full,futures,kelly_regime_ev,3510,1.5448324731478962,1.5293603418200634,23.171480797340283,0.9999997311157576,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.9987046510016813,0.0,0.3755139101416801,1047.0964610574915
full,futures,kelly_regime_ev_fast,3510,1.4607993589566306,0.9861891178723161,15.76960382219899,0.9999983782157935,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.996436012584831,0.0,0.34176402536485495,1312.2131077513945
full,futures,kelly_regime_v2,3510,1.4918628072301068,1.1054227648931394,16.152628992167074,0.9999991127045001,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.9974743881606889,0.0,0.3539330889056471,1208.7016711540791
full,futures,kelly_regime_v3,3510,1.5702761917415937,1.4119535387568212,18.686827433915436,0.9999998222916178,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.9990092379365288,0.0,0.3845946716298789,993.3880414123582
full,futures,kelly_regime_v4,3510,1.5919477385024596,1.5487604980923297,21.26356529466823,0.999999891149709,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.9992550968086343,0.0,0.3932103070818107,941.7969665297593
full,futures,macd_cross,3510,-1.1927857255947478,-4.30018610277462,189.08179334745867,5.543785997313977e-05,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,2.2747048133986425e-09,0.0,0.0,inf
full,futures,macd_rsi,3510,-1.304583201554706,-0.24129677014343912,100.7145363006575,5.763564297273094e-05,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,6.825402520949098e-09,0.0,0.0,inf
full,futures,minority_oracle,3510,-4.994275273833706,-3.849282319575359,24.20964047964635,0.0,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.0,0.0,0.0,inf
full,futures,overshoot_fade,3510,-1.213986407089154,-4.291523522651727,88.8163992355421,1.5531401273194412e-05,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,1.6886181342101736e-10,0.0,0.0,inf
full,futures,regret_grid,3510,-2.233934374207674,-13.676803750184874,288.67862452432126,0.0,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.0,0.0,0.0,inf
full,futures,replicator_book,3510,0.2484138469647967,1.0283265269477746,13.318694406209298,0.780818684636259,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.12552226818565232,0.0,0.0,inf
full,futures,rsi_reversion,3510,0.11459996533669778,1.1526575947300435,43.31391861291635,0.6392191292517468,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.059346350605333886,0.0,0.0,inf
full,futures,stealth_trend,3510,-1.1733418155219981,-8.075725425434316,202.73473541876362,6.366306590288584e-06,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,1.3939127629924997e-11,0.0,0.0,inf
full,futures,tft_trend,3510,-1.4634949439216687,-5.836548360848472,246.86719678955674,1.0370268515025316e-06,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,7.658484957318024e-12,0.0,0.0,inf
full,futures,universal_kelly,3510,0.5223560838103437,-0.21653545426882997,36.644900961002534,0.9461891976726151,199,0.223,1.6201380669962024,0.6163463473816284,4.477875245950859,0.38609500615244075,0.0,0.0,inf
holdout,spot,attrition_reversion,1319,-6.145887164762449,-1.9788084934950014,15.18586566718908,0.0,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.0,0.0,0.0,inf
holdout,spot,buy_and_hold,1319,1.0285304181735535,0.44024821006611026,6.730006666347766,0.9757622063768288,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.7854553438224655,0.0,0.06192002451039247,5703.830058486167
holdout,spot,camouflage_flow,1319,-3.0535621418071854,0.2604021099880705,38.47910689205645,1.4844669044000725e-07,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,3.6384717461146465e-10,0.0,0.0,inf
holdout,spot,champions_council,1319,0.9490159051287532,1.3183179195594827,10.155914465021311,0.9685019052282636,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.7427134126314784,0.0,0.03958918074502236,8396.179217003237
holdout,spot,flow_regime,1319,-1.7107305485623099,0.1508061734728003,23.451631877703882,0.0007924533686990975,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,8.668600431249729e-06,0.0,0.0,inf
holdout,spot,game_council,1319,-2.6979065880484305,0.9486045842961889,31.066489675414125,3.0438539890820238e-06,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,1.3747032179267649e-08,0.0,0.0,inf
holdout,spot,game_switch,1319,-9.317216182868398,-3.1230733572054565,17.262096366820195,0.0,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.0,0.0,0.0,inf
holdout,spot,harsanyi_crowd,1319,-1.4305484410694125,-1.3103255348150975,71.29325029137138,0.0032942725978052367,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,5.06314995039614e-05,0.0,0.0,inf
holdout,spot,hedge_experts,1319,0.413592419853952,1.4671808998470488,9.932752055613417,0.7875670871794798,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.34782299820317486,0.0,0.0,inf
holdout,spot,kelly_regime,1319,1.0594395293502774,0.9916946959412486,8.773481684283288,0.9804774689299738,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.8059624696873305,0.0,0.07779900621934221,4787.676681107962
holdout,spot,kelly_regime_ev,1319,1.1265385506340329,1.0906379471872871,9.77759927618087,0.9862135031430322,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.8408227572180368,0.0,0.10330920574400414,3582.3245545799628
holdout,spot,kelly_regime_ev_fast,1319,1.14274926238437,0.8751439838881503,8.433490646137308,0.9868623864871334,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.846990372114722,0.0,0.1074087073878031,3404.3013680783392
holdout,spot,kelly_regime_v2,1319,1.101058587181349,1.0430964576307369,9.780608171101917,0.9841862999698503,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.8279460851907832,0.0,0.09346928472126013,3984.953693789403
holdout,spot,kelly_regime_v3,1319,1.1008747414017828,1.0710501063092508,9.186509459442505,0.9842662481152219,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.8281217226936968,0.0,0.09374021592427978,3979.1573735001825
holdout,spot,kelly_regime_v4,1319,1.2083874285286549,1.125216626946603,9.411321973192683,0.9911308892343627,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.8773159550947027,0.0,0.13390429160096012,2643.4191847507254
holdout,spot,macd_cross,1319,-6.685988809370584,-1.886035827421203,10.154709471625214,0.0,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.0,0.0,0.0,inf
holdout,spot,macd_rsi,1319,-8.827210359821018,-1.2515742676011512,7.744743119048146,0.0,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.0,0.0,0.0,inf
holdout,spot,minority_oracle,1319,-5.5298349680608885,-4.601490919254093,27.107969772326744,0.0,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.0,0.0,0.0,inf
holdout,spot,overshoot_fade,1319,-0.9968262399114265,-5.210534542284604,85.15327023934606,0.016315997019714146,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.0002724549276654775,0.0,0.0,inf
holdout,spot,regret_grid,1319,-10.078534893804415,-0.9662063901794405,5.778636415706243,0.0,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.0,0.0,0.0,inf
holdout,spot,replicator_book,1319,-0.03420660628488082,2.0086036047009683,15.433434379822991,0.4741419095698978,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.10868175667165347,0.0,0.0,inf
holdout,spot,rsi_reversion,1319,-5.2015504834137545,-1.6607283764236833,8.593925141778465,0.0,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.0,0.0,0.0,inf
holdout,spot,stealth_trend,1319,-0.5240692838281619,3.1683637738795905,28.600180835700964,0.17038780732667586,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.019085880473571126,0.0,0.0,inf
holdout,spot,tft_trend,1319,-6.7934607077053295,0.8813986428815098,16.2672993298236,0.0,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.0,0.0,0.0,inf
holdout,spot,universal_kelly,1319,0.05060374422798076,-0.15281937108291924,36.064167796808725,0.5382812406202423,199,0.223,3.7741547363483487,0.6163463473816284,10.431329534535326,0.14131380247314862,0.0,0.0,inf
holdout,futures,attrition_reversion,1319,-1.8071283081100042,-4.70964361491942,48.396490370065976,1.2024075378591625e-05,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,7.391899814468417e-09,0.0,0.0,inf
holdout,futures,buy_and_hold,1319,1.3746624707989286,1.9409379885219658,19.859483294905417,0.9972494943198168,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.9371670946248337,0.0,0.2026773220347975,1521.4835361707114
holdout,futures,camouflage_flow,1319,-2.015711566810909,1.4979100494372153,25.022937733930075,0.0002702218437906634,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,3.124370264451226e-06,0.0,0.0,inf
holdout,futures,champions_council,1319,1.1051139027894776,1.3091067517176875,10.779822713759494,0.9851457604064133,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.8318477422101028,0.0,0.09731408703464182,3858.251696797015
holdout,futures,flow_regime,1319,-1.234447499036126,1.6100644779369184,20.74886337403717,0.01350940796905159,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.00045772882619588007,0.0,0.0,inf
holdout,futures,game_council,1319,-3.073304593078272,0.1716687989493155,21.06038354706197,2.868160731139824e-08,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,3.6302738593008144e-11,0.0,0.0,inf
holdout,futures,game_switch,1319,-8.178709963624794,-3.6194842882032776,20.922301353965914,0.0,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.0,0.0,0.0,inf
holdout,futures,harsanyi_crowd,1319,-1.4106874307874842,1.5780775612098068,40.968230998799534,0.006634874801940138,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.00018653490997599942,0.0,0.0,inf
holdout,futures,hedge_experts,1319,0.5117521748345566,1.7314212990633144,10.838387018883639,0.8400239821306759,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.4194612798637908,0.0,0.0,inf
holdout,futures,kelly_regime,1319,1.1712508376141444,1.1080095289772158,9.996681555444288,0.9891092615985303,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.8614605417087791,0.0,0.11993736960555103,3019.4707169402905
holdout,futures,kelly_regime_ev,1319,1.3129251757471332,1.3058832560746445,11.817612764864762,0.9952829586222471,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.9157860009967383,0.0,0.17403499442723497,1880.8800454070565
holdout,futures,kelly_regime_ev_fast,1319,1.2768485276734405,1.2231699989242006,10.295910858322555,0.9940812850310428,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.9035413773906282,0.0,0.1600702393528987,2104.534464690841
holdout,futures,kelly_regime_v2,1319,1.15297616709657,1.109576269375938,11.062258340944691,0.9879758343338312,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.8531814251462773,0.0,0.11305531992738756,3234.2973872228604
holdout,futures,kelly_regime_v3,1319,1.2662507941100487,1.2523972266709535,11.1418029376654,0.993732914766364,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.8999826899617218,0.0,0.156317383880267,2172.523834567379
holdout,futures,kelly_regime_v4,1319,1.3316214670516069,1.3672048112222668,11.670701954687297,0.9958615096035597,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.9219578439251779,0.0,0.18167506440865622,1773.5320086349695
holdout,futures,macd_cross,1319,-3.344482019328542,-5.914058656813163,45.290370435033594,0.0,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.0,0.0,0.0,inf
holdout,futures,macd_rsi,1319,-3.804316914664267,-3.5529406622912365,33.458194501899186,0.0,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.0,0.0,0.0,inf
holdout,futures,minority_oracle,1319,-6.137895962582973,-3.704254346593769,17.721584297231864,0.0,199,0.223,2.5225506467332313,0.6163463473816284,6.972039808068124,0.0,0.0,0.0,inf
