asset,cand_final,hold_final
BCH,624.6563337777185,971.0535939849624
LTC,339.49453517430874,1189.5782641509434
ETC,1009.7012289368952,1316.3963358284445
DASH,977.9837257427896,486.5831274583672
LINK,1161.010326526747,4616.46264177142
XTZ,491.9852652846136,132.495881327647
