max_fade,counter_frac,window,sharpe,dd,final
0.5,0.0,inner-train,1.7321498978714838,43.25156594775851,10145.942449321386
0.5,0.0,inner-validation,0.030598087539273983,33.21256622496099,934.0296749937796
0.5,0.3,inner-train,1.7322535641125805,43.25254456969199,10137.410259422548
0.5,0.3,inner-validation,0.04543475191786815,33.212262396484796,942.1884195585998
0.5,0.6,inner-train,1.7361137739250994,43.25352318319094,10152.626542978473
0.5,0.6,inner-validation,0.043200856134977844,33.21195856800863,940.9879266938822
1.0,0.0,inner-train,1.7345484513218796,43.24830381373224,10125.080338376853
1.0,0.0,inner-validation,0.02625467745872342,33.21155346337362,931.8111697436851
1.0,0.3,inner-train,1.73491685358625,43.250261105393825,10097.237035407381
1.0,0.3,inner-validation,0.03373473237703677,33.21094580642138,936.5312345566338
1.0,0.6,inner-train,1.7339668452796513,43.25221836331795,10059.641342574469
1.0,0.6,inner-validation,0.027933918438787217,33.21033814946896,933.7382602858785
