asset,theta_per_day,halflife_days,n_daily_obs,ratio_raw,ratio_clamped,clamp,horizon_short,horizon_mid,horizon_long
BTC,0.003950886634653152,175.44091862326914,1005,1.0,1.0,-,20.0,40.0,80.0
ETH,0.004117345086827205,168.3480898352582,1005,0.9595714110273121,0.9595714110273121,-,19.191,38.383,76.766
BCH,0.0022793763790949473,304.0950967628994,1005,1.7333191090722353,1.4,CEILING,28.0,56.0,112.0
LTC,0.005027388000010882,137.87421630445968,1005,0.7858726310053252,0.9,FLOOR,18.0,36.0,72.0
ETC,0.003938521297633443,175.9917309515223,1005,1.0031395887149677,1.0031395887149677,-,20.063,40.126,80.251
DASH,0.004167384981256084,166.32664936826285,1005,0.948049352873159,0.948049352873159,-,18.961,37.922,75.844
LINK,0.006900950987982991,100.44226973455702,1005,0.5725133596127621,0.9,FLOOR,18.0,36.0,72.0
XTZ,0.004438610485253671,156.16310168751633,1005,0.8901178978824844,0.9,FLOOR,18.0,36.0,72.0
