asset,reference_notional,target_vol,achieved_notional,resid,valid
BTC,0.38030912241498144,0.55,0.38030912241498144,0.0,True
ETH,0.38030912241498144,0.6135250476476805,0.37698483000444594,0.008741027271252613,True
BCH,0.38030912241498144,0.9363857768611704,0.3729530761298194,0.0193422819795927,True
LTC,0.38030912241498144,0.7944824332579004,0.37550912347578724,0.012621308972853367,True
ETC,0.38030912241498144,1.2232462586198143,0.3753437496310571,0.01305614956694696,True
DASH,0.38030912241498144,1.1246281866479624,0.3786356223857918,0.004400367833836955,True
LINK,0.38030912241498144,0.9326695395564902,0.37460237435004834,0.01500555134911035,True
XTZ,0.38030912241498144,1.2146984579721924,0.37843279108530975,0.004933700558526949,True
