asset,window,market,fee,cand_final,cand_dd,cand_sharpe,cand_trades,cand_liq,hold_final,hold_dd,hold_sharpe,hold_liq,c_mean_notional,mh_final,mh_dd,mh_sharpe,dd_matched_diff,dd_matched_lo,dd_matched_hi,growth_matched_diff,growth_matched_lo,growth_matched_hi
BCH,TRAIN,spot,0.001,1240.2311803836,50.89308114780202,0.39672535605607556,74,False,439.52458168147643,94.65593623397166,0.30262195904623707,False,0.253777123004494,1100.0581802760885,43.32059668407967,0.26450693324172486,7.6602410705324075,-10.51143982533813,36.5815468769597,0.125251105011915,-0.6641409592235239,1.046257936491483
LTC,TRAIN,spot,0.001,1649.4353319952547,42.917721766108805,0.633155100499764,82,False,1728.0010000000002,90.16133659020439,0.7493473171696438,False,0.2854227876940008,1601.826733160872,40.76566224670546,0.6869471163086018,1.6572253004246917,-10.00737850072975,25.877833338931406,0.029803287545320578,-0.5840987277535136,0.7017340501061006
ETC,TRAIN,spot,0.001,4329.891690684982,48.49319747201022,1.291019690264777,80,False,3146.7600532065553,92.29027173768806,1.029851732845664,False,0.2503673908433929,2243.4761530487717,33.95870967954878,0.9850998340110384,17.254002299450526,0.13325399091294965,41.231999682107045,0.6654705091274058,-0.639013287333229,2.2275047308861926
DASH,TRAIN,spot,0.001,1172.4856661883769,55.40321475949245,0.36164531035805797,98,False,643.1841531683913,93.46913482036393,0.5087850677311042,False,0.24818849372230298,1280.7306288880216,37.39689065887751,0.46335285744750443,17.94109760175158,-2.516472546875298,40.759273917427016,-0.08516272621903881,-0.8861403661900978,0.8396473020279422
LINK,TRAIN,spot,0.001,1567.2231463557207,52.95433254631992,0.573254994663877,104,False,2393.3345086519753,89.88559542123234,0.9095477145472113,False,0.31555334785638156,2143.691930132399,41.492431766182364,0.8655279824502029,14.629682376860494,-9.50763557973908,36.638079682819466,-0.31398664541936494,-1.272929925585699,0.6963806139972728
XTZ,TRAIN,spot,0.001,761.4914686281788,52.94975537485491,0.067232526407701,94,False,445.81223678842935,92.26933220494669,0.4667598375059102,False,0.256555853645839,1186.3352253654068,40.883181085593286,0.35275591739326595,11.98875765255638,0.7993430648807608,42.296707991704665,-0.4445337686325448,-1.1903588947762949,0.33360769857785805
