strategy,market,start_balance,final_balance,profit,profit_pct,num_trades,win_rate_pct,best_trade,worst_trade,avg_trade,max_drawdown_pct,sharpe,time_in_market_pct,fees_paid,liquidated,data
kelly_regime_v3,futures_5x,1000.0,139509.47399289,138509.47399289,13850.947399289002,147,14.383561643835616,50908.64907562252,-9151.819590723435,942.2413196795248,41.84205617328294,1.5470463634895715,66.51135782464742,8395.6631431502,False,spot (perp proxy)
kelly_regime_v2,futures_5x,1000.0,121993.05056222556,120993.05056222556,12099.305056222556,113,15.178571428571429,44738.48473801069,-9231.695641527489,1070.7349607276597,39.578537036398245,1.486175025219447,67.2744485299573,8221.84260001243,False,spot (perp proxy)
kelly_regime,futures_5x,1000.0,108221.2926775693,107221.2926775693,10722.12926775693,143,14.084507042253522,44942.84584292319,-6782.096875933188,749.7992494934907,42.57206363185054,1.4216300944913387,66.3291419730554,7999.896866450591,False,spot (perp proxy)
champions_council,futures_5x,1000.0,36773.47271329242,35773.47271329242,3577.347271329242,261,22.307692307692307,18569.467240942922,-2069.8942474007526,137.0631138440325,37.16183660234001,1.3685299537564024,97.05477060290497,2052.3042413846274,False,spot (perp proxy)
universal_kelly,futures_5x,1000.0,1226.536088892151,226.53608889215093,22.653608889215082,20,50.0,129.14699887370463,-15.248758785639822,11.32680444460753,8.990681300928651,0.45983666922862904,29.99676522348151,1.1813124800492594,False,spot (perp proxy)
harsanyi_crowd,futures_5x,1000.0,428.67349394065064,-571.3265060593494,-57.132650605934934,178,28.651685393258425,34.037247599771014,-73.41857047265944,-3.209699472243544,57.73291773185052,-0.8643383011409514,0.17707186446781,308.03826089915924,False,spot (perp proxy)
hedge_experts,futures_5x,1000.0,257.534332680713,-742.4656673192869,-74.2465667319287,4103,11.3603120429059,52984.055176284,-15872.071001084028,-0.18095677975121094,99.92026430828102,0.9599506338151134,99.6068806763156,52057.060586258915,False,spot (perp proxy)
overshoot_fade,futures_5x,1000.0,33.51737483961804,-966.482625160382,-96.6482625160382,341,57.18475073313783,71.14137505508961,-115.20665479849296,-2.834259897831032,97.03944070069149,-1.156929391088755,0.3286216389732206,309.0669178764071,False,spot (perp proxy)
buy_and_hold,futures_5x,1000.0,18.045197864321608,-981.9548021356784,-98.19548021356785,1,0.0,-981.9548021356784,-981.9548021356784,-981.9548021356784,99.04920966351584,-0.18776374632148046,0.3113101438436861,4.498771984924623,True,spot (perp proxy)
replicator_book,futures_5x,1000.0,10.584485157273061,-989.4155148427269,-98.9415514842727,1427,24.403927068723704,1847.0293544066371,-680.7211029697743,-0.6933535492941328,99.8052161081272,0.3262863094070012,99.63141353798488,2214.5792729193095,False,spot (perp proxy)
minority_oracle,futures_5x,1000.0,3.830200284525583,-996.1697997154744,-99.61697997154744,7065,25.43524416135881,11.189758304312367,-10.11686850615617,-0.14100067936524727,99.61697997154744,-8.287728750212493,0.9322487434327607,1180.0545087840867,False,spot (perp proxy)
game_council,futures_5x,1000.0,1.9991133643720946,-998.0008866356279,-99.80008866356279,2494,33.76102646351243,17.629059491340108,-55.753234447436185,-0.4001607404312866,99.8025810932929,-1.6636524408709907,2.53618349789146,297.0355390038537,False,spot (perp proxy)
macd_cross,futures_5x,1000.0,1.0014111310917533,-998.9985888689082,-99.89985888689083,1464,27.595628415300546,565.9655734019236,-258.572189769073,-0.6823760852929697,99.94738928991617,-1.0782799124242968,1.7743787893626304,1086.0840542568858,False,spot (perp proxy)
game_switch,futures_5x,1000.0,1.0009953163829861,-998.999004683617,-99.89990046836171,6449,40.08373391223446,21.633304808088855,-17.261716865890435,-0.15490758329719584,99.90021883730826,-1.599720193262572,1.2098262024811823,1167.0819389851927,False,spot (perp proxy)
tft_trend,futures_5x,1000.0,0.998910542913105,-999.0010894570869,-99.9001089457087,659,34.14264036418816,119.84020624633125,-125.21498187651706,-1.515934885367355,99.90106164397578,-1.029430902437587,0.7266871041232025,464.6892019922775,False,spot (perp proxy)
regret_grid,futures_5x,1000.0,0.9976745297346574,-999.0023254702653,-99.90023254702653,1389,9.359251259899208,33.16530317493655,-136.18516532225135,-0.7192241364076768,99.90758068013193,-2.129812402269136,2.2296216498547317,537.1684630656848,False,spot (perp proxy)
camouflage_flow,futures_5x,1000.0,0.9901806982702276,-999.0098193017297,-99.90098193017297,1044,34.2911877394636,100.86671385283877,-204.79514456995005,-0.9569059571855648,99.90570837178268,-0.6395688230700918,3.3156953928670703,190.39105954885244,False,spot (perp proxy)
attrition_reversion,futures_5x,1000.0,0.9866708790293022,-999.0133291209708,-99.90133291209708,1176,60.374149659863946,103.0516293527585,-456.854132741655,-0.8495011302049065,99.94436543464606,-0.23724130450889216,2.7675639956513525,549.1137416076264,False,spot (perp proxy)
macd_rsi,futures_5x,1000.0,0.9412350003417841,-999.0587649996583,-99.90587649996581,1239,31.88054882970137,110.22877581430261,-149.58629662458367,-0.806342828893994,99.91907671840067,-0.9351503970639413,1.8455043036376892,709.3304667591033,False,spot (perp proxy)
flow_regime,futures_5x,1000.0,0.7973518310609938,-999.202648168939,-99.9202648168939,467,34.475374732334046,50.51585027524873,-106.64481593323524,-2.139620231625138,99.92521380688866,-1.0365202899106047,1.2655197553836277,102.2592878142844,False,spot (perp proxy)
rsi_reversion,futures_5x,1000.0,0.7709305301926248,-999.2290694698074,-99.92290694698073,2264,63.118374558303884,246.05079682946635,-345.65857711728086,-0.44135559605556857,99.95910330572426,0.6756235827230775,7.398438404216487,2073.597209919396,False,spot (perp proxy)
stealth_trend,futures_5x,1000.0,0.3778948384059996,-999.622105161594,-99.9622105161594,248,24.596774193548388,37.2588197030319,-144.3654261578176,-4.030734295006428,99.96352922297353,-0.848239122947549,1.3456472471260446,86.66123700425155,False,spot (perp proxy)
buy_and_hold,spot,1000.0,66044.0510898356,65044.0510898356,6504.40510898356,1,0.0,65044.05108983559,65044.05108983559,65044.05108983559,84.06747360120639,0.9527283322558806,99.99990107717069,0.9990000000000001,False,real
kelly_regime_v3,spot,1000.0,65844.39351165463,64844.393511654634,6484.439351165463,147,14.383561643835616,23736.11723764471,-3788.051610289542,441.11832320853574,47.35629076768358,1.402864165242485,66.51135782464742,7855.9336508631695,False,real
kelly_regime_v2,spot,1000.0,46422.96261121723,45422.96261121723,4542.296261121723,113,15.178571428571429,13907.477410880962,-3420.2847916227765,401.973120453249,41.436821269044124,1.3560530264964958,67.2744485299573,5403.057250697559,False,real
kelly_regime,spot,1000.0,42096.270859466444,41096.270859466444,4109.627085946644,143,14.084507042253522,14497.767787147666,-2428.447276641161,287.3865095067582,45.29928343445197,1.2865942730813709,66.3291419730554,5445.489604020728,False,real
champions_council,spot,1000.0,19321.428445844325,18321.428445844325,1832.1428445844326,131,14.615384615384615,8520.166613499578,-1149.730146014785,139.85823241102545,34.589279953643945,1.2313341744642967,87.87225897205332,4050.442957661901,False,real
hedge_experts,spot,1000.0,13276.638214920938,12276.638214920938,1227.6638214920938,2044,7.488986784140969,11032.408073639226,-1469.2592842636075,6.006183079706985,59.26843168096468,0.8721701602640705,87.98908683347034,16704.38161652933,False,real
replicator_book,spot,1000.0,2329.755545552722,1329.7555455527222,132.97555455527223,713,26.227208976157083,451.4236404406238,-90.84998479579004,1.8650147903965222,38.408537909258186,0.5219304160982342,53.018481752200294,1630.2764196425278,False,real
universal_kelly,spot,1000.0,1276.0049741993496,276.0049741993496,27.600497419934953,9,88.88888888888889,131.19217406553392,-6.990740092819206,30.667219355483287,7.355893625935995,0.620023426025212,22.70456993794571,1.3258383094697381,False,real
harsanyi_crowd,spot,1000.0,888.0851042272478,-111.91489577275217,-11.191489577275215,91,28.571428571428573,7.92578500743115,-13.887526753991008,-1.2298340194807948,11.429169779888033,-0.8155564215794108,0.08250163964589584,90.01501574198139,False,real
overshoot_fade,spot,1000.0,661.6293916139929,-338.3706083860071,-33.837060838600706,189,59.78835978835979,21.29376224952901,-52.43041548804275,-1.7903206792910478,37.0953377595411,-0.9523607439085247,0.1793470895419774,214.4322469686952,False,real
camouflage_flow,spot,1000.0,547.5971365963238,-452.4028634036762,-45.24028634036762,802,29.925187032418954,73.98863766472283,-40.106768439868056,-0.5640933458898721,52.68096467093595,-0.6613036635044786,2.442404655704039,950.3619408131734,False,real
stealth_trend,spot,1000.0,464.51926052519235,-535.4807394748077,-53.548073947480766,1605,30.46728971962617,108.67231289625322,-40.67541834707928,-0.333632859485862,54.79151943621666,-0.3109161505130897,9.945404490502915,1542.0710292745225,False,real
flow_regime,spot,1000.0,446.6937723361694,-553.3062276638307,-55.33062276638305,1184,38.00675675675676,101.56551242353476,-52.55744886543482,-0.467319449040395,56.07324764953238,-0.7157481078428257,3.5173001190041635,965.9170478821047,False,real
game_council,spot,1000.0,284.00287045724633,-715.9971295427537,-71.59971295427536,2541,25.895316804407713,22.924217232917297,-14.040247474364802,-0.281777697576842,71.67716866156064,-2.6705340459197373,2.779533657998059,717.783230808697,False,real
minority_oracle,spot,1000.0,53.3590643861751,-946.6409356138249,-94.66409356138249,9039,12.19161411660582,2.995086494166672,-2.930468717883493,-0.10472850266775362,94.66409356138249,-19.173761352115935,1.1796547395411365,1023.6043918812295,False,real
game_switch,spot,1000.0,5.0041369412778645,-994.9958630587221,-99.49958630587221,6672,26.573741007194243,9.001055634313381,-11.384903208604625,-0.1491300753984894,99.49961090767604,-6.186383533434323,1.230797842295247,1263.9756785173872,False,real
regret_grid,spot,1000.0,5.001555334088895,-994.998444665911,-99.49984446659111,3461,8.3501878069922,13.292942332761548,-46.97612414474819,-0.28748871559257855,99.50663148632968,-5.106350247074922,7.722212824553438,871.6728531488228,False,real
tft_trend,spot,1000.0,4.994170115160269,-995.0058298848397,-99.50058298848397,2538,26.35933806146572,36.262898000989935,-92.03428394760674,-0.3920432741863039,99.50058298848397,-2.776738964342279,3.093811486721094,883.3466958716864,False,real
macd_cross,spot,1000.0,4.987896581090034,-995.01210341891,-99.501210341891,4301,30.923041153220183,42.19239071115302,-46.32816454840667,-0.23134436257124105,99.53567071500784,-2.0247150853081934,5.348757380879602,1268.7916240503246,False,real
macd_rsi,spot,1000.0,4.964264324607937,-995.0357356753921,-99.5035735675392,2454,29.50285248573757,42.97412797569271,-44.90050662597075,-0.40547503491254794,99.51585947813456,-2.5600138859534547,3.8366230120220917,1102.9510719815603,False,real
attrition_reversion,spot,1000.0,4.940533087854949,-995.059466912145,-99.5059466912145,2930,58.600682593856654,28.71629214005349,-90.16613841344757,-0.3396107395604593,99.51755170315305,-1.6130973122605217,6.354802554978836,1164.8549405640306,False,real
rsi_reversion,spot,1000.0,4.851158784427571,-995.1488412155725,-99.51488412155724,4464,57.011648745519715,133.46888665015047,-159.01600081835437,-0.2229276077991884,99.82886356539726,-1.0745762720696017,14.529092709486402,4881.863713762462,False,real
