split,market,sizer,gate,k,final,vol,max_dd,sharpe,fills,fees,clamp,liquidated,mean_target
inner-train,spot,plain,vote,0.25,2424.7753000488415,0.10518608570879305,10.608226558777412,2.159219094469977,307,40.184201327364676,0.0,False,0.11290113979132282
inner-train,spot,plain,vote,0.5,4962.129699565677,0.2013650420121629,21.842578558382407,2.0908131026347627,497,144.14789448266924,0.0,False,0.22580227958264565
inner-train,spot,plain,vote,0.75,9609.141597022983,0.2948367625498762,31.30335749389812,2.067520236103805,557,314.71769921271203,0.030460353737743202,False,0.3387034193739685
inner-train,spot,plain,vote,1.0,15380.944118270116,0.3789242702469343,39.30908075913126,1.9942246375324055,519,513.7083702782838,0.10112228614372587,False,0.4516045591652913
inner-train,spot,plain,vote,1.5,25029.052753136202,0.4990002106772267,47.78288075408524,1.8643343304162046,417,786.2247874520295,0.27614089578363826,False,0.677406838747937
inner-train,spot,plain,vote,2.0,27450.74524067995,0.573302089094714,54.8782770965519,1.732673271675649,352,915.0730951258386,0.39986824612764904,False,0.9032091183305826
inner-train,spot,plain,vote,3.0,23438.961711445118,0.6488683548995281,65.4484057674438,1.5411465499519383,271,827.1442391146547,0.5677260090229999,False,1.354813677495874
inner-train,spot,plain,vote,4.0,23585.367362312958,0.6796780497700252,67.23091353446536,1.5036788724819143,215,843.5409020247403,0.6310225670125404,False,1.8064182366611652
inner-train,spot,plain,vote,6.0,28675.168633740373,0.7053703161290639,64.55024814059742,1.5434329323912914,179,932.0179533332755,0.6718734021275634,False,2.709627354991748
inner-train,spot,plain,evidence,0.25,1463.343036853169,0.057022123264900255,8.636656772381649,1.6988569416354542,49,3.684987182381642,0.0,False,0.044146083335086725
inner-train,spot,plain,evidence,0.5,1872.9848703598768,0.10597934943364339,11.385949839070259,1.5343668901726395,153,15.204507234912807,0.0,False,0.08829216667017345
inner-train,spot,plain,evidence,0.75,2676.2928273343823,0.1475872276241491,14.216791003653844,1.7425731349593765,321,41.08014210029282,0.0,False,0.13243825000526016
