arm,seed,window,universe,market,fee,mean_total_notional,notional_matches_candidate,cand_final,bench_final,cand_max_dd_pct,bench_max_dd_pct,growth_diff,growth_lo,growth_hi,dd_diff,n_days
conservative_panel_tsmom,0,W_FULL6,BCH+LTC+ETC+DASH+LINK+XTZ,spot,0.001,0.25582303241635657,True,662.6355070646606,1793.9188406721453,65.82494352058546,33.59827687023175,-0.9939329151150791,-1.8263577712095846,-0.25836410703089435,32.226666650353714,2332
conservative_panel_tsmom,1,W_FULL6,BCH+LTC+ETC+DASH+LINK+XTZ,spot,0.001,0.25582303241635657,True,578.8438888336046,1793.9188406721453,71.89922177337506,33.59827687023175,-1.129125171856347,-1.909130218889529,-0.3701921169792999,38.30094490314331,2332
conservative_panel_tsmom,2,W_FULL6,BCH+LTC+ETC+DASH+LINK+XTZ,spot,0.001,0.25582303241635657,True,672.6206387736299,1793.9188406721453,63.99058478174313,33.59827687023175,-0.9789765071269709,-1.7509783684663929,-0.24424229179794152,30.39230791151138,2332
conservative_panel_tsmom,3,W_FULL6,BCH+LTC+ETC+DASH+LINK+XTZ,spot,0.001,0.2558230324163566,True,612.0964396397728,1793.9188406721453,69.24139689094305,33.59827687023175,-1.073268139817272,-1.8760677847392737,-0.3228259814578773,35.6431200207113,2332
conservative_panel_tsmom,4,W_FULL6,BCH+LTC+ETC+DASH+LINK+XTZ,spot,0.001,0.25582303241635657,True,621.1068479875823,1793.9188406721453,69.33338260752289,33.59827687023175,-1.0586548659415127,-1.8160302201656442,-0.32517003439471676,35.73510573729114,2332
conservative_panel_tsmom,5,W_FULL6,BCH+LTC+ETC+DASH+LINK+XTZ,spot,0.001,0.25582303241635657,True,595.8241875587094,1793.9188406721453,70.92500601237211,33.59827687023175,-1.1002123547953118,-1.8743507815044178,-0.3830501169978118,37.32672914214036,2332
conservative_panel_tsmom,6,W_FULL6,BCH+LTC+ETC+DASH+LINK+XTZ,spot,0.001,0.25582303241635657,True,598.6494868258969,1793.9188406721453,68.37284792171653,33.59827687023175,-1.0954817280821674,-1.86412231857339,-0.3506254505317749,34.77457105148478,2332
conservative_panel_tsmom,7,W_FULL6,BCH+LTC+ETC+DASH+LINK+XTZ,spot,0.001,0.25582303241635657,True,538.6688154716593,1793.9188406721453,71.6635185041991,33.59827687023175,-1.2010570515025853,-2.002529957522595,-0.44187033051520125,38.065241633967354,2332
conservative_panel_tsmom,8,W_FULL6,BCH+LTC+ETC+DASH+LINK+XTZ,spot,0.001,0.25582303241635657,True,548.1100416761061,1793.9188406721453,70.12369705083138,33.59827687023175,-1.1836819182582483,-1.9356507353194952,-0.47176728871968454,36.52542018059963,2332
conservative_panel_tsmom,9,W_FULL6,BCH+LTC+ETC+DASH+LINK+XTZ,spot,0.001,0.2558230324163566,True,577.939896104147,1793.9188406721453,71.25788954485792,33.59827687023175,-1.130688113739263,-1.9232767460238414,-0.347305984607048,37.65961267462617,2332
