arm,k,seed,window,universe,market,fee,bench,mean_total_notional,cand_final,bench_final,cand_dd,bench_dd,growth_diff,growth_lo,growth_hi,dd_diff,dd_lo,dd_hi,n_days,scramble_p90,scramble_survived
xsmom_rank_scrambled,1,0,W_FULL6,U6,spot,0.001,MATCHED_HOLD,0.5248922928116057,2.2456351130424004,2716.9361266858327,99.84360961850898,57.26604483757677,-7.094172853897183,-9.254737908123566,-5.022949425369783,42.57756478093221,17.158535364057826,62.53787769387934,2332,,
xsmom_rank_scrambled,1,1,W_FULL6,U6,spot,0.001,MATCHED_HOLD,0.5248922928116057,0.36656647592819896,2716.9361266858327,99.96771596034606,57.26604483757677,-8.906736629886113,-11.246455805724604,-6.588877827106792,42.701671122769284,17.217103067394067,63.10837342548041,2332,,
xsmom_rank_scrambled,1,2,W_FULL6,U6,spot,0.001,MATCHED_HOLD,0.5248922928116057,0.8161828924490186,2716.9361266858327,99.92631570497569,57.26604483757677,-8.106278052443734,-10.612231979733913,-5.473231963725269,42.66027086739892,17.20944033856597,62.917286458464226,2332,,
xsmom_rank_scrambled,1,3,W_FULL6,U6,spot,0.001,MATCHED_HOLD,0.5248922928116057,0.41921962654599265,2716.9361266858327,99.96764333658965,57.26604483757677,-8.77252156423562,-11.361503287088482,-6.286912254012976,42.701598499012874,17.20615673338412,62.9224189891304,2332,,
xsmom_rank_scrambled,1,4,W_FULL6,U6,spot,0.001,MATCHED_HOLD,0.5248922928116057,2.7648237286042683,2716.9361266858327,99.77426531660481,57.26604483757677,-6.886184354229636,-9.584763460165107,-4.035819029348493,42.50822047902804,17.159168282295564,62.50054391785214,2332,,
xsmom_rank_scrambled,1,5,W_FULL6,U6,spot,0.001,MATCHED_HOLD,0.5248922928116057,0.7406561004668327,2716.9361266858327,99.9369961101755,57.26604483757677,-8.20338009956367,-10.76102683921888,-5.728437540877044,42.67095127259873,17.20379741957029,62.99490796716463,2332,,
xsmom_rank_scrambled,1,6,W_FULL6,U6,spot,0.001,MATCHED_HOLD,0.5248922928116057,0.8986026464712078,2716.9361266858327,99.92335787074771,57.26604483757677,-8.010075573460462,-10.425124098210032,-5.558816148987391,42.65731303317094,17.21165845625286,62.983251294063706,2332,,
xsmom_rank_scrambled,1,7,W_FULL6,U6,spot,0.001,MATCHED_HOLD,0.5248922928116057,0.7361087232804066,2716.9361266858327,99.94301742030464,57.26604483757677,-8.20953868552957,-10.767062599313672,-5.366963665892954,42.67697258272787,17.18500148266971,62.981191979430115,2332,,
xsmom_rank_scrambled,1,8,W_FULL6,U6,spot,0.001,MATCHED_HOLD,0.5248922928116057,1.3480166192918184,2716.9361266858327,99.94725874346405,57.26604483757677,-7.604526894949277,-10.295531900034215,-4.609927516085804,42.681213905887276,17.191457203336643,62.75385934695576,2332,,
xsmom_rank_scrambled,1,9,W_FULL6,U6,spot,0.001,MATCHED_HOLD,0.5248922928116057,0.48266585408697465,2716.9361266858327,99.95867351933461,57.26604483757677,-8.63159191444235,-11.391208995085174,-5.968008752685374,42.69262868175784,17.205244534667123,63.120827656338356,2332,,
xsmom_rank,1,-1,W_FULL6,U6,spot,0.001,MATCHED_HOLD,0.5248922928116057,,,,,-7.537190690349034,,,,,,,-7.073374003930428,False
