period,market,strategy,days,dead_tail_pct,sharpe,sharpe_lo,sharpe_hi,d_sharpe,d_sharpe_lo,d_sharpe_hi,p_sharpe_beats_hold,max_dd_pct,max_dd_lo,max_dd_hi,d_max_dd_pp,d_max_dd_lo,d_max_dd_hi,p_dd_deeper_than_hold,d_log_growth,d_log_growth_lo,d_log_growth_hi,p_growth_beats_hold
holdout,spot,cautious_optimism,1319,0.0,1.0210023707854448,-0.03130863722978658,2.076312074736913,-0.0075280473881087495,-0.014045681769657052,-0.001238954966741731,0.0065,52.854421743825064,29.24410568721684,71.3294495429686,-0.2225306638153981,-0.4390644886164774,-0.04532971581116695,0.0145,-0.022958410436231036,-0.04907129510582289,-0.001552593751169333,0.0185
holdout,spot,squint_council,1319,0.0,1.0186434026514501,-0.033767071323889446,2.073074911885906,-0.00988701552210336,-0.018431415202639728,-0.0016365341872997688,0.0065,52.783699689072286,29.187349411521684,71.27753929721119,-0.29325271856817636,-0.5775457546806821,-0.06130424102690119,0.014,-0.03010800662111701,-0.06437711487149965,-0.0020044010053237777,0.0185
holdout,spot,normalhedge_council,1319,0.0,1.0174580411278908,-0.03501652423617312,2.071682514230412,-0.011072377045662662,-0.020632405711989175,-0.001838020394696886,0.0065,52.74798218499909,29.158720320107175,71.25118968326746,-0.32897022264137377,-0.6472934099885083,-0.06965005674984262,0.014,-0.03369265107020669,-0.0720555246030359,-0.0022399813522623493,0.0185
holdout,spot,swap_regret_council,1319,0.0,1.0285300391702847,-0.024744470287395178,2.084785465901282,-3.790032687689404e-07,-7.090447603663729e-07,-6.125650414481879e-08,0.0065,53.07694132427074,29.4079545977459,71.52497879820203,-1.1083369720665814e-05,-2.2066929945196984e-05,-2.484063111829518e-06,0.015,-1.1613463788417988e-06,-2.479304134361814e-06,-8.380454664599993e-08,0.0185
holdout,spot,blackwell_council,1319,6.1410159211523885,1.0902146526506347,-0.13873135582964236,2.218567829848523,0.06168423447708116,-0.7144042797544582,0.760715662978483,0.5215,33.66950426305632,16.46950751410005,51.02459492833226,-19.407448144584144,-39.13736466713096,3.8264603473195415,0.055,-0.4531751645794212,-1.4875191905183647,0.6617805464232646,0.1995
holdout,spot,minimax_council,1319,0.1516300227445034,-0.07881510815544507,-1.2759979652950812,0.927126707806273,-1.1073455263289986,-2.004245590102162,-0.2955162788688677,0.0065,53.68769957150447,24.30956640451325,72.3626178247818,0.610747163864005,-28.147975238932375,28.416090247845784,0.4595,-1.526753936167957,-2.8326083121545955,-0.19308501545672693,0.0145
holdout,spot,nash_council,1319,0.0,0.11878779032864659,-1.1261551388929822,1.2405189113877473,-0.9097426278449069,-1.5457749561578722,-0.3583935568429487,0.0015,59.908149753010356,30.785040130365378,79.10922323834818,6.831197345369894,-15.822957589679376,29.276027930862636,0.6725,-1.3859230861828353,-2.252859788143641,-0.4707936805796461,0.0025
holdout,spot,qre_council,1319,0.0,0.4585760131432092,-0.7776055205603895,1.4933648380844198,-0.5699544050303442,-0.9936207790106376,-0.21718360844859272,0.002,39.33730533921842,21.00508811899839,62.04453154956737,-13.739647068422045,-25.330648249898946,5.367660472695828,0.102,-1.042446081884248,-1.890577943901182,-0.1418406667756208,0.014
holdout,spot,sleeping_council,1319,0.0,1.0225924084062303,-0.02964462559951938,2.0783232435838923,-0.005938009767323171,-0.01108533183624244,-0.000973562454898126,0.0065,52.901823069393316,29.28219843181844,71.36404421871336,-0.17512933824714594,-0.34596449251677924,-0.04153568880552256,0.014,-0.018127348574513702,-0.03873557494095722,-0.0012433461939489398,0.0185
holdout,spot,defensive_forecast,1319,0.8339651250947687,0.6479652002196701,-0.4173609898798675,1.5171606435072185,-0.38056521795388343,-1.3370367476167664,0.49878407068621056,0.1865,4.207695571349042,2.0588585126408745,7.284487341242399,-48.86925683629142,-67.60852016403001,-25.28587166928662,0.0,-1.2792563913417683,-2.965179315175012,0.45590442244781965,0.0685
