period,market,strategy,days,dead_tail_pct,sharpe,sharpe_lo,sharpe_hi,d_sharpe,d_sharpe_lo,d_sharpe_hi,p_sharpe_beats_hold,max_dd_pct,max_dd_lo,max_dd_hi,d_max_dd_pp,d_max_dd_lo,d_max_dd_hi,p_dd_deeper_than_hold,d_log_growth,d_log_growth_lo,d_log_growth_hi,p_growth_beats_hold
full,spot,cautious_optimism,3510,0.0,0.956985516195709,0.2682032524499345,1.650698648200007,-0.016514028829204275,-0.10605814908631618,0.05497989503780394,0.3305,83.00825931268754,59.26884678617859,95.92817041058315,-0.156360352602249,-4.328018415017012,4.3699647124543,0.24,-0.142254832272676,-0.7263920512674785,0.31062729312901666,0.2765
full,spot,squint_council,3510,0.0,0.9436077321594835,0.2556578101148814,1.6294239819202105,-0.029891812865429856,-0.12346819552009364,0.04608290234097968,0.2165,82.40691597078319,58.73691422194643,95.75460311517695,-0.7577036945066027,-4.77801838185167,3.9943476176688795,0.208,-0.2547992590969712,-0.8582405508774885,0.2374636952879252,0.1505
full,spot,normalhedge_council,3510,0.0,0.9552888447512945,0.2664883813343229,1.6488577098065624,-0.01821070027361882,-0.1077410311235321,0.05398112906135456,0.319,82.9332132329344,59.17357688834589,95.9028381997645,-0.23140643235538505,-4.40322396650517,4.3250728211163665,0.2355,-0.15665492706153028,-0.7442653631599027,0.29846854186897187,0.257
full,spot,swap_regret_council,3510,0.0,0.9605866198360381,0.2688144451444506,1.6517059287015412,-0.012912925188875213,-0.10262390186081483,0.05711769182383101,0.368,83.16461122938064,59.34243876817395,95.98062029388397,-8.435909151671694e-06,-4.248188852681146,4.441247875202043,0.2485,-0.11163165161075561,-0.6953476013824313,0.33419022338797827,0.327
full,spot,blackwell_council,3510,2.3076923076923075,1.0269940593638014,0.26798877114457254,1.701993283141809,0.05349451433888808,-0.451579188165068,0.5322986260158882,0.572,57.05914786000944,26.571347809061887,67.86193813911747,-26.105471805280352,-55.98558347687697,-12.351718463486671,0.001,-1.7665373742311625,-5.08794149142644,1.3823706682580472,0.1545
full,spot,minimax_council,3510,0.05698005698005698,0.5859768881040854,-0.2711697568515329,1.3408093466691255,-0.3875226569208279,-1.0158610104193502,0.196977599896206,0.103,61.7098950892217,41.081278776437486,88.2717496708131,-21.454724576068088,-41.88694527779253,11.539435604309269,0.122,-2.7685383280630464,-6.068446246488175,0.6182295370949882,0.0565
full,spot,nash_council,3510,0.0,0.48888010939612664,-0.4257750817992893,1.274664517489908,-0.4846194356287867,-0.9049943454972639,-0.11472676978426476,0.005,80.8812624024976,53.980188284200636,96.88907457100575,-2.283357262792194,-20.127853642932852,17.27218270894348,0.445,-3.0035735823893215,-5.048586333437977,-0.7640331319633081,0.0035
full,spot,qre_council,3510,0.0,0.8067198488772824,0.007123675826447759,1.5310076370028955,-0.16677969614763088,-0.4758654691255697,0.10501163857424242,0.1055,58.166054748543374,36.19760252945848,81.3142351198667,-24.998564916746417,-36.70530853921212,-6.821510547055244,0.003,-2.092762484662031,-4.486809698556479,0.34472851491163975,0.0465
full,spot,sleeping_council,3510,0.0,0.9525761070462003,0.2697771728104551,1.6427623053702318,-0.02092343797871299,-0.11341518118535437,0.05401531406938091,0.291,83.03237484480941,59.14251197998882,95.93628920223641,-0.13224482048038055,-4.495054180326407,4.413312181875212,0.254,-0.17275874873733787,-0.7627546551464238,0.3013277127910277,0.233
full,spot,defensive_forecast,3510,0.31339031339031337,0.5656967070418851,0.04363883521735995,1.0338787718054772,-0.4078028379830282,-0.9888020576061911,0.171602905554875,0.083,15.98340259351541,7.805718987002015,22.64708086909335,-67.18121707177438,-82.53494552788042,-45.00244635371336,0.0,-3.6817645377053707,-7.9268826340528,0.5135363871966999,0.0435
full,spot,buy_and_hold,3510,0.0,0.9734995450249133,0.28887060352506566,1.6597571276043022,0.0,0.0,0.0,0.0,83.16461966528979,59.3423216631279,96.21712474709253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,spot,kelly_regime_v4,3510,0.02849002849002849,1.4395825788492635,0.6955359985117061,2.0916455684398874,0.46608303382435023,0.06743006617283344,0.8692705145905304,0.9905,42.047155631746975,27.960957088656414,61.266760486871775,-41.11746403354282,-54.755531777542465,-18.43469920871698,0.0,0.0443405734575153,-2.5956058244401894,2.8515473953736454,0.521
full,futures,cautious_optimism,3510,0.0,0.9568325477638338,0.26816625021483737,1.6507206769630083,1.2528684728491417,0.31038566330779266,1.988076761077379,0.9965,82.99815401834688,59.256004645002626,95.92476521610962,-16.046125826869456,-39.156384448255615,93.0368434270769,0.368,8.185646239287589,0.488856180810609,19.02671216485158,0.9835
full,futures,squint_council,3510,0.0,0.9433839982081438,0.2552238031484801,1.6287358484699637,1.2394199232934517,0.2998500048249339,1.970719621018872,0.996,82.37763879320553,58.719417830469254,95.74328898157486,-16.666641052010803,-39.702455780668245,92.978424257239,0.367,8.072021144797207,0.44038074222994394,18.91729688199521,0.9835
full,futures,normalhedge_council,3510,0.0,0.9551354740216174,0.2660487446756512,1.648548949267553,1.2511713991069253,0.30799256915468826,1.9868754671476385,0.9965,82.9230134795636,59.1606464398271,95.89938742020722,-16.121266365652744,-39.26832184949145,93.03030267269573,0.3675,8.171246535683684,0.48105687777335704,18.997322848853603,0.9835
full,futures,swap_regret_council,3510,0.0,0.9604345221427726,0.2687771588979381,1.6516672565470258,1.2564704472280805,0.31422924899557975,1.9905582524636056,0.9965,83.15470333517392,59.3383418966629,95.97730984005207,-15.889576510042417,-39.05470525596521,93.07725102310737,0.3685,8.216268606550042,0.5096095814334484,19.089055619078586,0.984
full,futures,blackwell_council,3510,2.3076923076923075,1.0730710238223615,0.3251641793255092,1.7551065165230328,1.3691069489076695,0.42040043485124073,2.0814256289391704,0.9985,57.34074514012272,27.48458379896848,68.18803727774475,-41.70353470509362,-70.92055254094687,59.8789199705879,0.3185,6.81684016070194,1.0401150108081658,16.456732630654393,0.9985
full,futures,minimax_council,3510,0.05698005698005698,0.9539079261068933,0.13451183111480094,1.6755280187691233,1.2499438511922012,0.252228223387003,2.038772873801307,0.995,57.37293570941711,32.93369386623069,76.2428404093674,-41.671344135799224,-65.04589189746447,68.33047509398222,0.325,6.772610563684538,0.7480969560862427,17.21500147003983,0.991
full,futures,nash_council,3510,0.0,0.8545730363461392,0.017571731870150174,1.5910449799202813,1.1506089614314472,0.11358578054146586,1.9078959373777709,0.9855,70.5100090591865,44.44178919300461,89.92778966567086,-28.534270786029836,-53.244792337005826,83.8628652183078,0.349,6.826203682989963,0.1573902616698506,17.010497808671474,0.981
full,futures,qre_council,3510,0.0,1.005946108741352,0.22528254836855313,1.7096841094597561,1.30198203382666,0.2879637871119321,2.0474405863596443,0.9945,54.774650620836816,31.772122152647754,73.65965416976948,-44.26962922437952,-66.27336520190752,64.98160986304875,0.3235,6.784889826207921,0.9133474682298163,16.633826044412046,0.996
full,futures,sleeping_council,3510,0.0,0.9212695092509576,0.22933381567464858,1.6030175035342895,1.2173054343362655,0.2853583792063831,1.9457465355341592,0.995,81.6110127370602,57.98766830388265,95.69818557509281,-17.433267108156144,-40.11627115429313,92.99195013190608,0.367,7.9006667730868365,0.36825912119762855,18.7331314236528,0.981
full,futures,defensive_forecast,3510,0.31339031339031337,0.8497927630276076,0.3656817443880343,1.3383076787479322,1.1458286881129156,0.40746015241767947,1.686357896866093,1.0,11.126083740806516,5.902970155315865,17.0734317509929,-87.91819610440982,-93.30841318296329,14.566324167002396,0.3085,4.864770889690554,0.3229808474831369,14.012424596784735,0.9965
full,futures,buy_and_hold,3510,99.71509971509971,-0.2960359250853079,-0.5922851166665989,0.32258305761435935,0.0,0.0,0.0,0.0,99.04427984521634,0.0,99.99987788312177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,futures,kelly_regime_v4,3510,0.02849002849002849,1.5919477385024594,0.8510871227024358,2.2419935838306415,1.8879836635877674,0.9653734578736198,2.579714098505974,1.0,33.91830352222038,27.469068326380047,59.94856155855803,-65.12597632299597,-70.70958069748585,52.66881115803823,0.3155,9.2230428085881,3.02813368984254,19.34438064224802,1.0
holdout,spot,cautious_optimism,1320,0.0,1.0206412003694758,-0.0479681141778847,2.122838292812311,-0.007526475614432426,-0.014119655007839581,-0.001215547669438938,0.0055,52.854398788435034,28.61139113162067,73.28484407536746,-0.2225528414684561,-0.43473412582796755,-0.07588144767664813,0.0115,-0.02296209884935796,-0.04848694058861311,-0.00015095330064228922,0.0245
holdout,spot,squint_council,1320,0.0,1.018282732302096,-0.050284334578693725,2.1215067175678377,-0.009884943681812253,-0.018521833352829694,-0.0015874476518266643,0.005,52.78366972455928,28.553455633468243,73.19592936284022,-0.29328190534420884,-0.5714637752438181,-0.10171105310944137,0.011,-0.030112818795499763,-0.06353783966928357,-0.00014956969830054117,0.024
